Combination Number	Number of Dedup Domains Per Pod	Number of Pods	Region Algorithm	Region Size MB (Fixed or Average Size)	Min Region MB	Max Region MB	Number of Mask Bits	Assignment Algorithm	Dataset	Results	
1	1	1	FIXED-SIZE	4	-	-	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	ex0-run11638056469.csv	
2	1	1	FIXED-SIZE	8	-	-	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	ex0-run21638056719.csv	
3	1	1	CONTENT-DEFINED	4	2	6	10	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	ex0-run31638056971.csv	
4	1	1	CONTENT-DEFINED	8	4	12	10	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	ex0-run41638057221.csv	
5	1024	8	FIXED-SIZE	4	-	-	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	ex0-run51638057488.csv	
6	1024	8	FIXED-SIZE	8	-	-	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	ex0-run61638057800.csv	
7	1024	8	CONTENT-DEFINED	4	2	6	10	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	ex0-run71638058105.csv	failing -> some parsing error
8	1024	8	CONTENT-DEFINED	8	4	12	10	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	ex0-run81638058358.csv	
9	128	8	FIXED-SIZE	4	-	-	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	ex0-run91638058607.csv	
10	128	8	FIXED-SIZE	8	-	-	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	ex0-run101638058917.csv	
11	128	8	CONTENT-DEFINED	4	2	6	10	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	ex0-run111638059229.csv	
12	128	8	CONTENT-DEFINED	8	4	12	10	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	ex0-run121638059496.csv	
13	1024	8	FIXED-SIZE	4	-	-	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
14	1024	8	FIXED-SIZE	8	-	-	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
15	1024	8	CONTENT-DEFINED	4	2	6	10	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
16	1024	8	CONTENT-DEFINED	8	4	12	10	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
17	128	8	FIXED-SIZE	4	-	-	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
18	128	8	FIXED-SIZE	8	-	-	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
