Combination Number	Number of Dedup Domains Per Pod	Number of Pods	Region Algorithm	Region Size MB (Fixed or Average Size)	Min Region MB	Max Region MB	Number of Mask Bits	Assignment Algorithm	Dataset	Results
85	1	1	CONTENT-DEFINED	4	2	6	10	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_014018019	GITHUB
86	1	1	CONTENT-DEFINED	8	4	12	10	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_014018019	GITHUB
87	16	8	CONTENT-DEFINED	4	2	6	10	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_014018019	GITHUB
88	16	8	CONTENT-DEFINED	8	4	12	10	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_014018019	GITHUB
89	32	8	CONTENT-DEFINED	4	2	6	10	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_014018019	GITHUB
90	32	8	CONTENT-DEFINED	8	4	12	10	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_014018019	GITHUB
91	128	8	CONTENT-DEFINED	4	2	6	10	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_014018019	GITHUB
92	128	8	CONTENT-DEFINED	8	4	12	10	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_014018019	GITHUB
93	16	8	CONTENT-DEFINED	4	2	6	10	MIN_FINGERPRINT	fslhomes_2011-8kb-only_014018019	GITHUB
94	16	8	CONTENT-DEFINED	8	4	12	10	MIN_FINGERPRINT	fslhomes_2011-8kb-only_014018019	GITHUB
95	32	8	CONTENT-DEFINED	4	2	6	10	MIN_FINGERPRINT	fslhomes_2011-8kb-only_014018019	GITHUB
96	32	8	CONTENT-DEFINED	8	4	12	10	MIN_FINGERPRINT	fslhomes_2011-8kb-only_014018019	GITHUB
97	128	8	CONTENT-DEFINED	4	2	6	10	MIN_FINGERPRINT	fslhomes_2011-8kb-only_014018019	GITHUB
98	128	8	CONTENT-DEFINED	8	4	12	10	MIN_FINGERPRINT	fslhomes_2011-8kb-only_014018019	GITHUB
99	16	8	CONTENT-DEFINED	4	2	6	10	MAX_FINGERPRINT	fslhomes_2011-8kb-only_014018019	GITHUB
100	16	8	CONTENT-DEFINED	8	4	12	10	MAX_FINGERPRINT	fslhomes_2011-8kb-only_014018019	GITHUB
101	32	8	CONTENT-DEFINED	4	2	6	10	MAX_FINGERPRINT	fslhomes_2011-8kb-only_014018019	GITHUB
102	32	8	CONTENT-DEFINED	8	4	12	10	MAX_FINGERPRINT	fslhomes_2011-8kb-only_014018019	GITHUB
103	128	8	CONTENT-DEFINED	4	2	6	10	MAX_FINGERPRINT	fslhomes_2011-8kb-only_014018019	GITHUB
104	128	8	CONTENT-DEFINED	8	4	12	10	MAX_FINGERPRINT	fslhomes_2011-8kb-only_014018019	GITHUB
105	16	8	CONTENT-DEFINED	4	2	6	10	Q_LEARNING	fslhomes_2011-8kb-only_014018019	GITHUB
106	16	8	CONTENT-DEFINED	8	4	12	10	Q_LEARNING	fslhomes_2011-8kb-only_014018019	GITHUB
107	32	8	CONTENT-DEFINED	4	2	6	10	Q_LEARNING	fslhomes_2011-8kb-only_014018019	GITHUB
108	32	8	CONTENT-DEFINED	8	4	12	10	Q_LEARNING	fslhomes_2011-8kb-only_014018019	GITHUB
109	128	8	CONTENT-DEFINED	4	2	6	10	Q_LEARNING	fslhomes_2011-8kb-only_014018019	GITHUB
110	128	8	CONTENT-DEFINED	8	4	12	10	Q_LEARNING	fslhomes_2011-8kb-only_014018019	GITHUB
111	1	1	CONTENT-DEFINED	4	2	6	10	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_014018019028,fslhomes_2012-8kb-only_014018019028	RUNNING
113	16	8	CONTENT-DEFINED	4	2	6	10	MAX_FINGERPRINT	fslhomes_2011-8kb-only_014018019028,fslhomes_2012-8kb-only_014018019028	RUNNING
114	16	8	CONTENT-DEFINED	8	4	12	10	MAX_FINGERPRINT	fslhomes_2011-8kb-only_014018019028,fslhomes_2012-8kb-only_014018019028	RUNNING
115	32	8	CONTENT-DEFINED	4	2	6	10	MAX_FINGERPRINT	fslhomes_2011-8kb-only_014018019028,fslhomes_2012-8kb-only_014018019028	RUNNING
116	32	8	CONTENT-DEFINED	8	4	12	10	MAX_FINGERPRINT	fslhomes_2011-8kb-only_014018019028,fslhomes_2012-8kb-only_014018019028	RUNNING
117	128	8	CONTENT-DEFINED	4	2	6	10	MAX_FINGERPRINT	fslhomes_2011-8kb-only_014018019028,fslhomes_2012-8kb-only_014018019028	RUNNING
118	128	8	CONTENT-DEFINED	8	4	12	10	MAX_FINGERPRINT	fslhomes_2011-8kb-only_014018019028,fslhomes_2012-8kb-only_014018019028	RUNNING
119	16	8	CONTENT-DEFINED	4	2	6	10	Q_LEARNING	fslhomes_2011-8kb-only_014018019028,fslhomes_2012-8kb-only_014018019028	RUNNING
120	16	8	CONTENT-DEFINED	8	4	12	10	Q_LEARNING	fslhomes_2011-8kb-only_014018019028,fslhomes_2012-8kb-only_014018019028	RUNNING
121	32	8	CONTENT-DEFINED	4	2	6	10	Q_LEARNING	fslhomes_2011-8kb-only_014018019028,fslhomes_2012-8kb-only_014018019028	RUNNING
