Combination Number	Number of Dedup Domains Per Pod	Number of Pods	Region Algorithm	Region Size MB (Fixed or Average Size)	Min Region MB	Max Region MB	Main Devisor  	Second Devisor  	Number of Mask Bits	Assignment Algorithm	Dataset	Results
37	128	8	TTTD	4	2	6	540	270	-	Q_LEARNING	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
38	128	8	TTTD	8	4	12	540	270	-	Q_LEARNING	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
39	128	8	AE	4	2	6	-	-	-	Q_LEARNING	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
40	128	8	AE	8	4	12	-	-	-	Q_LEARNING	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
41	16	8	TTTD	4	2	6	540	270	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
42	16	8	TTTD	8	4	12	540	270	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
43	16	8	AE	4	2	6	-	-	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
44	16	8	AE	8	4	12	-	-	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
45	128	8	TTTD	4	2	6	540	270	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
46	128	8	TTTD	8	4	12	540	270	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
47	128	8	AE	4	2	6	-	-	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
48	128	8	AE	8	4	12	-	-	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
49	16	8	TTTD	4	2	6	540	270	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
50	16	8	TTTD	8	4	12	540	270	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
51	16	8	AE	4	2	6	-	-	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
52	16	8	AE	8	4	12	-	-	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
53	128	8	TTTD	4	2	6	540	270	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
54	128	8	TTTD	8	4	12	540	270	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
55	128	8	AE	4	2	6	-	-	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
56	128	8	AE	8	4	12	-	-	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
57	16	8	TTTD	4	2	6	540	270	-	MAX_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
58	16	8	TTTD	8	4	12	540	270	-	MAX_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
59	16	8	AE	4	2	6	-	-	-	MAX_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
60	16	8	AE	8	4	12	-	-	-	MAX_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
61	128	8	TTTD	4	2	6	540	270	-	MAX_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
62	128	8	TTTD	8	4	12	540	270	-	MAX_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
63	128	8	AE	4	2	6	-	-	-	MAX_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
64	128	8	AE	8	4	12	-	-	-	MAX_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
65	16	8	TTTD	4	2	6	540	270	-	Q_LEARNING	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
66	16	8	TTTD	8	4	12	540	270	-	Q_LEARNING	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
67	16	8	AE	4	2	6	-	-	-	Q_LEARNING	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
68	16	8	AE	8	4	12	-	-	-	Q_LEARNING	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
137	32	8	TTTD	4	2	6	540	270	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
138	32	8	TTTD	8	4	12	540	270	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
139	32	8	AE	4	2	6	-	-	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
140	32	8	AE	8	4	12	-	-	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
141	32	8	TTTD	4	2	6	540	270	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
142	32	8	TTTD	8	4	12	540	270	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
143	32	8	AE	4	2	6	-	-	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
144	32	8	AE	8	4	12	-	-	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
145	32	8	TTTD	4	2	6	540	270	-	MAX_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
146	32	8	TTTD	8	4	12	540	270	-	MAX_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
147	32	8	AE	4	2	6	-	-	-	MAX_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
148	32	8	AE	8	4	12	-	-	-	MAX_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
149	32	8	TTTD	4	2	6	540	270	-	Q_LEARNING	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
150	32	8	TTTD	8	4	12	540	270	-	Q_LEARNING	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
151	32	8	AE	4	2	6	-	-	-	Q_LEARNING	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
152	32	8	AE	8	4	12	-	-	-	Q_LEARNING	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	
