,,,,,,,,SIMULATOR_DOMAINS:1
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run1
,,,,,,,,,SIMULATOR_ROUTING:FIRST_FINGERPRINT_7
,,,,,,,,,SIMULATOR_REGION_ALGO:FIXED-SIZE
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.2.229
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1637860767.5405798
,,,,,,,,,STOP_TIME:1637860979.346686
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
0,4183773,2428350,561,420,1.10E-05,2.44E-02,018,2011-09-16
0,4178028,2518802,465,359,4.56E-06,1.73E-02,018,2011-09-16
0,4186964,2668075,489,388,4.26E-06,1.78E-02,018,2011-09-16
0,4188589,2682126,453,358,4.25E-06,1.70E-02,018,2011-09-16
0,4193540,2457189,438,325,3.88E-06,1.73E-02,018,2011-09-16
0,4193256,2452249,437,329,1.12E-05,1.86E-02,018,2011-09-16
0,4193916,2616418,450,351,5.69E-06,1.74E-02,018,2011-09-16
0,4190446,2536051,445,339,3.94E-06,1.72E-02,018,2011-09-16
0,4179453,2503853,462,356,8.10E-06,1.77E-02,018,2011-09-16
0,4191667,2370034,447,322,4.83E-06,1.69E-02,018,2011-09-16
0,4187732,2652128,443,346,4.93E-06,1.79E-02,018,2011-09-16
0,4190351,2770994,589,459,7.90E-06,2.54E-02,018,2011-09-16
0,4192723,2850538,467,381,6.59E-06,1.92E-02,018,2011-09-16
0,4189052,2938734,481,402,5.49E-06,1.92E-02,018,2011-09-16
0,4185694,1952976,434,253,4.75E-06,1.51E-02,018,2011-09-16
0,4192399,1047203,490,126,4.86E-06,1.27E-02,018,2011-09-16
0,4192412,1191892,473,137,4.80E-06,1.23E-02,018,2011-09-16
0,4190265,0,465,0,8.53E-06,8.60E-03,018,2011-09-16
0,4185748,0,481,0,4.70E-06,6.92E-03,018,2011-09-16
0,4182703,1563532,493,249,4.39E-06,1.43E-02,018,2011-09-16
0,4179347,2867091,496,401,6.48E-06,1.92E-02,018,2011-09-16
0,4189422,2790846,487,400,6.22E-06,1.87E-02,018,2011-09-16
0,4189879,1628624,477,230,4.85E-06,1.34E-02,018,2011-09-16
0,4185874,2016644,488,292,4.72E-06,1.56E-02,018,2011-09-16
0,4179971,1890937,499,279,4.44E-06,1.52E-02,018,2011-09-16
0,4191307,1686444,465,240,4.11E-06,1.39E-02,018,2011-09-16
0,4184379,1841912,462,246,4.27E-06,1.38E-02,018,2011-09-16
0,4193131,2579128,496,377,6.70E-06,1.80E-02,018,2011-09-16
0,4181311,2988507,495,420,4.50E-06,1.85E-02,018,2011-09-16
0,4192248,2750764,472,382,4.13E-06,1.94E-02,018,2011-09-16
0,4192476,1795057,386,236,4.33E-06,1.36E-02,018,2011-09-16
0,4181976,2656995,470,374,3.85E-06,1.82E-02,018,2011-09-16
0,4185895,2526262,475,372,4.14E-06,1.74E-02,018,2011-09-16
0,4187595,2511457,493,368,4.73E-06,1.86E-02,018,2011-09-16
0,4190539,2591417,475,368,5.17E-06,1.83E-02,018,2011-09-16
0,4179464,1956682,473,280,4.72E-06,1.59E-02,018,2011-09-16
0,4191885,3031035,920,704,4.47E-06,3.17E-02,018,2011-09-16
0,4189305,2126184,671,443,7.45E-06,2.25E-02,018,2011-09-16
0,4192266,1782844,558,308,4.89E-06,1.68E-02,018,2011-09-16
0,4193978,2728743,487,385,4.84E-06,1.92E-02,018,2011-09-16
0,4190195,2450561,455,346,5.60E-06,1.82E-02,018,2011-09-16
0,4190995,2771204,466,376,4.49E-06,2.05E-02,018,2011-09-16
0,4183125,2506375,445,342,4.19E-06,1.74E-02,018,2011-09-16
0,4193627,702783,316,100,4.54E-06,1.47E-02,018,2011-09-16
0,4186570,367538,278,42,4.81E-06,1.61E-02,018,2011-09-16
0,4193113,103480,265,9,3.81E-06,6.93E-03,018,2011-09-16
0,4184672,1671059,433,249,4.24E-06,1.40E-02,018,2011-09-16
0,4189764,1541876,402,213,4.42E-06,1.64E-02,018,2011-09-16
0,4182074,2277064,468,342,4.65E-06,1.81E-02,018,2011-09-16
0,4191700,1733826,440,258,4.19E-06,1.64E-02,018,2011-09-16
0,4192173,1850566,453,278,4.22E-06,1.66E-02,018,2011-09-16
0,4188989,1552895,448,231,4.28E-06,1.48E-02,018,2011-09-16
0,4190671,2748783,468,376,4.04E-06,1.82E-02,018,2011-09-16
0,4178525,2096694,422,291,4.44E-06,1.80E-02,018,2011-09-16
0,4192378,2840283,462,377,4.00E-06,1.81E-02,018,2011-09-16
0,4188721,2253727,436,305,4.04E-06,1.66E-02,018,2011-09-16
0,4189254,2422078,438,319,4.97E-06,1.69E-02,018,2011-09-16
0,4188036,1957582,499,275,4.43E-06,1.49E-02,018,2011-09-16
0,4180590,1687291,483,228,4.33E-06,1.42E-02,018,2011-09-16
0,4191214,2294873,487,305,4.31E-06,1.64E-02,018,2011-09-16
0,4188510,544211,360,98,7.76E-06,1.23E-02,018,2011-09-16
0,4185923,2530620,487,379,4.40E-06,1.90E-02,018,2011-09-16
0,4193630,2456097,448,324,7.00E-06,3.00E-02,018,2011-09-16
0,4185450,0,473,0,7.54E-06,7.07E-03,018,2011-09-16
0,4193237,443549,410,56,4.54E-06,7.86E-03,018,2011-09-16
0,4192689,2794263,470,380,4.16E-06,1.74E-02,018,2011-09-16
0,4190109,2483900,461,343,5.04E-06,1.77E-02,018,2011-09-16
0,4193273,1101390,457,150,1.08E-05,1.22E-02,018,2011-09-16
0,4190106,2798389,478,387,8.39E-06,2.94E-02,018,2011-09-16
0,4183169,2278105,430,307,1.09E-05,1.78E-02,018,2011-09-16
0,4182130,2199145,470,305,5.95E-06,1.58E-02,018,2011-09-16
0,4186330,2498978,438,333,5.81E-06,1.68E-02,018,2011-09-16
0,4185153,2498196,442,336,4.36E-06,1.92E-02,018,2011-09-16
0,4192100,3320166,1265,786,4.57E-06,4.04E-02,018,2011-09-16
0,4189636,2352926,1022,607,7.56E-06,3.18E-02,018,2011-09-16
0,4184411,1550064,413,233,1.00E-05,1.59E-02,018,2011-09-16
0,4191250,2503252,521,403,6.80E-06,2.05E-02,018,2011-09-16
0,4191731,2818287,959,729,4.85E-06,3.35E-02,018,2011-09-16
0,4192793,1840969,580,383,4.55E-06,2.00E-02,018,2011-09-16
0,4183930,2967792,699,491,4.59E-06,2.38E-02,018,2011-09-16
0,4189718,2513356,672,434,5.32E-06,2.29E-02,018,2011-09-16
0,4190614,2880604,688,494,5.88E-06,2.39E-02,018,2011-09-16
0,4183830,1709131,496,284,4.76E-06,1.87E-02,018,2011-09-16
0,4188309,734569,343,106,4.08E-06,2.97E-02,018,2011-09-16
0,4188724,1159054,348,149,3.89E-06,1.51E-02,018,2011-09-16
0,4183744,225733,305,27,4.33E-06,1.02E-02,018,2011-09-16
0,4188954,67169,274,7,3.92E-06,8.34E-03,018,2011-09-16
0,4185910,159807,302,20,3.90E-06,9.94E-03,018,2011-09-16
0,4186252,234692,348,37,3.93E-06,8.66E-03,018,2011-09-16
