,,,,,,,,,SIMULATOR_DOMAINS:128
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run12
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:FIRST_FINGERPRINT_7
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.128.4.12,10.131.3.247,10.131.3.248,10.129.2.160,10.129.2.161,10.128.4.19,10.128.4.16,10.131.3.249
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638059496.1198497
,,,,,,,,,STOP_TIME:1638059691.803635

domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
1019,4414495,2528000,585,436,5.51E-06,2.16E-02,018,2011-09-16
305,7822423,4826718,900,697,4.03E-06,2.91E-02,018,2011-09-16
631,12567769,7425646,1326,983,4.28E-06,4.75E-02,018,2011-09-16
372,10538283,6160171,1123,827,4.98E-06,3.79E-02,018,2011-09-16
567,8942845,5186309,964,704,4.76E-06,3.30E-02,018,2011-09-16
284,12574749,8227973,1531,1193,4.16E-06,4.58E-02,018,2011-09-16
364,12580519,7375330,1394,981,4.46E-06,3.99E-02,018,2011-09-16
254,11803356,7355528,1312,992,4.55E-06,4.10E-02,018,2011-09-16
993,8645698,5770652,1050,841,4.19E-06,3.14E-02,018,2011-09-16
482,8369268,3560436,961,510,8.91E-06,2.88E-02,018,2011-09-16
67,12572696,6157391,1449,873,4.65E-06,4.62E-02,018,2011-09-16
168,9855088,6020975,1145,851,4.94E-06,3.29E-02,018,2011-09-16
992,12582085,7043641,1341,968,5.66E-06,3.79E-02,018,2011-09-16
1013,12575648,7313390,1422,1047,6.29E-06,7.29E-02,018,2011-09-16
182,4973598,2506868,576,370,7.98E-06,1.69E-02,018,2011-09-16
900,12578953,7060538,2149,1423,1.03E-05,5.96E-02,018,2011-09-16
562,11906730,7260348,1327,1003,1.31E-05,4.42E-02,018,2011-09-16
709,12566793,3921050,1076,538,5.06E-06,4.02E-02,018,2011-09-16
754,7868798,1304846,610,196,7.14E-06,4.30E-02,018,2011-09-16
16,8616661,4043047,899,580,8.26E-06,3.30E-02,018,2011-09-16
170,12581848,5552482,1330,830,6.65E-06,3.76E-02,018,2011-09-16
456,7850189,4399650,836,613,7.91E-06,3.42E-02,018,2011-09-16
88,12580014,7497275,1349,1004,4.46E-06,5.03E-02,018,2011-09-16
81,12578853,6244120,1458,858,4.35E-06,4.39E-02,018,2011-09-16
226,12578920,5923668,1313,861,4.37E-06,3.54E-02,018,2011-09-16
548,7885140,4384916,824,596,5.42E-06,3.04E-02,018,2011-09-16
88,12580432,5644974,1380,768,4.44E-06,4.00E-02,018,2011-09-16
740,12576256,7810762,1393,1064,1.70E-05,4.98E-02,018,2011-09-16
80,7821631,4530797,816,608,5.41E-06,3.15E-02,018,2011-09-16
