,,,,,,,,,SIMULATOR_DOMAINS:1024
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:-
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run14
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:-
,,,,,,,,,SIMULATOR_ROUTING:MIN_FINGERPRINT
,,,,,,,,,SIMULATOR_REGION_ALGO:FIXED-SIZE
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.5.8,10.131.3.242,10.129.2.238,10.128.4.138,10.128.4.139,10.129.2.237,10.129.5.9,10.131.3.243
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638449658.052375
,,,,,,,,,STOP_TIME:1638449865.3362238
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
6114,8384409,4834889,1028,763,2.24E-04,3.94E-02,018,2011-09-16
2328,8387440,5284478,943,735,1.01E-04,3.53E-02,018,2011-09-16
5512,8381916,4831162,875,646,1.14E-04,3.15E-02,018,2011-09-16
2780,8379952,5058515,897,674,8.96E-05,3.14E-02,018,2011-09-16
1970,8378683,4711204,906,653,1.36E-04,3.25E-02,018,2011-09-16
4828,8385744,5343949,1035,796,1.72E-04,4.05E-02,018,2011-09-16
4680,8382335,5690431,947,770,1.52E-04,3.99E-02,018,2011-09-16
3560,8382008,5277441,925,720,1.49E-04,3.54E-02,018,2011-09-16
4587,8380275,5629492,938,753,1.01E-04,3.41E-02,018,2011-09-16
621,8388127,5391782,975,771,1.38E-04,2.36E-02,018,2011-09-16
4668,8384142,5587670,987,794,1.28E-04,3.59E-02,018,2011-09-16
7604,8387579,3600964,967,515,1.74E-04,2.50E-02,018,2011-09-16
7877,8374764,3711592,961,535,1.78E-04,2.18E-02,018,2011-09-16
4044,8376385,4587141,960,646,9.08E-05,3.09E-02,018,2011-09-16
2114,8372260,5637678,965,784,1.71E-04,3.43E-02,018,2011-09-16
7384,8382317,4323140,853,593,1.05E-04,2.48E-02,018,2011-09-16
2905,8387378,4999732,972,733,1.49E-04,3.30E-02,018,2011-09-16
2123,8386879,4523101,950,648,1.14E-04,3.04E-02,018,2011-09-16
4832,8388503,5048317,1625,1114,3.01E-04,5.39E-02,018,2011-09-16
545,8376314,4955692,1030,757,1.70E-04,3.69E-02,018,2011-09-16
2263,8382602,5089140,904,685,1.50E-04,3.50E-02,018,2011-09-16
3524,8379961,3101716,755,428,1.75E-04,2.91E-02,018,2011-09-16
3941,8379683,445086,543,49,1.39E-04,1.76E-02,018,2011-09-16
952,8380316,3437024,843,500,1.29E-04,1.82E-02,018,2011-09-16
