,,,,,,,,,SIMULATOR_DOMAINS:1024
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run16
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:MIN_FINGERPRINT
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.131.3.247,10.131.3.249,10.129.2.241,10.128.4.141,10.129.5.12,10.131.3.248,10.129.5.13,10.129.2.242
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638450155.1104004
,,,,,,,,,STOP_TIME:1638450345.8038142
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
6114,4414495,2528000,585,436,2.71E-04,2.07E-02,018,2011-09-16
299,7822423,4826718,900,697,1.97E-04,4.89E-02,018,2011-09-16
5546,12567769,7425646,1326,983,1.71E-04,3.80E-02,018,2011-09-16
2780,10538283,6160171,1123,827,1.35E-04,4.47E-02,018,2011-09-16
6443,8942845,5186309,964,704,1.20E-04,2.47E-02,018,2011-09-16
4609,12574749,8227973,1531,1193,1.50E-04,3.48E-02,018,2011-09-16
7848,12580519,7375330,1394,981,1.48E-04,4.65E-02,018,2011-09-16
7468,11803356,7355528,1312,992,1.54E-04,4.26E-02,018,2011-09-16
5961,8645698,5770652,1050,841,1.66E-04,3.09E-02,018,2011-09-16
3385,8369268,3560436,961,510,1.18E-04,2.99E-02,018,2011-09-16
6790,12572696,6157391,1449,873,1.58E-04,2.52E-02,018,2011-09-16
7208,9855088,6020975,1145,851,1.12E-04,3.81E-02,018,2011-09-16
2138,12582085,7043641,1341,968,1.32E-04,4.49E-02,018,2011-09-16
5639,12575648,7313390,1422,1047,1.39E-04,4.43E-02,018,2011-09-16
6825,4973598,2506868,576,370,2.74E-04,1.20E-02,018,2011-09-16
4832,12578953,7060538,2149,1423,1.97E-04,4.21E-02,018,2011-09-16
2338,11906730,7260348,1327,1003,1.41E-04,4.53E-02,018,2011-09-16
3524,12566793,3921050,1076,538,1.50E-04,4.00E-02,018,2011-09-16
5051,7868798,1304846,610,196,9.29E-05,1.31E-02,018,2011-09-16
7938,8616661,4043047,899,580,9.66E-05,3.26E-02,018,2011-09-16
6300,12581848,5552482,1330,830,9.49E-05,2.79E-02,018,2011-09-16
2410,7850189,4399650,836,613,1.44E-04,2.99E-02,018,2011-09-16
6116,12580014,7497275,1349,1004,9.16E-05,4.53E-02,018,2011-09-16
7362,12578853,6244120,1458,858,8.68E-05,4.19E-02,018,2011-09-16
2577,12578920,5923668,1313,861,1.65E-04,5.04E-02,018,2011-09-16
4693,7885140,4384916,824,596,8.99E-05,1.75E-02,018,2011-09-16
6116,12580432,5644974,1380,768,9.57E-05,4.02E-02,018,2011-09-16
3696,12576256,7810762,1393,1064,8.87E-05,4.98E-02,018,2011-09-16
2216,7821631,4530797,816,608,1.13E-04,5.35E-02,018,2011-09-16
2979,12573417,8016331,2772,1663,9.97E-05,1.13E-01,018,2011-09-16
7960,8037800,3930957,932,651,9.13E-05,3.24E-02,018,2011-09-16
6633,9721386,5669939,1708,1191,2.08E-04,3.45E-02,018,2011-09-16
891,7970996,5115849,1304,864,2.34E-04,3.55E-02,018,2011-09-16
4391,4492995,2915889,741,534,2.78E-04,1.57E-02,018,2011-09-16
405,4948742,549168,385,91,8.19E-05,1.26E-02,018,2011-09-16
6500,11470619,1841249,889,236,9.30E-05,1.84E-02,018,2011-09-16
371,8548487,801801,644,112,9.38E-05,2.04E-02,018,2011-09-16
1015,4956628,491916,367,74,7.68E-05,1.28E-02,018,2011-09-16
1541,5698153,640308,544,138,1.68E-04,1.88E-02,018,2011-09-16
8115,12581826,710092,877,88,8.83E-05,3.30E-02,018,2011-09-16
1158,5772604,1383417,475,179,9.52E-05,1.60E-02,018,2011-09-16
4421,6629899,815801,537,123,1.00E-04,1.23E-02,018,2011-09-16
1961,10223838,899418,848,164,1.89E-04,2.73E-02,018,2011-09-16
6445,7939989,995502,594,134,1.08E-04,1.38E-02,018,2011-09-16
4634,12568033,684849,859,87,8.03E-05,1.73E-02,018,2011-09-16
172,4734554,349347,343,39,8.76E-05,1.48E-02,018,2011-09-16
7383,7413382,1197076,627,229,7.30E-05,2.14E-02,018,2011-09-16
158,4352789,2541813,589,442,2.28E-04,2.05E-02,018,2011-09-17
2563,12580304,7431054,1394,1034,1.18E-04,5.37E-02,018,2011-09-17
7699,12580039,7334647,1337,983,1.14E-04,4.71E-02,018,2011-09-17
7268,11018454,6638932,1183,884,2.38E-04,4.37E-02,018,2011-09-17
2356,8331103,4807443,899,650,1.89E-04,4.33E-02,018,2011-09-17
6096,12579324,8178431,1536,1192,2.80E-04,6.38E-02,018,2011-09-17
7848,12580519,0,1394,0,1.57E-04,2.07E-02,018,2011-09-17
7468,11803356,0,1312,0,1.66E-04,1.73E-02,018,2011-09-17
5961,8645698,0,1050,0,2.07E-04,1.21E-02,018,2011-09-17
3385,8369268,0,961,0,1.45E-04,1.26E-02,018,2011-09-17
6790,12572696,0,1449,0,1.74E-04,1.30E-02,018,2011-09-17
7208,9855088,0,1145,0,1.38E-04,1.54E-02,018,2011-09-17
2138,12582085,0,1341,0,1.07E-04,1.68E-02,018,2011-09-17
5639,12575648,0,1422,0,1.14E-04,1.48E-02,018,2011-09-17
6825,4973598,0,576,0,1.53E-04,5.94E-03,018,2011-09-17
4832,12574372,10366,2153,6,1.82E-04,1.73E-02,018,2011-09-17
2338,11921581,14851,1328,1,1.07E-04,1.66E-02,018,2011-09-17
3524,12566793,0,1076,0,1.05E-04,1.32E-02,018,2011-09-17
5051,7868798,0,610,0,1.09E-04,6.56E-03,018,2011-09-17
7938,8616661,0,899,0,9.74E-05,1.19E-02,018,2011-09-17
6300,12581848,0,1330,0,9.64E-05,1.14E-02,018,2011-09-17
2410,7850189,0,836,0,1.03E-04,1.07E-02,018,2011-09-17
6116,12580014,0,1349,0,9.74E-05,1.44E-02,018,2011-09-17
7362,12578853,0,1458,0,1.29E-04,1.81E-02,018,2011-09-17
2577,12578920,0,1313,0,1.02E-04,1.64E-02,018,2011-09-17
4693,7885140,0,824,0,9.27E-05,8.35E-03,018,2011-09-17
6116,12580432,0,1380,0,9.75E-05,1.44E-02,018,2011-09-17
3696,12576256,0,1393,0,1.06E-04,1.74E-02,018,2011-09-17
2216,7821631,0,816,0,1.32E-04,1.07E-02,018,2011-09-17
2979,12573417,0,2772,0,9.73E-05,3.14E-02,018,2011-09-17
7960,8037800,0,932,0,8.23E-05,1.43E-02,018,2011-09-17
6633,9715630,539,1703,2,2.16E-04,1.56E-02,018,2011-09-17
891,7970996,0,1304,0,2.32E-04,1.32E-02,018,2011-09-17
4391,4492995,0,741,0,2.22E-04,8.86E-03,018,2011-09-17
405,4948742,0,385,0,8.43E-05,5.29E-03,018,2011-09-17
6500,11470619,0,889,0,9.32E-05,9.02E-03,018,2011-09-17
371,8548487,0,644,0,7.04E-05,7.42E-03,018,2011-09-17
1015,4956628,0,367,0,7.83E-05,4.95E-03,018,2011-09-17
1541,5698153,0,544,0,1.60E-04,6.95E-03,018,2011-09-17
8115,12581826,0,877,0,1.00E-04,1.20E-02,018,2011-09-17
1158,5772604,0,475,0,8.29E-05,6.07E-03,018,2011-09-17
4421,6629899,0,537,0,9.13E-05,6.26E-03,018,2011-09-17
1961,10223838,0,848,0,1.73E-04,8.97E-03,018,2011-09-17
6445,7939989,0,594,0,7.06E-05,5.92E-03,018,2011-09-17
4634,12568033,0,859,0,8.31E-05,8.88E-03,018,2011-09-17
172,4734554,0,343,0,7.58E-05,5.06E-03,018,2011-09-17
7383,7416716,38781,629,10,7.00E-05,9.70E-03,018,2011-09-17
6114,4388415,672040,585,94,2.12E-04,1.13E-02,018,2011-09-18
4663,12581545,7192406,1355,989,1.33E-04,3.75E-02,018,2011-09-18
3325,8306992,5310222,918,722,1.29E-04,3.52E-02,018,2011-09-18
7714,12578502,7351953,1337,990,9.12E-05,4.63E-02,018,2011-09-18
1561,6895321,4117129,740,556,1.50E-04,2.40E-02,018,2011-09-18
6443,9345257,3768131,1012,471,1.79E-04,2.06E-02,018,2011-09-18
6096,12580428,535354,1526,65,1.64E-04,1.79E-02,018,2011-09-18
4587,12577177,7398488,1402,982,1.43E-04,3.84E-02,018,2011-09-18
3560,12310449,7491719,1363,1006,1.53E-04,5.01E-02,018,2011-09-18
5961,8645698,0,1050,0,2.33E-04,1.25E-02,018,2011-09-18
3385,8369268,0,961,0,1.14E-04,3.19E-02,018,2011-09-18
6790,12572696,0,1449,0,2.45E-04,1.47E-02,018,2011-09-18
7208,9855088,0,1145,0,1.52E-04,1.47E-02,018,2011-09-18
2138,12582085,0,1341,0,1.56E-04,1.71E-02,018,2011-09-18
5639,12575648,0,1422,0,1.26E-04,1.51E-02,018,2011-09-18
6825,4973598,0,576,0,1.89E-04,6.09E-03,018,2011-09-18
4832,12574238,11993,2153,7,2.07E-04,2.08E-02,018,2011-09-18
