,,,,,,,,,SIMULATOR_DOMAINS:128
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:-
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run17
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:-
,,,,,,,,,SIMULATOR_ROUTING:MIN_FINGERPRINT
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_REGION_ALGO:FIXED-SIZE
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.128.4.142,10.129.5.14,10.131.3.252,10.129.2.243,10.128.4.143,10.131.3.250,10.131.3.251,10.129.2.244
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638450406.691232
,,,,,,,,,STOP_TIME:1638450625.047015
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
994,4183773,2428350,561,420,2.10E-04,2.52E-02,018,2011-09-16
191,4178028,2518802,465,359,1.27E-04,1.50E-02,018,2011-09-16
280,4186964,2668075,489,388,1.04E-04,1.84E-02,018,2011-09-16
426,4188589,2682126,453,358,8.79E-05,1.91E-02,018,2011-09-16
392,4193540,2457189,438,325,1.05E-04,1.77E-02,018,2011-09-16
959,4193256,2452249,437,329,8.23E-05,1.85E-02,018,2011-09-16
732,4193916,2616418,450,351,1.22E-04,1.75E-02,018,2011-09-16
167,4190446,2536051,445,339,1.57E-04,1.14E-02,018,2011-09-16
946,4179453,2503853,462,356,1.61E-04,1.80E-02,018,2011-09-16
869,4191667,2370034,447,322,1.07E-04,1.71E-02,018,2011-09-16
732,4187732,2652128,443,346,9.36E-05,1.51E-02,018,2011-09-16
591,4190351,2770994,589,459,1.72E-04,2.45E-02,018,2011-09-16
584,4192723,2850538,467,381,1.43E-04,1.85E-02,018,2011-09-16
621,4189052,2938734,481,402,1.21E-04,5.18E-02,018,2011-09-16
488,4185694,2435286,434,325,9.37E-05,1.69E-02,018,2011-09-16
806,4192399,2923695,490,408,1.10E-04,1.51E-02,018,2011-09-16
491,4192412,2884457,473,389,9.68E-05,2.02E-02,018,2011-09-16
584,4190265,44293,465,4,9.13E-05,6.82E-03,018,2011-09-16
621,4185748,40989,481,4,1.21E-04,6.89E-03,018,2011-09-16
488,4182703,1563568,493,250,9.36E-05,1.44E-02,018,2011-09-16
762,4179347,2867127,496,402,1.31E-04,1.52E-02,018,2011-09-16
348,4189422,2790846,487,400,9.79E-05,1.66E-02,018,2011-09-16
436,4189879,1628624,477,230,1.99E-04,1.29E-02,018,2011-09-16
973,4185874,2230110,488,320,9.41E-05,1.65E-02,018,2011-09-16
709,4179971,2101039,499,307,1.36E-04,1.24E-02,018,2011-09-16
344,4191307,1899910,465,268,9.07E-05,1.21E-02,018,2011-09-16
972,4184379,2046196,462,272,1.03E-04,1.44E-02,018,2011-09-16
469,4193131,2789230,496,405,1.21E-04,1.82E-02,018,2011-09-16
66,4181311,2988507,495,420,1.23E-04,2.07E-02,018,2011-09-16
806,4192248,2750764,472,382,1.18E-04,1.49E-02,018,2011-09-16
453,4192476,1795057,386,236,1.15E-04,1.30E-02,018,2011-09-16
795,4181976,2656995,470,374,9.77E-05,1.39E-02,018,2011-09-16
430,4185895,2526262,475,372,8.79E-05,1.67E-02,018,2011-09-16
521,4187595,2511493,493,369,1.25E-04,1.87E-02,018,2011-09-16
75,4190539,2591453,475,369,9.24E-05,1.85E-02,018,2011-09-16
805,4179464,2121214,473,303,9.51E-05,1.27E-02,018,2011-09-16
736,4191885,3031073,920,706,1.72E-04,2.49E-02,018,2011-09-16
323,4189305,2158267,671,451,3.06E-04,1.97E-02,018,2011-09-16
545,4192266,2213164,558,373,2.02E-04,1.93E-02,018,2011-09-16
290,4193978,2728781,487,387,1.05E-04,1.53E-02,018,2011-09-16
215,4190195,2450561,455,346,1.55E-04,1.74E-02,018,2011-09-16
732,4190995,2771204,466,376,1.02E-04,1.43E-02,018,2011-09-16
452,4183125,2506375,445,342,9.82E-05,2.05E-02,018,2011-09-16
239,4193627,702819,316,101,1.11E-04,1.16E-02,018,2011-09-16
869,4186570,367538,278,42,8.24E-05,9.38E-03,018,2011-09-16
952,4193113,202473,265,19,7.57E-05,1.19E-02,018,2011-09-16
952,4184672,1830096,433,274,6.81E-05,1.60E-02,018,2011-09-16
1009,4189764,1544411,402,214,1.12E-04,1.64E-02,018,2011-09-16
775,4182074,2277203,468,343,8.99E-05,1.51E-02,018,2011-09-16
831,4191700,1739610,440,263,1.36E-04,1.45E-02,018,2011-09-16
265,4192173,2133922,453,319,1.12E-04,1.52E-02,018,2011-09-16
603,4188989,2101514,448,311,1.26E-04,1.91E-02,018,2011-09-16
819,4190671,2748783,468,376,1.56E-04,1.55E-02,018,2011-09-16
213,4178525,2096694,422,291,1.27E-04,1.10E-02,018,2011-09-16
456,4192378,2840319,462,378,1.50E-04,1.89E-02,018,2011-09-16
757,4188721,2416774,436,324,1.25E-04,1.50E-02,018,2011-09-16
489,4189254,2496054,438,331,9.78E-05,1.68E-02,018,2011-09-16
362,4188036,2530207,499,357,1.65E-04,1.45E-02,018,2011-09-16
331,4180590,2674654,483,381,1.32E-04,1.41E-02,018,2011-09-16
704,4191214,2869669,487,392,1.36E-04,1.44E-02,018,2011-09-16
692,4188510,801315,360,137,1.27E-04,1.07E-02,018,2011-09-16
