,,,,,,,,,SIMULATOR_DOMAINS:128
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run20
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:MIN_FINGERPRINT
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.2.249,10.131.2.10,10.128.4.149,10.128.4.148,10.129.5.18,10.129.2.250,10.129.5.19,10.131.2.11
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638451159.232757
,,,,,,,,,STOP_TIME:1638451350.172376
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
994,4414495,2528000,585,436,2.51E-04,2.16E-02,018,2011-09-16
299,7822423,4826718,900,697,1.29E-04,3.46E-02,018,2011-09-16
426,12567769,7425646,1326,983,2.06E-04,5.18E-02,018,2011-09-16
732,10538283,6160171,1123,827,1.60E-04,4.91E-02,018,2011-09-16
299,8942845,5186309,964,704,1.75E-04,3.57E-02,018,2011-09-16
513,12574749,8227973,1531,1193,1.65E-04,3.29E-02,018,2011-09-16
680,12580519,7375330,1394,981,1.41E-04,4.75E-02,018,2011-09-16
300,11803356,7355528,1312,992,1.02E-04,4.59E-02,018,2011-09-16
841,8645698,5770652,1050,841,2.26E-04,2.42E-02,018,2011-09-16
313,8369268,3560436,961,510,1.49E-04,2.82E-02,018,2011-09-16
646,12572696,6157391,1449,873,1.75E-04,4.41E-02,018,2011-09-16
40,9855088,6020975,1145,851,1.11E-04,4.14E-02,018,2011-09-16
90,12582085,7043641,1341,968,1.09E-04,4.63E-02,018,2011-09-16
519,12575648,7313390,1422,1047,1.17E-04,2.91E-02,018,2011-09-16
