,,,,,,,,,SIMULATOR_DOMAINS:1
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:-
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run2
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:-
,,,,,,,,,SIMULATOR_ROUTING:FIRST_FINGERPRINT_7
,,,,,,,,,SIMULATOR_REGION_ALGO:FIXED-SIZE
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.2.139
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638056719.429174
,,,,,,,,,STOP_TIME:1638056926.0766976
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
0,8384409,4834889,1028,763,9.50E-06,4.22E-02,018,2011-09-16
0,8387440,5284478,943,735,5.84E-06,7.39E-02,018,2011-09-16
0,8381916,4831162,875,646,6.96E-06,3.27E-02,018,2011-09-16
0,8379952,5058515,897,674,1.42E-05,6.32E-02,018,2011-09-16
0,8378683,4711204,906,653,5.06E-06,7.20E-02,018,2011-09-16
0,8385744,5343949,1035,796,4.52E-06,3.86E-02,018,2011-09-16
0,8382335,5690431,947,770,4.15E-06,6.27E-02,018,2011-09-16
0,8382008,2943573,925,371,9.42E-06,2.42E-02,018,2011-09-16
0,8380275,1180271,938,136,8.30E-06,4.70E-02,018,2011-09-16
0,8388127,1576558,975,252,8.21E-06,2.01E-02,018,2011-09-16
0,8384142,5587634,987,793,4.64E-06,6.44E-02,018,2011-09-16
0,8387579,3600964,967,515,4.88E-06,3.02E-02,018,2011-09-16
0,8374764,3501490,961,507,4.49E-06,5.81E-02,018,2011-09-16
0,8376385,4382821,960,619,4.88E-06,3.13E-02,018,2011-09-16
