,,,,,,,,,SIMULATOR_DOMAINS:1024
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run24
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:MAX_FINGERPRINT
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.5.24,10.129.3.2,10.129.3.3,10.131.2.21,10.128.4.156,10.131.2.20,10.128.4.157,10.129.5.25
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638452173.1689668
,,,,,,,,,STOP_TIME:1638452361.9353356
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
6041,4414495,2528000,585,436,1.97E-04,2.28E-02,018,2011-09-16
7473,7822423,4826718,900,697,1.24E-04,2.22E-02,018,2011-09-16
3703,12567769,7425646,1326,983,1.26E-04,4.26E-02,018,2011-09-16
5479,10538283,6160171,1123,827,9.20E-05,3.25E-02,018,2011-09-16
4401,8942845,5186309,964,704,1.22E-04,3.75E-02,018,2011-09-16
284,12574749,8227973,1531,1193,8.28E-05,3.20E-02,018,2011-09-16
4634,12580519,7375330,1394,981,8.51E-05,4.59E-02,018,2011-09-16
7137,11803356,7355528,1312,992,8.21E-05,4.77E-02,018,2011-09-16
7137,8645698,5680118,1050,828,2.01E-04,6.05E-02,018,2011-09-16
482,8369268,3560436,961,510,1.71E-04,1.63E-02,018,2011-09-16
6211,12572696,6157391,1449,873,1.52E-04,5.37E-02,018,2011-09-16
6948,9855088,6020975,1145,851,9.34E-05,7.86E-02,018,2011-09-16
520,12582085,7043641,1341,968,1.19E-04,2.80E-02,018,2011-09-16
3567,12575648,7313390,1422,1047,2.30E-04,4.67E-02,018,2011-09-16
3714,4973598,2506868,576,370,2.34E-04,4.17E-02,018,2011-09-16
900,12578953,7060538,2149,1423,2.71E-04,4.33E-02,018,2011-09-16
154,11906730,7260348,1327,1003,1.86E-04,3.76E-02,018,2011-09-16
2011,12566793,3921050,1076,538,1.80E-04,4.40E-02,018,2011-09-16
6363,7868798,1304846,610,196,1.49E-04,2.08E-02,018,2011-09-16
3088,8616661,4043047,899,580,1.11E-04,2.70E-02,018,2011-09-16
6314,12581848,5552482,1330,830,1.43E-04,4.65E-02,018,2011-09-16
6932,7850189,4399650,836,613,1.72E-04,7.14E-02,018,2011-09-16
7256,12580014,7497275,1349,1004,1.43E-04,3.13E-02,018,2011-09-16
5439,12578853,6244120,1458,858,1.10E-04,3.63E-02,018,2011-09-16
7118,12578920,5923668,1313,861,1.33E-04,4.61E-02,018,2011-09-16
2877,7885140,4384916,824,596,1.46E-04,4.01E-02,018,2011-09-16
7256,12580432,5644974,1380,768,1.79E-04,2.79E-02,018,2011-09-16
5622,12576256,7810762,1393,1064,1.42E-04,4.50E-02,018,2011-09-16
4706,7821631,4530797,816,608,1.14E-04,3.01E-02,018,2011-09-16
1618,12573417,8016331,2772,1663,1.21E-04,8.64E-02,018,2011-09-16
5317,8037800,3930957,932,651,1.56E-04,2.84E-02,018,2011-09-16
2001,9721386,5669939,1708,1191,2.23E-04,1.02E-01,018,2011-09-16
6903,7970996,5115849,1304,864,2.97E-04,4.65E-02,018,2011-09-16
8186,4492995,2915889,741,534,2.33E-04,1.66E-02,018,2011-09-16
6295,4948742,549168,385,91,9.21E-05,1.51E-02,018,2011-09-16
6118,11470619,1841249,889,236,1.08E-04,2.74E-02,018,2011-09-16
6486,8548487,801801,644,112,1.49E-04,2.48E-02,018,2011-09-16
6486,4956628,279086,367,44,1.29E-04,8.76E-03,018,2011-09-16
1709,5698153,640308,544,138,1.89E-04,2.24E-02,018,2011-09-16
6118,12581826,710092,877,88,1.47E-04,2.80E-02,018,2011-09-16
1230,5772604,1383417,475,179,1.31E-04,1.89E-02,018,2011-09-16
8049,6629899,815801,537,123,1.76E-04,1.40E-02,018,2011-09-16
6118,10223838,858844,848,160,2.36E-04,2.78E-02,018,2011-09-16
3322,7939989,995502,594,134,1.62E-04,2.03E-02,018,2011-09-16
624,12568033,684849,859,87,1.86E-04,2.27E-02,018,2011-09-16
271,4734554,349347,343,39,1.41E-04,8.92E-03,018,2011-09-16
6637,7413382,1197076,627,229,7.45E-05,2.39E-02,018,2011-09-16
6041,4352789,672338,589,100,2.14E-04,1.16E-02,018,2011-09-17
381,12580304,7431054,1394,1034,1.82E-04,3.43E-02,018,2011-09-17
2125,12580039,7334647,1337,983,1.59E-04,4.65E-02,018,2011-09-17
1872,11018454,6638932,1183,884,1.47E-04,4.55E-02,018,2011-09-17
4401,8331103,2749975,899,336,9.53E-05,2.37E-02,018,2011-09-17
