,,,,,,,,,SIMULATOR_DOMAINS:128
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:-
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run25
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:-
,,,,,,,,,SIMULATOR_ROUTING:MAX_FINGERPRINT
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_REGION_ALGO:FIXED-SIZE
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.3.4,10.129.5.26,10.131.2.27,10.128.4.158,10.128.4.159,10.129.3.5,10.131.2.25,10.131.2.26
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638452425.63687
,,,,,,,,,STOP_TIME:1638452642.7925665
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
921,4183773,2428350,561,420,2.73E-04,2.31E-02,018,2011-09-16
305,4178028,2518802,465,359,1.70E-04,1.71E-02,018,2011-09-16
927,4186964,2668075,489,388,1.65E-04,1.60E-02,018,2011-09-16
519,4188589,2682126,453,358,1.36E-04,2.10E-02,018,2011-09-16
106,4193540,2457189,438,325,1.67E-04,1.97E-02,018,2011-09-16
323,4193256,2452249,437,329,9.06E-05,1.45E-02,018,2011-09-16
296,4193916,2616418,450,351,1.06E-04,1.43E-02,018,2011-09-16
454,4190446,2536051,445,339,1.37E-04,1.94E-02,018,2011-09-16
426,4179453,2503853,462,356,1.73E-04,1.90E-02,018,2011-09-16
462,4191667,2370034,447,322,1.79E-04,1.78E-02,018,2011-09-16
184,4187732,2652128,443,346,9.91E-05,1.40E-02,018,2011-09-16
726,4190351,2770994,589,459,1.28E-04,2.74E-02,018,2011-09-16
503,4192723,2850538,467,381,1.05E-04,2.14E-02,018,2011-09-16
322,4189052,2938734,481,402,1.39E-04,1.55E-02,018,2011-09-16
793,4185694,2435286,434,325,1.08E-04,1.71E-02,018,2011-09-16
38,4192399,2923695,490,408,9.60E-05,1.86E-02,018,2011-09-16
31,4192412,2884457,473,389,1.01E-04,1.73E-02,018,2011-09-16
358,4190265,2838018,465,379,1.24E-04,1.41E-02,018,2011-09-16
322,4185748,40989,481,4,1.33E-04,6.28E-03,018,2011-09-16
957,4182703,2595893,493,387,1.59E-04,1.56E-02,018,2011-09-16
388,4179347,2867127,496,402,1.42E-04,1.91E-02,018,2011-09-16
874,4189422,2790846,487,400,9.70E-05,1.51E-02,018,2011-09-16
680,4189879,1628624,477,230,1.20E-04,1.47E-02,018,2011-09-16
818,4185874,2230110,488,320,9.43E-05,1.33E-02,018,2011-09-16
681,4179971,2101039,499,307,1.25E-04,1.55E-02,018,2011-09-16
724,4191307,1899910,465,268,9.29E-05,1.50E-02,018,2011-09-16
452,4184379,2046196,462,272,9.45E-05,1.48E-02,018,2011-09-16
360,4193131,2789230,496,405,1.16E-04,1.49E-02,018,2011-09-16
45,4181311,2988507,495,420,1.17E-04,1.95E-02,018,2011-09-16
33,4192248,2750764,472,382,9.52E-05,1.74E-02,018,2011-09-16
966,4192476,1795057,386,236,8.89E-05,1.18E-02,018,2011-09-16
257,4181976,2656995,470,374,9.64E-05,1.52E-02,018,2011-09-16
632,4185895,2526262,475,372,8.38E-05,1.87E-02,018,2011-09-16
781,4187595,2511493,493,369,1.52E-04,1.49E-02,018,2011-09-16
259,4190539,2591453,475,369,8.99E-05,1.49E-02,018,2011-09-16
533,4179464,2121214,473,303,1.19E-04,1.67E-02,018,2011-09-16
900,4191885,3031073,920,706,1.80E-04,2.50E-02,018,2011-09-16
311,4189305,2158267,671,451,2.57E-04,1.86E-02,018,2011-09-16
11,4192266,2213164,558,373,2.10E-04,1.95E-02,018,2011-09-16
154,4193978,2728781,487,387,1.24E-04,1.33E-02,018,2011-09-16
897,4190195,2450561,455,346,8.78E-05,1.64E-02,018,2011-09-16
277,4190995,2771204,466,376,1.41E-04,1.63E-02,018,2011-09-16
680,4183125,2506375,445,342,1.09E-04,1.72E-02,018,2011-09-16
723,4193627,702819,316,101,1.05E-04,1.25E-02,018,2011-09-16
58,4186570,367538,278,42,9.39E-05,2.46E-02,018,2011-09-16
38,4193113,202473,265,19,7.42E-05,1.11E-02,018,2011-09-16
38,4184672,1830096,433,274,6.47E-05,1.44E-02,018,2011-09-16
569,4189764,1544411,402,214,9.27E-05,1.66E-02,018,2011-09-16
128,4182074,2277203,468,343,8.81E-05,1.20E-02,018,2011-09-16
170,4191700,1739610,440,263,8.72E-05,1.06E-02,018,2011-09-16
550,4192173,2133922,453,319,8.62E-05,1.81E-02,018,2011-09-16
170,4188989,2101478,448,310,9.03E-05,1.07E-02,018,2011-09-16
187,4190671,2748783,468,376,1.12E-04,1.13E-02,018,2011-09-16
169,4178525,2096694,422,291,9.54E-05,1.07E-02,018,2011-09-16
832,4192378,2840319,462,378,1.24E-04,1.48E-02,018,2011-09-16
435,4188721,2416774,436,324,8.93E-05,1.76E-02,018,2011-09-16
94,4189254,2496054,438,331,9.77E-05,1.81E-02,018,2011-09-16
788,4188036,2530207,499,357,1.09E-04,1.38E-02,018,2011-09-16
450,4180590,2674654,483,381,1.19E-04,1.87E-02,018,2011-09-16
813,4191214,2869669,487,392,1.16E-04,1.53E-02,018,2011-09-16
123,4188510,801315,360,137,1.24E-04,1.46E-02,018,2011-09-16
640,4185923,2530656,487,380,1.21E-04,1.85E-02,018,2011-09-16
503,4193630,2713040,448,356,9.25E-05,1.76E-02,018,2011-09-16
791,4185450,2743562,473,381,1.18E-04,1.61E-02,018,2011-09-16
399,4193237,2044663,410,277,8.77E-05,1.63E-02,018,2011-09-16
126,4192689,2794263,470,380,1.16E-04,1.76E-02,018,2011-09-16
743,4190109,2621365,461,362,1.20E-04,1.80E-02,018,2011-09-16
240,4193273,2756358,457,365,1.10E-04,1.13E-02,018,2011-09-16
11,4190106,2798389,478,387,1.26E-04,1.84E-02,018,2011-09-16
145,4183169,2278105,430,307,9.43E-05,1.05E-02,018,2011-09-16
474,4182130,2708745,470,375,1.07E-04,1.84E-02,018,2011-09-16
494,4186330,2498978,438,333,1.21E-04,1.73E-02,018,2011-09-16
47,4185153,2498196,442,336,1.00E-04,1.66E-02,018,2011-09-16
542,4192100,3362293,1265,799,3.10E-04,4.18E-02,018,2011-09-16
750,4189636,2408225,1022,631,3.01E-04,3.18E-02,018,2011-09-16
221,4184411,1551555,413,237,1.34E-04,9.59E-03,018,2011-09-16
955,4191250,2503288,521,404,8.19E-05,1.84E-02,018,2011-09-16
300,4191731,2889325,959,743,2.19E-04,2.97E-02,018,2011-09-16
398,4192793,1841007,580,385,2.25E-04,2.12E-02,018,2011-09-16
53,4183930,2974796,699,498,1.27E-04,2.42E-02,018,2011-09-16
123,4189718,2515102,672,436,1.48E-04,2.33E-02,018,2011-09-16
1007,4190614,2912442,688,506,8.06E-05,2.15E-02,018,2011-09-16
107,4183830,1817362,496,310,8.36E-05,1.89E-02,018,2011-09-16
751,4188309,736853,343,107,7.26E-05,1.30E-02,018,2011-09-16
557,4188724,1159054,348,149,8.34E-05,1.43E-02,018,2011-09-16
865,4183744,319172,305,36,7.36E-05,1.10E-02,018,2011-09-16
751,4188954,67169,274,7,7.39E-05,8.26E-03,018,2011-09-16
