,,,,,,,,,SIMULATOR_DOMAINS:1024
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run31
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:Q_LEARNING
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.2.220,10.131.3.216,10.128.4.122,10.128.4.121,10.129.4.244,10.129.2.221,10.131.3.217,10.129.4.245
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638392898.7340155
,,,,,,,,,STOP_TIME:1638393108.980397

domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
8187,4414495,2528000,585,436,3.05E-04,1.74E-02,018,2011-09-16
7473,6285830,4089548,742,592,3.35E-04,1.59E-02,018,2011-09-16
1058,6283425,3732550,665,503,2.69E-04,2.39E-02,018,2011-09-16
6748,6279510,3682068,659,492,2.33E-04,3.90E-02,018,2011-09-16
5392,6284664,3854274,670,514,2.63E-04,2.78E-02,018,2011-09-16
4124,5795046,3335868,613,454,1.87E-04,1.62E-02,018,2011-09-16
1591,2582098,1610851,287,226,3.39E-04,1.05E-02,018,2011-09-16
7630,6290809,3617179,669,487,3.55E-04,1.45E-02,018,2011-09-16
2393,6286669,4192124,814,642,3.51E-04,4.36E-02,018,2011-09-16
6674,6284040,4211938,716,583,4.35E-04,2.32E-02,018,2011-09-16
6239,3552324,2205502,376,291,1.84E-04,1.22E-02,018,2011-09-16
7137,6288730,4158891,708,569,1.85E-04,2.22E-02,018,2011-09-16
664,3725048,2575045,422,347,1.90E-04,1.88E-02,018,2011-09-16
7137,6284879,2010453,711,248,1.85E-04,1.47E-02,018,2011-09-16
125,4606872,2912421,498,390,1.85E-04,1.87E-02,018,2011-09-16
7137,2229231,1370080,295,223,2.30E-04,9.32E-03,018,2011-09-16
7914,6287395,4241449,739,597,2.52E-04,1.55E-02,018,2011-09-16
1071,3564044,2458768,424,352,2.40E-04,1.59E-02,018,2011-09-16
7324,4934296,1210769,553,177,1.84E-04,8.03E-03,018,2011-09-16
6211,2493776,1707883,301,250,1.85E-04,1.07E-02,018,2011-09-16
377,6278485,2792847,728,406,1.98E-04,2.03E-02,018,2011-09-16
2410,5321613,2621403,581,343,1.97E-04,1.75E-02,018,2011-09-16
5547,6282761,4026166,757,596,1.87E-04,2.74E-02,018,2011-09-16
1272,5897052,3961323,673,549,1.71E-04,2.18E-02,018,2011-09-16
134,6285488,3202031,616,420,1.84E-04,2.08E-02,018,2011-09-16
6032,6290336,3678031,697,531,2.19E-04,2.39E-02,018,2011-09-16
7095,6281243,3869886,734,561,2.11E-04,3.73E-02,018,2011-09-16
455,6277660,3396593,710,489,2.00E-04,2.30E-02,018,2011-09-16
692,6291399,4268215,1293,947,1.89E-04,7.32E-02,018,2011-09-16
1048,6287770,2902097,851,522,1.85E-04,2.22E-02,018,2011-09-16
680,2885844,1946870,324,266,2.07E-04,1.30E-02,018,2011-09-16
3370,6286054,3789427,721,553,1.80E-04,2.77E-02,018,2011-09-16
4499,3885317,2498294,423,335,1.85E-04,1.05E-02,018,2011-09-16
7877,6291396,3532034,664,490,2.04E-04,1.51E-02,018,2011-09-16
