,,,,,,,,,SIMULATOR_DOMAINS:128
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run35
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:Q_LEARNING
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.4.252,10.131.3.226,10.131.3.227,10.129.2.228,10.128.4.129,10.129.4.251,10.129.2.229,10.131.3.225
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638394073.6309607
,,,,,,,,,STOP_TIME:1638394278.8003821
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
1019,4414495,2528000,585,436,3.47E-04,2.11E-02,018,2011-09-16
305,6285830,4089548,742,592,1.81E-04,2.48E-02,018,2011-09-16
34,6283425,3732550,665,503,1.88E-04,1.86E-02,018,2011-09-16
604,6279510,3682068,659,492,1.78E-04,2.80E-02,018,2011-09-16
272,6284664,3854274,670,514,1.72E-04,2.09E-02,018,2011-09-16
28,5795046,3335868,613,454,2.48E-04,1.47E-02,018,2011-09-16
567,2582098,1610851,287,226,1.89E-04,1.25E-02,018,2011-09-16
462,6290809,3617179,669,487,3.32E-04,3.23E-02,018,2011-09-16
345,6286669,4192124,814,642,2.01E-04,2.44E-02,018,2011-09-16
530,6284040,4211938,716,583,2.42E-04,2.75E-02,018,2011-09-16
95,3552324,2205502,376,291,2.04E-04,8.80E-03,018,2011-09-16
993,6288730,4158891,708,569,1.97E-04,2.19E-02,018,2011-09-16
664,3725048,2575045,422,347,3.50E-04,1.22E-02,018,2011-09-16
993,6284879,2010453,711,248,2.05E-04,1.52E-02,018,2011-09-16
125,4606872,2912421,498,390,2.25E-04,1.17E-02,018,2011-09-16
993,2229231,1370080,295,223,2.07E-04,9.18E-03,018,2011-09-16
746,6287395,4241449,739,597,2.07E-04,1.55E-02,018,2011-09-16
47,3564044,2458768,424,352,2.22E-04,1.06E-02,018,2011-09-16
156,4934296,1210769,553,177,2.02E-04,1.29E-02,018,2011-09-16
67,2493776,1707883,301,250,1.94E-04,7.74E-03,018,2011-09-16
377,6278485,2792847,728,406,1.98E-04,1.80E-02,018,2011-09-16
362,5321613,2621403,581,343,2.14E-04,1.50E-02,018,2011-09-16
427,6282761,4026166,757,596,3.89E-04,2.97E-02,018,2011-09-16
248,5897052,3961323,673,549,4.96E-04,2.18E-02,018,2011-09-16
134,6285488,3202031,616,420,3.87E-04,1.89E-02,018,2011-09-16
912,6290336,3678031,697,531,3.07E-04,1.96E-02,018,2011-09-16
951,6281243,3869886,734,561,2.15E-04,2.10E-02,018,2011-09-16
455,6277660,3396593,710,489,1.97E-04,2.70E-02,018,2011-09-16
692,6291399,4268215,1293,947,2.25E-04,2.45E-02,018,2011-09-16
24,6287770,2902097,851,522,1.96E-04,1.63E-02,018,2011-09-16
680,2885844,1946870,324,266,2.95E-04,8.19E-03,018,2011-09-16
