,,,,,,,,,SIMULATOR_DOMAINS:1
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run4
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:FIRST_FINGERPRINT_7
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.128.5.241
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638057221.9370859
,,,,,,,,,STOP_TIME:1638057428.7159019
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
0,4414495,2528000,585,436,5.50E-06,2.56E-02,018,2011-09-16
0,7822423,4826718,900,697,4.86E-06,3.22E-02,018,2011-09-16
0,12567769,7425646,1326,983,4.14E-06,6.80E-02,018,2011-09-16
0,10538283,6160171,1123,827,5.05E-06,7.76E-02,018,2011-09-16
0,8942845,5186309,964,704,5.28E-06,7.64E-02,018,2011-09-16
0,12574749,8227973,1531,1193,7.55E-06,8.89E-02,018,2011-09-16
0,12580519,4841910,1394,599,8.46E-06,3.69E-02,018,2011-09-16
0,11803356,508282,1312,67,4.33E-06,4.04E-02,018,2011-09-16
0,8645698,5603185,1050,818,6.59E-06,3.75E-02,018,2011-09-16
0,8369268,3560436,961,510,5.00E-06,5.52E-02,018,2011-09-16
0,12572696,5953071,1449,846,4.98E-06,7.90E-02,018,2011-09-16
0,9855088,5810873,1145,823,6.33E-06,3.98E-02,018,2011-09-16
0,12582085,7043641,1341,968,5.56E-06,7.20E-02,018,2011-09-16
0,12575648,7313354,1422,1046,4.31E-06,8.51E-02,018,2011-09-16
0,4973598,2461940,576,363,8.86E-06,6.21E-02,018,2011-09-16
0,12578953,6692947,2149,1370,6.17E-06,9.05E-02,018,2011-09-16
0,11906730,7260310,1327,1001,5.34E-06,8.52E-02,018,2011-09-16
0,12566793,3921014,1076,537,5.84E-06,3.95E-02,018,2011-09-16
0,7868798,1064812,610,162,4.35E-06,4.69E-02,018,2011-09-16
0,8616661,4043011,899,579,4.24E-06,3.23E-02,018,2011-09-16
0,12581848,5045834,1330,753,4.29E-06,6.90E-02,018,2011-09-16
0,7850189,4076771,836,565,5.50E-06,7.06E-02,018,2011-09-16
0,12580014,7497239,1349,1003,4.32E-06,8.50E-02,018,2011-09-16
0,12578853,5829934,1458,794,4.79E-06,4.17E-02,018,2011-09-16
0,12578920,5463901,1313,792,4.85E-06,6.52E-02,018,2011-09-16
0,7885140,616574,824,80,4.47E-06,1.38E-02,018,2011-09-16
0,12580432,5627631,1380,766,4.57E-06,6.87E-02,018,2011-09-16
0,12576256,7592253,1393,1040,6.09E-06,8.69E-02,018,2011-09-16
0,7821631,4033940,816,541,5.20E-06,7.01E-02,018,2011-09-16
0,12573417,7932130,2772,1640,1.48E-05,1.02E-01,018,2011-09-16
0,8037800,3930921,932,650,5.39E-06,7.43E-02,018,2011-09-16
0,9721386,5612527,1708,1179,8.98E-06,8.70E-02,018,2011-09-16
0,7970996,5108881,1304,858,7.48E-06,7.79E-02,018,2011-09-16
0,4492995,2834439,741,515,1.02E-05,4.55E-02,018,2011-09-16
0,4948742,542910,385,88,9.73E-06,2.96E-02,018,2011-09-16
0,11470619,1657513,889,216,5.28E-06,2.78E-02,018,2011-09-16
0,8548487,392370,644,53,6.47E-06,1.63E-02,018,2011-09-16
0,4956628,279086,367,44,4.40E-06,3.68E-02,018,2011-09-16
0,5698153,513770,544,112,4.16E-06,1.90E-02,018,2011-09-16
0,12581826,564301,877,72,6.45E-06,2.77E-02,018,2011-09-16
0,5772604,1144982,475,145,5.22E-06,4.02E-02,018,2011-09-16
0,6629899,447778,537,71,4.59E-06,1.10E-02,018,2011-09-16
0,10223838,789780,848,138,4.37E-06,2.97E-02,018,2011-09-16
0,7939989,995466,594,133,5.14E-06,4.93E-02,018,2011-09-16
0,12568033,684813,859,86,4.83E-06,3.27E-02,018,2011-09-16
0,4734554,349347,343,39,4.55E-06,5.15E-02,018,2011-09-16
0,7413382,1192436,627,224,4.17E-06,2.45E-02,018,2011-09-16
0,4352789,672338,589,100,9.25E-06,1.35E-02,018,2011-09-17
0,12580304,5451295,1394,750,5.22E-06,4.55E-02,018,2011-09-17
0,12580039,5889154,1337,741,9.16E-06,7.74E-02,018,2011-09-17
0,11018454,4954158,1183,616,9.40E-06,3.76E-02,018,2011-09-17
0,8331103,2749975,899,336,4.44E-06,5.31E-02,018,2011-09-17
0,12579324,657485,1536,86,4.36E-06,2.55E-02,018,2011-09-17
0,12580519,0,1394,0,4.94E-06,3.80E-02,018,2011-09-17
0,11803356,0,1312,0,1.11E-05,1.86E-02,018,2011-09-17
0,8645698,0,1050,0,6.19E-06,1.37E-02,018,2011-09-17
0,8369268,0,961,0,5.52E-06,1.27E-02,018,2011-09-17
0,12572696,0,1449,0,4.32E-06,1.81E-02,018,2011-09-17
0,9855088,0,1145,0,4.86E-06,1.47E-02,018,2011-09-17
0,12582085,0,1341,0,4.53E-06,1.71E-02,018,2011-09-17
0,12575648,0,1422,0,1.05E-05,2.18E-02,018,2011-09-17
0,4973598,0,576,0,6.32E-06,8.58E-03,018,2011-09-17
0,12574372,10366,2153,6,5.24E-06,2.65E-02,018,2011-09-17
0,11921581,0,1328,0,6.37E-06,1.87E-02,018,2011-09-17
