,,,,,,,,,SIMULATOR_DOMAINS:1024
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:-
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run6
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:-
,,,,,,,,,SIMULATOR_ROUTING:FIRST_FINGERPRINT_7
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_REGION_ALGO:FIXED-SIZE
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.2.143,10.129.2.142,10.131.3.229,10.128.5.245,10.131.3.228,10.128.5.246,10.131.3.227,10.129.2.144
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638057800.5397847
,,,,,,,,,STOP_TIME:1638058068.9719207
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
8187,8384409,4834889,1028,763,6.50E-06,4.30E-02,018,2011-09-16
7655,8387440,5284478,943,735,5.66E-06,4.40E-02,018,2011-09-16
5852,8381916,4831162,875,646,7.28E-06,3.61E-02,018,2011-09-16
694,8379952,5058515,897,674,5.10E-06,3.58E-02,018,2011-09-16
5766,8378683,4711204,906,653,7.92E-06,3.54E-02,018,2011-09-16
6687,8385744,5343949,1035,796,9.34E-06,3.25E-02,018,2011-09-16
4357,8382335,5690431,947,770,8.48E-06,3.26E-02,018,2011-09-16
1278,8382008,5277441,925,720,9.83E-06,3.73E-02,018,2011-09-16
3587,8380275,5629492,938,753,4.64E-06,3.80E-02,018,2011-09-16
3332,8388127,5391782,975,771,5.17E-06,7.65E-02,018,2011-09-16
5107,8384142,5587670,987,794,6.50E-06,2.86E-02,018,2011-09-16
3901,8387579,3600964,967,515,4.92E-06,2.80E-02,018,2011-09-16
3105,8374764,3711592,961,535,5.37E-06,2.82E-02,018,2011-09-16
3325,8376385,4587141,960,646,5.19E-06,3.13E-02,018,2011-09-16
6976,8372260,5637678,965,784,7.53E-06,2.84E-02,018,2011-09-16
4395,8382317,4323140,853,593,4.61E-06,2.46E-02,018,2011-09-16
6518,8387378,4999732,972,733,4.28E-06,2.74E-02,018,2011-09-16
3391,8386879,4523101,950,648,5.57E-06,3.23E-02,018,2011-09-16
7173,8388503,5048317,1625,1114,4.90E-06,5.02E-02,018,2011-09-16
4107,8376314,4955692,1030,757,6.24E-06,2.79E-02,018,2011-09-16
3214,8382602,5089140,904,685,4.65E-06,3.31E-02,018,2011-09-16
2653,8379961,3101716,755,428,5.05E-06,2.61E-02,018,2011-09-16
6686,8379683,445086,543,49,4.55E-06,1.42E-02,018,2011-09-16
5862,8380316,3437024,843,500,7.02E-06,4.38E-02,018,2011-09-16
2642,8373933,3936315,905,593,1.56E-05,2.67E-02,018,2011-09-16
2289,8380536,3945161,901,585,6.51E-06,2.60E-02,018,2011-09-16
6397,8386970,4761727,895,655,5.16E-06,2.78E-02,018,2011-09-16
5253,8383814,4984409,895,667,4.48E-06,3.18E-02,018,2011-09-16
5077,8387147,4702213,943,647,4.47E-06,2.46E-02,018,2011-09-16
3190,8376332,5103022,972,702,4.50E-06,3.27E-02,018,2011-09-16
1931,8386030,3262413,844,508,4.69E-06,3.15E-02,018,2011-09-16
2213,8382950,5377571,921,726,6.87E-06,2.59E-02,018,2011-09-16
4729,8376819,4799539,884,653,6.36E-06,2.50E-02,018,2011-09-16
408,8386224,4775311,921,654,5.36E-06,3.79E-02,018,2011-09-16
5707,8379356,5016268,902,679,5.76E-06,3.69E-02,018,2011-09-16
2708,8384283,5136965,907,696,4.87E-06,3.01E-02,018,2011-09-16
3765,8383880,5844719,1761,1148,5.17E-06,5.97E-02,018,2011-09-16
7194,8374402,3820268,1381,818,6.61E-06,4.72E-02,018,2011-09-16
3395,8385881,5350777,1517,1146,5.55E-06,5.38E-02,018,2011-09-16
7326,8379462,4721428,1295,838,8.99E-06,4.51E-02,018,2011-09-16
7684,8388591,5221904,1309,879,7.56E-06,7.70E-02,018,2011-09-16
7552,8383559,2490415,839,408,5.75E-06,3.05E-02,018,2011-09-16
6035,8374809,1398139,652,174,6.22E-06,2.47E-02,018,2011-09-16
6634,8383518,481160,570,62,5.06E-06,1.80E-02,018,2011-09-16
4801,8381317,1002294,793,183,4.79E-06,2.21E-02,018,2011-09-16
4471,8376287,721093,623,103,8.03E-06,2.00E-02,018,2011-09-16
4478,8377185,387173,559,45,6.19E-06,1.71E-02,018,2011-09-16
7888,8377665,1778652,717,242,4.91E-06,2.73E-02,018,2011-09-16
7838,8382988,966978,727,181,7.07E-06,2.99E-02,018,2011-09-16
23,8381453,514042,577,59,2.16E-05,2.26E-02,018,2011-09-16
4827,8387663,1000948,650,135,4.74E-06,1.91E-02,018,2011-09-16
6463,8384018,531158,564,66,5.33E-06,1.73E-02,018,2011-09-16
1921,8380878,468971,580,57,2.39E-05,2.35E-02,018,2011-09-16
1848,5435164,1105952,497,215,6.61E-06,2.21E-02,018,2011-09-16
158,8387657,4374883,992,700,7.32E-06,3.81E-02,018,2011-09-17
7092,8382738,5619093,977,783,4.47E-06,3.03E-02,018,2011-09-17
7797,8383959,4983930,883,659,5.64E-06,3.45E-02,018,2011-09-17
1656,8384381,4966614,904,681,4.76E-06,3.56E-02,018,2011-09-17
623,8384066,5156632,907,693,6.80E-06,3.38E-02,018,2011-09-17
6859,8386542,4885854,896,656,9.11E-06,2.69E-02,018,2011-09-17
2494,8377892,5500698,1056,825,2.11E-05,3.15E-02,018,2011-09-17
1302,8384608,5284205,918,715,7.28E-06,3.39E-02,018,2011-09-17
7081,8379812,5723421,959,780,4.66E-06,2.73E-02,018,2011-09-17
5205,8380122,5724322,956,780,5.49E-06,3.50E-02,018,2011-09-17
3868,8387756,5362769,987,772,4.09E-06,3.59E-02,018,2011-09-17
2804,8383659,4533643,965,640,5.96E-06,2.53E-02,018,2011-09-17
5297,8382163,3891943,981,564,4.52E-06,2.87E-02,018,2011-09-17
7916,8384636,3765525,932,517,5.36E-06,3.04E-02,018,2011-09-17
5386,8386802,5589515,990,798,4.35E-06,3.61E-02,018,2011-09-17
1801,8379751,4571492,869,625,4.91E-06,3.24E-02,018,2011-09-17
1966,8380550,5040246,935,717,4.29E-06,3.53E-02,018,2011-09-17
1627,8377692,5040046,974,732,4.28E-06,7.54E-02,018,2011-09-17
5287,8380290,5079781,1379,981,7.73E-06,4.52E-02,018,2011-09-17
4399,8388445,4247432,1245,809,4.56E-06,3.49E-02,018,2011-09-17
494,8382036,5165456,945,731,4.70E-06,3.54E-02,018,2011-09-17
519,8387658,5245117,915,708,9.39E-06,5.06E-02,018,2011-09-17
8132,8378215,1150295,602,156,8.88E-06,2.17E-02,018,2011-09-17
7587,8383382,1902890,684,273,4.58E-06,2.14E-02,018,2011-09-17
5141,8387386,3830338,879,559,4.42E-06,3.64E-02,018,2011-09-17
366,8385512,3713765,889,560,1.03E-05,3.17E-02,018,2011-09-17
353,8375888,4737165,914,672,8.77E-06,5.40E-02,018,2011-09-17
3056,8375569,4888612,885,662,9.72E-06,2.97E-02,018,2011-09-17
965,8386577,4862283,873,646,8.73E-06,3.34E-02,018,2011-09-17
2950,8380637,4220327,983,584,8.96E-06,2.60E-02,018,2011-09-17
6235,8373499,3549003,857,513,4.54E-06,2.45E-02,018,2011-09-17
3667,8377643,5050751,927,708,4.38E-06,3.51E-02,018,2011-09-17
5661,8382043,4702631,888,648,5.47E-06,3.25E-02,018,2011-09-17
7424,8383764,5317431,926,725,4.41E-06,3.38E-02,018,2011-09-17
176,8387622,5488796,936,740,4.69E-06,3.92E-02,018,2011-09-17
2936,8387106,4908275,903,673,6.52E-06,3.83E-02,018,2011-09-17
6587,8385435,4968552,883,665,8.47E-06,2.75E-02,018,2011-09-17
392,8387543,5677756,2259,1330,1.23E-05,9.56E-02,018,2011-09-17
3556,8388036,4030842,961,650,9.42E-06,3.52E-02,018,2011-09-17
1476,8375616,4645610,1524,1078,4.59E-06,5.29E-02,018,2011-09-17
692,8383900,5397890,1381,906,9.05E-06,4.81E-02,018,2011-09-17
7112,8383370,4621975,1193,789,8.76E-06,5.13E-02,018,2011-09-17
7645,8379371,1827069,686,248,6.96E-06,2.52E-02,018,2011-09-17
4474,8378109,489997,584,57,5.04E-06,1.94E-02,018,2011-09-17
4308,8380797,812940,651,116,4.28E-06,2.07E-02,018,2011-09-17
1316,8375695,771282,713,149,7.66E-06,2.75E-02,018,2011-09-17
1002,8383615,764777,647,111,8.10E-06,2.34E-02,018,2011-09-17
4342,8375317,1400484,604,175,4.80E-06,1.94E-02,018,2011-09-17
2611,8382695,791913,657,115,4.82E-06,2.10E-02,018,2011-09-17
6623,8385323,1011562,757,188,5.10E-06,2.47E-02,018,2011-09-17
516,8372774,988073,606,131,4.20E-06,2.32E-02,018,2011-09-17
3940,8381705,535403,596,64,5.98E-06,2.36E-02,018,2011-09-17
5683,8378850,490354,583,66,4.60E-06,2.29E-02,018,2011-09-17
3603,8387032,523674,566,75,8.82E-06,2.27E-02,018,2011-09-17
868,1619142,881389,234,178,8.61E-06,2.53E-02,018,2011-09-17
714,8387142,4463310,979,694,8.23E-06,3.53E-02,018,2011-09-18
3803,8387369,5187917,942,726,8.78E-06,3.52E-02,018,2011-09-18
1708,8385541,5378450,926,729,4.80E-06,3.52E-02,018,2011-09-18
1419,8382692,4957540,889,664,4.08E-06,3.21E-02,018,2011-09-18
6799,8387161,5089096,904,688,4.31E-06,2.83E-02,018,2011-09-18
2630,8387996,4832654,906,661,4.87E-06,2.85E-02,018,2011-09-18
2846,8387649,5224060,984,748,8.02E-06,3.06E-02,018,2011-09-18
2551,8386783,5517980,991,794,6.33E-06,2.99E-02,018,2011-09-18
963,8381343,5301413,914,711,8.93E-06,3.40E-02,018,2011-09-18
4240,8384467,5618042,943,760,1.16E-05,2.99E-02,018,2011-09-18
3365,8385958,5444185,969,768,8.42E-06,3.67E-02,018,2011-09-18
4343,8386431,5642774,985,796,1.01E-05,3.27E-02,018,2011-09-18
647,8387452,3598560,967,518,8.01E-06,2.64E-02,018,2011-09-18
5195,8378809,4172792,984,609,6.44E-06,3.23E-02,018,2011-09-18
7258,8380763,4112731,932,562,5.88E-06,2.87E-02,018,2011-09-18
3168,8383878,5651693,993,811,1.63E-05,4.10E-02,018,2011-09-18
682,8374314,4513356,852,603,5.95E-06,3.25E-02,018,2011-09-18
5194,8372689,4911928,956,725,5.84E-06,3.53E-02,018,2011-09-18
529,8386362,4814121,963,685,1.04E-05,3.33E-02,018,2011-09-18
2362,8385315,4847183,1587,1083,1.58E-05,4.60E-02,018,2011-09-18
2073,8380832,4896619,1024,737,7.77E-06,2.96E-02,018,2011-09-18
4141,8385453,5041698,953,721,6.30E-06,3.00E-02,018,2011-09-18
