,,,,,,,,,SIMULATOR_DOMAINS:16
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run72
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:FIRST_FINGERPRINT_7
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.131.2.72,10.128.4.178,10.131.2.71,10.131.2.73,10.129.5.45,10.129.3.27,10.129.3.26,10.128.4.179
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638470597.372427
,,,,,,,,,STOP_TIME:1638470794.3676245
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
123,4414495,2528000,585,436,6.93E-06,2.55E-02,018,2011-09-16
49,7822423,4826718,900,697,4.15E-06,3.12E-02,018,2011-09-16
119,12567769,7425646,1326,983,4.43E-06,4.75E-02,018,2011-09-16
116,10538283,6160171,1123,827,4.45E-06,7.02E-02,018,2011-09-16
55,8942845,5186309,964,704,4.04E-06,2.79E-02,018,2011-09-16
28,12574749,8227973,1531,1193,7.89E-06,5.52E-02,018,2011-09-16
108,12580519,7375330,1394,981,7.55E-06,5.24E-02,018,2011-09-16
126,11803356,7355528,1312,992,9.30E-06,4.74E-02,018,2011-09-16
97,8645698,5770652,1050,841,8.70E-06,4.11E-02,018,2011-09-16
98,8369268,3560436,961,510,1.55E-05,2.73E-02,018,2011-09-16
67,12572696,6157391,1449,873,5.03E-06,2.94E-02,018,2011-09-16
40,9855088,6020975,1145,851,5.80E-06,3.58E-02,018,2011-09-16
96,12582085,7043641,1341,968,5.07E-06,4.72E-02,018,2011-09-16
117,12575648,7313390,1422,1047,7.76E-06,5.05E-02,018,2011-09-16
54,4973598,2506868,576,370,8.67E-06,1.75E-02,018,2011-09-16
4,12578953,7060538,2149,1423,4.67E-06,7.32E-02,018,2011-09-16
50,11906730,7260348,1327,1003,6.12E-06,4.10E-02,018,2011-09-16
69,12566793,3921050,1076,538,4.94E-06,2.44E-02,018,2011-09-16
114,7868798,1304846,610,196,4.59E-06,1.97E-02,018,2011-09-16
16,8616661,4043047,899,580,4.57E-06,3.21E-02,018,2011-09-16
42,12581848,5552482,1330,830,5.56E-06,4.12E-02,018,2011-09-16
72,7850189,4399650,836,613,8.81E-06,1.66E-02,018,2011-09-16
88,12580014,7497275,1349,1004,6.53E-06,5.09E-02,018,2011-09-16
81,12578853,6244120,1458,858,8.57E-06,7.74E-02,018,2011-09-16
98,12578920,5923668,1313,861,4.84E-06,4.58E-02,018,2011-09-16
36,7885140,4384916,824,596,7.76E-06,2.57E-02,018,2011-09-16
88,12580432,5644974,1380,768,5.81E-06,4.05E-02,018,2011-09-16
100,12576256,7810762,1393,1064,5.75E-06,4.95E-02,018,2011-09-16
80,7821631,4530797,816,608,7.75E-06,2.95E-02,018,2011-09-16
82,12573417,8016331,2772,1663,1.09E-05,1.48E-01,018,2011-09-16
47,8037800,3930957,932,651,9.62E-06,3.04E-02,018,2011-09-16
54,9721386,5669939,1708,1191,6.35E-06,4.84E-02,018,2011-09-16
119,7970996,5115849,1304,864,5.82E-06,4.79E-02,018,2011-09-16
122,4492995,2915889,741,534,5.48E-06,2.75E-02,018,2011-09-16
23,4948742,549168,385,91,5.88E-06,1.48E-02,018,2011-09-16
102,11470619,1841249,889,236,4.23E-06,3.07E-02,018,2011-09-16
86,8548487,801801,644,112,4.84E-06,2.33E-02,018,2011-09-16
102,4956628,491916,367,74,4.39E-06,1.35E-02,018,2011-09-16
102,5698153,594772,544,126,4.10E-06,1.86E-02,018,2011-09-16
102,12581826,564301,877,72,4.00E-06,3.05E-02,018,2011-09-16
50,5772604,1383381,475,178,4.30E-06,1.65E-02,018,2011-09-16
113,6629899,815801,537,123,4.65E-06,1.95E-02,018,2011-09-16
102,10223838,825484,848,145,4.40E-06,2.99E-02,018,2011-09-16
122,7939989,995466,594,133,8.43E-06,2.30E-02,018,2011-09-16
112,12568033,684849,859,87,4.61E-06,3.09E-02,018,2011-09-16
99,4734554,349347,343,39,4.76E-06,1.43E-02,018,2011-09-16
109,7413382,1197076,627,229,4.53E-06,2.19E-02,018,2011-09-16
30,4352789,2541813,589,442,8.76E-06,2.30E-02,018,2011-09-17
49,12580304,5455183,1394,751,4.53E-06,3.54E-02,018,2011-09-17
34,12580039,7334647,1337,983,4.88E-06,4.14E-02,018,2011-09-17
3,11018454,6638932,1183,884,6.12E-06,3.73E-02,018,2011-09-17
64,8331103,4807443,899,650,5.68E-06,1.91E-02,018,2011-09-17
28,12579324,657485,1536,86,5.64E-06,2.20E-02,018,2011-09-17
108,12580519,0,1394,0,1.73E-05,1.77E-02,018,2011-09-17
126,11803356,0,1312,0,8.44E-06,1.79E-02,018,2011-09-17
97,8645698,0,1050,0,6.95E-06,1.38E-02,018,2011-09-17
98,8369268,0,961,0,6.04E-06,1.23E-02,018,2011-09-17
67,12572696,0,1449,0,7.75E-06,1.26E-02,018,2011-09-17
40,9855088,0,1145,0,8.64E-06,1.33E-02,018,2011-09-17
96,12582085,0,1341,0,4.89E-06,1.79E-02,018,2011-09-17
117,12575648,0,1422,0,4.95E-06,1.78E-02,018,2011-09-17
54,4973598,0,576,0,4.63E-06,7.98E-03,018,2011-09-17
