,,,,,,,,,SIMULATOR_DOMAINS:16
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:-
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run74
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:-
,,,,,,,,,SIMULATOR_ROUTING:MIN_FINGERPRINT
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_REGION_ALGO:FIXED-SIZE
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.128.4.183,10.129.3.31,10.129.5.51,10.131.2.76,10.131.2.77,10.129.5.50,10.129.3.30,10.128.4.182
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638471115.3409643
,,,,,,,,,STOP_TIME:1638471322.2794507

domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
98,8384409,4834889,1028,763,2.51E-04,4.20E-02,018,2011-09-16
24,8387440,5284478,943,735,1.14E-04,3.78E-02,018,2011-09-16
8,8381916,4831162,875,646,1.46E-04,3.60E-02,018,2011-09-16
92,8379952,5058515,897,674,1.60E-04,2.43E-02,018,2011-09-16
50,8378683,4711204,906,653,1.45E-04,3.07E-02,018,2011-09-16
92,8385744,5343949,1035,796,1.67E-04,2.16E-02,018,2011-09-16
72,8382335,5690431,947,770,1.49E-04,3.05E-02,018,2011-09-16
104,8382008,5277441,925,720,2.51E-04,3.65E-02,018,2011-09-16
107,8380275,5629492,938,753,1.65E-04,6.39E-02,018,2011-09-16
109,8388127,5391782,975,771,2.16E-04,3.62E-02,018,2011-09-16
60,8384142,5587670,987,794,1.63E-04,3.01E-02,018,2011-09-16
52,8387579,3600964,967,515,2.53E-04,2.38E-02,018,2011-09-16
69,8374764,3711592,961,535,2.04E-04,2.34E-02,018,2011-09-16
76,8376385,4587141,960,646,1.10E-04,2.46E-02,018,2011-09-16
66,8372260,5637678,965,784,1.84E-04,5.22E-02,018,2011-09-16
88,8382317,4323140,853,593,1.62E-04,1.77E-02,018,2011-09-16
89,8387378,4999732,972,733,1.05E-04,2.01E-02,018,2011-09-16
75,8386879,4523101,950,648,1.59E-04,2.71E-02,018,2011-09-16
96,8388503,5048317,1625,1114,2.46E-04,5.21E-02,018,2011-09-16
33,8376314,4955692,1030,757,1.66E-04,2.16E-02,018,2011-09-16
87,8382602,5089140,904,685,1.38E-04,2.20E-02,018,2011-09-16
68,8379961,3101716,755,428,2.87E-04,3.41E-02,018,2011-09-16
101,8379683,445086,543,49,2.51E-04,2.99E-02,018,2011-09-16
56,8380316,3437024,843,500,2.51E-04,3.34E-02,018,2011-09-16
7,8373933,3936315,905,593,1.80E-04,3.34E-02,018,2011-09-16
9,8380536,3945161,901,585,1.51E-04,6.37E-02,018,2011-09-16
51,8386970,4761727,895,655,1.72E-04,2.96E-02,018,2011-09-16
72,8383814,4984409,895,667,1.75E-04,2.58E-02,018,2011-09-16
25,8387147,4702213,943,647,1.02E-04,3.17E-02,018,2011-09-16
75,8376332,5103022,972,702,2.90E-04,3.02E-02,018,2011-09-16
52,8386030,3262413,844,508,2.02E-04,2.48E-02,018,2011-09-16
53,8382950,5377571,921,726,2.06E-04,2.77E-02,018,2011-09-16
85,8376819,4799539,884,653,1.18E-04,1.93E-02,018,2011-09-16
85,8386224,3554467,921,492,1.60E-04,1.66E-02,018,2011-09-16
63,8379356,5016268,902,679,1.32E-04,2.60E-02,018,2011-09-16
125,8384283,5136965,907,696,1.03E-04,3.53E-02,018,2011-09-16
79,8383880,5844719,1761,1148,1.15E-04,4.67E-02,018,2011-09-16
91,8374402,3820268,1381,818,3.53E-04,2.67E-02,018,2011-09-16
88,8385881,5350777,1517,1146,1.29E-04,3.03E-02,018,2011-09-16
52,8379462,4721428,1295,838,3.29E-04,3.73E-02,018,2011-09-16
96,8388591,5221904,1309,879,1.36E-04,4.57E-02,018,2011-09-16
47,8383559,2490415,839,408,1.78E-04,1.79E-02,018,2011-09-16
56,8374809,1398139,652,174,8.90E-05,2.16E-02,018,2011-09-16
54,8383518,481160,570,62,8.97E-05,1.78E-02,018,2011-09-16
71,8381317,1002294,793,183,8.08E-05,2.23E-02,018,2011-09-16
77,8376287,721093,623,103,7.95E-05,1.94E-02,018,2011-09-16
69,8377185,387173,559,45,8.11E-05,1.77E-02,018,2011-09-16
55,8377665,1778652,717,242,1.03E-04,2.13E-02,018,2011-09-16
78,8382988,966978,727,181,6.69E-05,2.11E-02,018,2011-09-16
98,8381453,514042,577,59,7.52E-05,2.19E-02,018,2011-09-16
49,8387663,1000948,650,135,1.39E-04,1.91E-02,018,2011-09-16
46,8384018,531158,564,66,8.70E-05,1.16E-02,018,2011-09-16
30,8380878,468971,580,57,6.95E-05,2.29E-02,018,2011-09-16
29,5435164,1105952,497,215,8.20E-05,1.82E-02,018,2011-09-16
30,8387657,4374883,992,700,2.44E-04,3.69E-02,018,2011-09-17
114,8382738,5619093,977,783,1.85E-04,3.66E-02,018,2011-09-17
19,8383959,4983930,883,659,1.71E-04,3.12E-02,018,2011-09-17
120,8384381,4966614,904,681,1.81E-04,3.45E-02,018,2011-09-17
36,8384066,5156632,907,693,3.62E-04,2.23E-02,018,2011-09-17
123,8386542,4885854,896,656,1.55E-04,3.36E-02,018,2011-09-17
105,8377892,5500698,1056,825,1.80E-04,3.85E-02,018,2011-09-17
109,8384608,1463230,918,195,9.88E-05,1.85E-02,018,2011-09-17
38,8379812,5723421,959,780,1.43E-04,2.04E-02,018,2011-09-17
72,8380122,251547,956,35,1.41E-04,1.18E-02,018,2011-09-17
104,8387756,4359801,987,638,1.01E-04,3.13E-02,018,2011-09-17
74,8383659,4533643,965,640,1.12E-04,2.66E-02,018,2011-09-17
77,8382163,3891943,981,564,1.07E-04,2.47E-02,018,2011-09-17
88,8384636,3765525,932,517,1.07E-04,1.80E-02,018,2011-09-17
