,,,,,,,,,SIMULATOR_DOMAINS:16
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:-
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run77
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:-
,,,,,,,,,SIMULATOR_ROUTING:MAX_FINGERPRINT
,,,,,,,,,SIMULATOR_REGION_ALGO:FIXED-SIZE
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.5.56,10.131.2.82,10.129.5.57,10.129.3.36,10.131.2.83,10.128.4.188,10.128.4.189,10.129.3.37
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638471864.1243126
,,,,,,,,,STOP_TIME:1638472081.7921567

domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
25,4183773,2428350,561,420,2.37E-04,2.30E-02,018,2011-09-16
49,4178028,2518802,465,359,1.04E-04,2.08E-02,018,2011-09-16
31,4186964,2668075,489,388,8.93E-05,1.58E-02,018,2011-09-16
7,4188589,2682126,453,358,8.77E-05,1.37E-02,018,2011-09-16
106,4193540,2457189,438,325,1.27E-04,2.00E-02,018,2011-09-16
67,4193256,2452249,437,329,1.05E-04,1.66E-02,018,2011-09-16
40,4193916,2616418,450,351,1.25E-04,1.40E-02,018,2011-09-16
70,4190446,2536051,445,339,1.60E-04,1.51E-02,018,2011-09-16
42,4179453,2503853,462,356,1.26E-04,1.03E-02,018,2011-09-16
78,4191667,2370034,447,322,9.27E-05,1.53E-02,018,2011-09-16
56,4187732,2652128,443,346,9.00E-05,1.67E-02,018,2011-09-16
86,4190351,2770994,589,459,1.53E-04,2.29E-02,018,2011-09-16
119,4192723,2850538,467,381,1.51E-04,2.00E-02,018,2011-09-16
66,4189052,2938734,481,402,1.78E-04,1.60E-02,018,2011-09-16
25,4185694,2435286,434,325,1.15E-04,1.49E-02,018,2011-09-16
38,4192399,2923695,490,408,2.01E-04,1.24E-02,018,2011-09-16
31,4192412,2884457,473,389,1.42E-04,1.61E-02,018,2011-09-16
102,4190265,2838018,465,379,1.44E-04,1.87E-02,018,2011-09-16
66,4185748,40989,481,4,1.90E-04,7.53E-03,018,2011-09-16
61,4182703,2595893,493,387,8.95E-05,2.08E-02,018,2011-09-16
4,4179347,2867127,496,402,1.27E-04,1.23E-02,018,2011-09-16
106,4189422,2790846,487,400,1.05E-04,2.00E-02,018,2011-09-16
40,4189879,1628624,477,230,1.93E-04,9.98E-03,018,2011-09-16
50,4185874,2230110,488,320,1.50E-04,1.68E-02,018,2011-09-16
41,4179971,2101039,499,307,1.85E-04,1.11E-02,018,2011-09-16
84,4191307,1899910,465,268,1.24E-04,1.55E-02,018,2011-09-16
68,4184379,2046196,462,272,1.87E-04,1.40E-02,018,2011-09-16
104,4193131,2789230,496,405,2.09E-04,2.16E-02,018,2011-09-16
45,4181311,2988507,495,420,2.02E-04,1.27E-02,018,2011-09-16
33,4192248,2750764,472,382,1.07E-04,1.20E-02,018,2011-09-16
70,4192476,1795057,386,236,1.19E-04,1.19E-02,018,2011-09-16
1,4181976,2656995,470,374,1.58E-04,1.09E-02,018,2011-09-16
120,4185895,2526262,475,372,1.36E-04,1.83E-02,018,2011-09-16
13,4187595,2511493,493,369,1.84E-04,1.02E-02,018,2011-09-16
3,4190539,2591453,475,369,9.13E-05,1.05E-02,018,2011-09-16
21,4179464,2121214,473,303,1.11E-04,1.48E-02,018,2011-09-16
