,,,,,,,,,SIMULATOR_DOMAINS:16
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:-
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run78
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:-
,,,,,,,,,SIMULATOR_ROUTING:MAX_FINGERPRINT
,,,,,,,,,SIMULATOR_REGION_ALGO:FIXED-SIZE
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.128.4.191,10.131.2.86,10.131.2.85,10.131.2.84,10.128.4.190,10.129.3.39,10.129.5.58,10.129.3.38
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638472115.635484
,,,,,,,,,STOP_TIME:1638472326.9295056
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
25,8384409,4834889,1028,763,1.94E-04,3.47E-02,018,2011-09-16
31,8387440,5284478,943,735,9.57E-05,2.93E-02,018,2011-09-16
106,8381916,4831162,875,646,9.01E-05,2.15E-02,018,2011-09-16
40,8379952,5058515,897,674,9.40E-05,2.88E-02,018,2011-09-16
42,8378683,4711204,906,653,1.06E-04,2.86E-02,018,2011-09-16
56,8385744,5343949,1035,796,2.01E-04,3.41E-02,018,2011-09-16
102,8382335,5690431,947,770,1.93E-04,2.23E-02,018,2011-09-16
61,8382008,5277441,925,720,1.12E-04,2.72E-02,018,2011-09-16
31,8380275,5629492,938,753,1.10E-04,2.89E-02,018,2011-09-16
107,8388127,5391782,975,771,1.93E-04,2.00E-02,018,2011-09-16
4,8384142,5587670,987,794,1.32E-04,3.87E-02,018,2011-09-16
40,8387579,3600964,967,515,1.50E-04,2.18E-02,018,2011-09-16
121,8374764,3711592,961,535,1.30E-04,3.00E-02,018,2011-09-16
68,8376385,4587141,960,646,9.83E-05,3.30E-02,018,2011-09-16
45,8372260,5637678,965,784,1.37E-04,2.97E-02,018,2011-09-16
70,8382317,4323140,853,593,1.25E-04,2.94E-02,018,2011-09-16
120,8387378,4999732,972,733,1.12E-04,3.33E-02,018,2011-09-16
34,8386879,4523101,950,648,1.47E-04,2.71E-02,018,2011-09-16
118,8388503,5048317,1625,1114,1.83E-04,4.82E-02,018,2011-09-16
11,8376314,4955692,1030,757,1.61E-04,3.68E-02,018,2011-09-16
3,8382602,5089140,904,685,9.73E-05,5.45E-02,018,2011-09-16
40,8379961,3101716,755,428,1.43E-04,2.47E-02,018,2011-09-16
58,8379683,445086,543,49,1.37E-04,1.53E-02,018,2011-09-16
38,8380316,3437024,843,500,8.51E-05,2.77E-02,018,2011-09-16
0,8373933,3936315,905,593,1.64E-04,3.41E-02,018,2011-09-16
38,8380536,3643171,901,540,2.56E-04,2.69E-02,018,2011-09-16
23,8386970,4761727,895,655,1.66E-04,2.82E-02,018,2011-09-16
64,8383814,4984409,895,667,1.90E-04,3.25E-02,018,2011-09-16
94,8387147,4702213,943,647,1.80E-04,3.43E-02,018,2011-09-16
66,8376332,5103022,972,702,1.93E-04,3.21E-02,018,2011-09-16
