,,,,,,,,,SIMULATOR_DOMAINS:16
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run80
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:MAX_FINGERPRINT
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.3.43,10.129.5.60,10.131.2.91,10.131.2.92,10.131.2.90,10.129.3.42,10.129.5.61,10.128.4.194
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638472616.4243665
,,,,,,,,,STOP_TIME:1638472807.0132167

domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
25,4414495,2528000,585,436,2.32E-04,1.78E-02,018,2011-09-16
49,7822423,4826718,900,697,1.87E-04,3.20E-02,018,2011-09-16
119,12567769,7425646,1326,983,1.17E-04,5.24E-02,018,2011-09-16
103,10538283,6160171,1123,827,1.47E-04,3.25E-02,018,2011-09-16
49,8942845,5186309,964,704,1.36E-04,2.98E-02,018,2011-09-16
28,12574749,8227973,1531,1193,1.53E-04,3.21E-02,018,2011-09-16
26,12580519,7375330,1394,981,1.24E-04,2.82E-02,018,2011-09-16
97,11803356,7355528,1312,992,1.09E-04,2.61E-02,018,2011-09-16
97,8645698,5680118,1050,828,1.56E-04,2.16E-02,018,2011-09-16
98,8369268,3560436,961,510,1.02E-04,1.76E-02,018,2011-09-16
67,12572696,6157391,1449,873,1.82E-04,3.57E-02,018,2011-09-16
36,9855088,6020975,1145,851,1.30E-04,3.89E-02,018,2011-09-16
8,12582085,7043641,1341,968,1.09E-04,4.70E-02,018,2011-09-16
111,12575648,7313390,1422,1047,1.08E-04,2.94E-02,018,2011-09-16
2,4973598,2506868,576,370,1.56E-04,1.86E-02,018,2011-09-16
4,12578953,7060538,2149,1423,1.98E-04,1.15E-01,018,2011-09-16
26,11906730,7260348,1327,1003,1.19E-04,2.98E-02,018,2011-09-16
91,12566793,3921050,1076,538,1.04E-04,4.01E-02,018,2011-09-16
