,,,,,,,,,SIMULATOR_DOMAINS:16
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:-
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run81
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:-
,,,,,,,,,SIMULATOR_ROUTING:Q_LEARNING
,,,,,,,,,SIMULATOR_REGION_ALGO:FIXED-SIZE
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.5.62,10.129.3.44,10.131.2.95,10.131.2.94,10.131.2.93,10.129.5.63,10.129.3.45,10.128.4.195
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638472869.2313397
,,,,,,,,,STOP_TIME:1638473120.7607598

domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
123,4183773,2428350,561,420,3.61E-04,2.49E-02,018,2011-09-16
104,4178028,2518802,465,359,2.25E-04,2.10E-02,018,2011-09-16
78,4186964,2668075,489,388,1.98E-04,1.96E-02,018,2011-09-16
95,4188589,2682126,453,358,2.11E-04,1.39E-02,018,2011-09-16
34,4193540,2457189,438,325,1.87E-04,1.61E-02,018,2011-09-16
63,4193256,2452249,437,329,1.89E-04,1.73E-02,018,2011-09-16
72,4193916,2616418,450,351,1.84E-04,1.45E-02,018,2011-09-16
100,4190446,2536051,445,339,2.09E-04,2.42E-02,018,2011-09-16
87,4179453,2503853,462,356,1.83E-04,1.07E-02,018,2011-09-16
97,4191667,2370034,447,322,2.11E-04,1.60E-02,018,2011-09-16
56,4187732,2652128,443,346,2.06E-04,1.43E-02,018,2011-09-16
29,4190351,2770994,589,459,1.86E-04,2.39E-02,018,2011-09-16
23,4192723,2850538,467,381,1.94E-04,1.79E-02,018,2011-09-16
121,4189052,2938734,481,402,1.86E-04,1.90E-02,018,2011-09-16
12,4185694,2435286,434,325,1.96E-04,1.13E-02,018,2011-09-16
74,4192399,2923695,490,408,1.95E-04,1.50E-02,018,2011-09-16
18,4192412,2884457,473,389,1.94E-04,1.82E-02,018,2011-09-16
29,4190265,2838018,465,379,2.09E-04,1.72E-02,018,2011-09-16
66,4185748,2928459,481,401,1.84E-04,1.45E-02,018,2011-09-16
126,4182703,2595893,493,387,1.86E-04,1.87E-02,018,2011-09-16
78,4179347,2867127,496,402,1.97E-04,1.55E-02,018,2011-09-16
100,4189422,2790846,487,400,1.96E-04,1.86E-02,018,2011-09-16
124,4189879,1628624,477,230,1.98E-04,1.43E-02,018,2011-09-16
32,4185874,2230110,488,320,1.84E-04,1.36E-02,018,2011-09-16
46,4179971,2101039,499,307,1.85E-04,1.31E-02,018,2011-09-16
126,4191307,1899910,465,268,1.83E-04,1.51E-02,018,2011-09-16
81,4184379,2046196,462,272,2.82E-04,1.39E-02,018,2011-09-16
122,4193131,2789230,496,405,3.28E-04,2.07E-02,018,2011-09-16
85,4181311,2988507,495,420,1.91E-04,1.22E-02,018,2011-09-16
109,4192248,2750764,472,382,2.26E-04,1.73E-02,018,2011-09-16
109,4192476,1795057,386,236,2.03E-04,1.31E-02,018,2011-09-16
55,4181976,2656995,470,374,2.17E-04,1.52E-02,018,2011-09-16
13,4185895,2526262,475,372,2.18E-04,1.15E-02,018,2011-09-16
127,4187595,2511493,493,369,2.95E-04,1.98E-02,018,2011-09-16
68,4190539,2591453,475,369,2.64E-04,1.47E-02,018,2011-09-16
58,4179464,2121214,473,303,2.46E-04,1.35E-02,018,2011-09-16
124,4191885,3031073,920,706,2.29E-04,3.26E-02,018,2011-09-16
19,4189305,2158267,671,451,2.90E-04,2.31E-02,018,2011-09-16
92,4192266,2213164,558,373,1.96E-04,1.39E-02,018,2011-09-16
53,4193978,2728781,487,387,1.91E-04,1.53E-02,018,2011-09-16
76,4190195,2450561,455,346,1.92E-04,1.62E-02,018,2011-09-16
26,4190995,2771204,466,376,1.93E-04,1.95E-02,018,2011-09-16
21,4183125,2506375,445,342,1.95E-04,1.79E-02,018,2011-09-16
107,4193627,702819,316,101,2.23E-04,1.90E-02,018,2011-09-16
9,4186570,367538,278,42,2.05E-04,8.54E-03,018,2011-09-16
86,4193113,202473,265,19,1.95E-04,7.96E-03,018,2011-09-16
69,4184672,1917192,433,282,1.86E-04,1.62E-02,018,2011-09-16
65,4189764,1544411,402,214,3.10E-04,1.38E-02,018,2011-09-16
44,4182074,2277203,468,343,1.86E-04,1.58E-02,018,2011-09-16
51,4191700,1739610,440,263,2.82E-04,1.42E-02,018,2011-09-16
12,4192173,2133922,453,319,1.89E-04,1.12E-02,018,2011-09-16
3,4188989,2101514,448,311,1.97E-04,1.07E-02,018,2011-09-16
63,4190671,2748783,468,376,1.99E-04,1.56E-02,018,2011-09-16
42,4178525,2096694,422,291,2.05E-04,1.36E-02,018,2011-09-16
114,4192378,2840319,462,378,2.09E-04,1.88E-02,018,2011-09-16
68,4188721,2416774,436,324,1.90E-04,1.47E-02,018,2011-09-16
7,4189254,2496054,438,331,2.05E-04,1.07E-02,018,2011-09-16
45,4188036,2530207,499,357,2.26E-04,1.48E-02,018,2011-09-16
79,4180590,2674654,483,381,2.45E-04,1.54E-02,018,2011-09-16
75,4191214,2869669,487,392,1.94E-04,1.46E-02,018,2011-09-16
3,4188510,801315,360,137,2.07E-04,8.76E-03,018,2011-09-16
31,4185923,2530656,487,380,1.86E-04,1.87E-02,018,2011-09-16
43,4193630,2713040,448,356,1.90E-04,1.48E-02,018,2011-09-16
101,4185450,2743562,473,381,2.01E-04,1.90E-02,018,2011-09-16
69,4193237,2044663,410,277,2.04E-04,1.29E-02,018,2011-09-16
76,4192689,2794263,470,380,1.84E-04,1.48E-02,018,2011-09-16
111,4190109,2621365,461,362,1.86E-04,1.78E-02,018,2011-09-16
78,4193273,2756358,457,365,2.36E-04,1.45E-02,018,2011-09-16
85,4190106,2798389,478,387,3.39E-04,1.30E-02,018,2011-09-16
64,4183169,2278105,430,307,2.32E-04,1.34E-02,018,2011-09-16
113,4182130,2708745,470,375,2.19E-04,1.92E-02,018,2011-09-16
60,4186330,2498978,438,333,1.85E-04,1.50E-02,018,2011-09-16
68,4185153,2498196,442,336,1.99E-04,1.36E-02,018,2011-09-16
90,4192100,3362293,1265,799,2.00E-04,2.57E-02,018,2011-09-16
104,4189636,2408225,1022,631,2.07E-04,3.26E-02,018,2011-09-16
68,4184411,1551519,413,236,2.26E-04,1.31E-02,018,2011-09-16
6,4191250,2503288,521,404,1.94E-04,1.29E-02,018,2011-09-16
92,4191731,2889323,959,742,2.56E-04,2.85E-02,018,2011-09-16
100,4192793,1841007,580,385,2.11E-04,2.06E-02,018,2011-09-16
99,4183930,2974796,699,498,1.90E-04,2.48E-02,018,2011-09-16
39,4189718,2515102,672,436,2.42E-04,2.32E-02,018,2011-09-16
81,4190614,2912442,688,506,1.92E-04,1.57E-02,018,2011-09-16
34,4183830,1817362,496,310,1.92E-04,1.67E-02,018,2011-09-16
38,4188309,736853,343,107,1.87E-04,1.21E-02,018,2011-09-16
41,4188724,1159054,348,149,1.85E-04,1.26E-02,018,2011-09-16
67,4183744,319172,305,36,1.84E-04,1.07E-02,018,2011-09-16
86,4188954,160282,274,19,1.95E-04,7.26E-03,018,2011-09-16
83,4185910,366496,302,49,1.83E-04,7.36E-03,018,2011-09-16
63,4186252,479268,348,74,1.86E-04,1.35E-02,018,2011-09-16
101,4191140,623335,444,132,2.16E-04,1.70E-02,018,2011-09-16
53,4180128,211872,271,24,2.30E-04,1.25E-02,018,2011-09-16
114,4186268,475536,343,76,1.96E-04,1.47E-02,018,2011-09-16
106,4185390,263716,301,32,1.84E-04,1.27E-02,018,2011-09-16
102,4189227,199467,267,21,1.80E-04,1.09E-02,018,2011-09-16
82,4191345,1222656,338,156,2.15E-04,8.32E-03,018,2011-09-16
54,4189583,584025,379,93,1.85E-04,1.33E-02,018,2011-09-16
1,4188693,285013,282,37,2.33E-04,7.10E-03,018,2011-09-16
50,4179053,702731,443,147,1.79E-04,1.43E-02,018,2011-09-16
98,4183814,306265,308,38,2.07E-04,1.22E-02,018,2011-09-16
30,4193234,255206,270,28,1.79E-04,1.13E-02,018,2011-09-16
106,4188023,757734,337,105,2.09E-04,1.43E-02,018,2011-09-16
33,4183256,274258,312,34,1.96E-04,1.15E-02,018,2011-09-16
83,4178818,271100,282,32,1.85E-04,7.46E-03,018,2011-09-16
94,4193110,274624,279,35,1.85E-04,7.05E-03,018,2011-09-16
115,4185740,232114,304,32,1.85E-04,1.26E-02,018,2011-09-16
44,4182842,274919,277,32,1.93E-04,1.01E-02,018,2011-09-16
38,4193146,317923,293,51,1.98E-04,1.06E-02,018,2011-09-16
52,1561316,830542,224,170,1.99E-04,8.33E-03,018,2011-09-16
30,4184782,2472110,572,431,3.05E-04,2.16E-02,018,2011-09-17
28,4191562,1965907,419,279,2.46E-04,1.65E-02,018,2011-09-17
96,4183527,3038596,507,429,2.47E-04,3.41E-02,018,2011-09-17
54,4187056,2728850,468,374,2.13E-04,1.65E-02,018,2011-09-17
64,4189876,2638114,444,347,1.88E-04,1.62E-02,018,2011-09-17
43,4193920,2401381,439,322,2.00E-04,1.57E-02,018,2011-09-17
28,4184391,2469589,449,341,4.73E-04,2.01E-02,018,2011-09-17
96,4187477,2563914,453,349,3.94E-04,1.89E-02,018,2011-09-17
95,4185058,2655307,449,352,3.01E-04,1.12E-02,018,2011-09-17
28,4190489,2594272,458,354,3.98E-04,1.89E-02,018,2011-09-17
17,4193283,2350220,446,321,3.16E-04,1.70E-02,018,2011-09-17
114,4191740,2620958,450,349,2.55E-04,1.87E-02,018,2011-09-17
107,4178693,2757779,591,459,2.77E-04,2.19E-02,018,2011-09-17
31,4185606,2814919,464,377,1.99E-04,1.80E-02,018,2011-09-17
118,4193110,2988232,489,412,1.99E-04,1.91E-02,018,2011-09-17
122,4191715,2400481,429,317,1.92E-04,1.70E-02,018,2011-09-17
123,4188575,2942784,485,405,2.10E-04,1.89E-02,018,2011-09-17
101,4192846,2859698,476,388,2.04E-04,1.81E-02,018,2011-09-17
20,4191240,2820553,465,378,2.06E-04,1.81E-02,018,2011-09-17
85,4189109,2984231,489,412,1.86E-04,1.23E-02,018,2011-09-17
91,4183578,2551798,486,378,2.42E-04,1.09E-02,018,2011-09-17
125,4193791,2885717,500,407,1.89E-04,2.43E-02,018,2011-09-17
88,4193223,2750280,480,389,2.02E-04,1.07E-02,018,2011-09-17
9,4192006,1861150,481,260,1.85E-04,9.73E-03,018,2011-09-17
23,4192836,2044850,487,293,1.85E-04,1.50E-02,018,2011-09-17
10,4190982,2077837,498,305,1.93E-04,9.43E-03,018,2011-09-17
53,4183985,1989501,474,286,2.30E-04,1.36E-02,018,2011-09-17
105,4184104,2088243,456,272,1.84E-04,1.40E-02,018,2011-09-17
127,4193110,2611310,482,372,2.20E-04,1.87E-02,018,2011-09-17
10,4186051,3010645,510,435,1.83E-04,1.10E-02,018,2011-09-17
80,4186202,2793870,480,393,1.79E-04,1.04E-02,018,2011-09-17
42,4186050,1837227,386,239,2.10E-04,1.14E-02,018,2011-09-17
84,4185147,2716082,473,380,2.15E-04,1.10E-02,018,2011-09-17
4,4192844,2467675,464,357,1.84E-04,1.00E-02,018,2011-09-17
28,4192361,2408265,495,364,1.78E-04,1.88E-02,018,2011-09-17
60,4183965,2650415,477,375,1.80E-04,1.59E-02,018,2011-09-17
108,4186173,2165696,459,300,1.86E-04,1.64E-02,018,2011-09-17
46,4188503,3125016,916,710,2.09E-04,2.59E-02,018,2011-09-17
101,4192021,2057937,680,445,1.68E-04,2.15E-02,018,2011-09-17
116,4182806,2269204,567,385,2.05E-04,2.05E-02,018,2011-09-17
74,4189759,2746618,491,393,1.96E-04,1.70E-02,018,2011-09-17
5,4191102,2457765,450,342,1.93E-04,9.99E-03,018,2011-09-17
11,4192157,2744527,464,371,1.88E-04,1.01E-02,018,2011-09-17
10,4189878,2559312,451,350,1.85E-04,1.11E-02,018,2011-09-17
94,4189979,852516,330,124,1.92E-04,8.48E-03,018,2011-09-17
110,4190111,403847,280,46,1.92E-04,1.09E-02,018,2011-09-17
7,4193113,202473,265,19,1.95E-04,6.89E-03,018,2011-09-17
118,4185971,1717751,407,248,1.86E-04,1.70E-02,018,2011-09-17
25,4179408,1651311,414,232,1.90E-04,1.52E-02,018,2011-09-17
78,4193756,2234058,462,333,1.81E-04,1.66E-02,018,2011-09-17
