,,,,,,,,,SIMULATOR_DOMAINS:16
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:-
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run82
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:-
,,,,,,,,,SIMULATOR_ROUTING:Q_LEARNING
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_REGION_ALGO:FIXED-SIZE
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.5.64,10.131.2.97,10.129.3.46,10.128.4.197,10.131.2.98,10.128.4.196,10.129.5.65,10.129.3.47
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638473180.234945
,,,,,,,,,STOP_TIME:1638473426.8537862
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
123,8384409,4834889,1028,763,3.29E-04,4.08E-02,018,2011-09-16
103,8387440,5284478,943,735,1.72E-04,2.34E-02,018,2011-09-16
92,8381916,4831162,875,646,1.89E-04,3.43E-02,018,2011-09-16
54,8379952,5058515,897,674,1.83E-04,3.50E-02,018,2011-09-16
6,8378683,4711204,906,653,3.43E-04,2.24E-02,018,2011-09-16
31,8385744,5343949,1035,796,2.06E-04,3.49E-02,018,2011-09-16
5,8382335,5690431,947,770,2.17E-04,2.03E-02,018,2011-09-16
126,8382008,5277441,925,720,2.04E-04,3.24E-02,018,2011-09-16
3,8380275,5629492,938,753,2.24E-04,2.03E-02,018,2011-09-16
4,8388127,5391782,975,771,2.10E-04,2.02E-02,018,2011-09-16
115,8384142,5587670,987,794,2.38E-04,3.34E-02,018,2011-09-16
61,8387579,3600964,967,515,2.10E-04,2.80E-02,018,2011-09-16
33,8374764,3711592,961,535,2.71E-04,3.09E-02,018,2011-09-16
125,8376385,4587141,960,646,3.39E-04,3.23E-02,018,2011-09-16
64,8372260,5637678,965,784,3.37E-04,3.07E-02,018,2011-09-16
43,8382317,4323140,853,593,1.77E-04,2.90E-02,018,2011-09-16
118,8387378,4999732,972,733,2.19E-04,3.86E-02,018,2011-09-16
63,8386879,4523101,950,648,1.85E-04,3.28E-02,018,2011-09-16
5,8388503,5048317,1625,1114,2.96E-04,3.26E-02,018,2011-09-16
11,8376314,4955692,1030,757,1.86E-04,2.08E-02,018,2011-09-16
