,,,,,,,,,SIMULATOR_DOMAINS:16
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run84
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:Q_LEARNING
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.3.60,10.131.2.131,10.129.3.61,10.131.2.132,10.128.4.209,10.131.2.134,10.129.5.80,10.128.4.208
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638495059.0600502
,,,,,,,,,STOP_TIME:1638495253.6797898

domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
123,4414495,2528000,585,436,3.61E-04,2.61E-02,018,2011-09-16
49,7822423,4826718,900,697,1.79E-04,3.10E-02,018,2011-09-16
119,12567769,7425646,1326,983,2.21E-04,4.84E-02,018,2011-09-16
116,10538283,6160171,1123,827,1.91E-04,6.21E-02,018,2011-09-16
55,8942845,5186309,964,704,3.47E-04,3.03E-02,018,2011-09-16
28,12574749,8227973,1531,1193,2.49E-04,4.64E-02,018,2011-09-16
108,12580519,7375330,1394,981,3.69E-04,3.50E-02,018,2011-09-16
126,11803356,7355528,1312,992,2.49E-04,5.22E-02,018,2011-09-16
97,8645698,5770652,1050,841,2.20E-04,2.01E-02,018,2011-09-16
98,8369268,3560436,961,510,2.28E-04,1.57E-02,018,2011-09-16
67,12572696,6157391,1449,873,2.52E-04,4.48E-02,018,2011-09-16
40,9855088,6020975,1145,851,2.35E-04,3.85E-02,018,2011-09-16
96,12582085,7043641,1341,968,2.22E-04,2.79E-02,018,2011-09-16
