,,,,,,,,,SIMULATOR_DOMAINS:128
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:-
,,,,,,,,,SIMULATOR_RUN_NAME:ex0-run9
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:-
,,,,,,,,,SIMULATOR_ROUTING:FIRST_FINGERPRINT_7
,,,,,,,,,SIMULATOR_REGION_ALGO:FIXED-SIZE
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.128.5.252,10.131.3.237,10.131.3.239,10.129.2.153,10.128.5.251,10.129.2.152,10.129.2.151,10.131.3.238
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638058607.1371036
,,,,,,,,,STOP_TIME:1638058877.0132256
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
1019,4183773,2428350,561,420,8.59E-06,2.19E-02,018,2011-09-16
104,4178028,2518802,465,359,4.96E-06,1.97E-02,018,2011-09-16
718,4186964,2668075,489,388,4.13E-06,2.07E-02,018,2011-09-16
95,4188589,2682126,453,358,4.22E-06,1.71E-02,018,2011-09-16
546,4193540,2457189,438,325,5.21E-06,1.79E-02,018,2011-09-16
959,4193256,2452249,437,329,4.36E-06,1.36E-02,018,2011-09-16
712,4193916,2616418,450,351,4.92E-06,1.71E-02,018,2011-09-16
100,4190446,2536051,445,339,6.96E-06,1.70E-02,018,2011-09-16
727,4179453,2503853,462,356,4.24E-06,1.71E-02,018,2011-09-16
737,4191667,2370034,447,322,4.16E-06,1.76E-02,018,2011-09-16
184,4187732,2652128,443,346,4.25E-06,1.66E-02,018,2011-09-16
29,4190351,2770994,589,459,3.81E-06,2.16E-02,018,2011-09-16
23,4192723,2850538,467,381,3.98E-06,1.77E-02,018,2011-09-16
889,4189052,2938734,481,402,4.08E-06,2.01E-02,018,2011-09-16
780,4185694,2435286,434,325,3.72E-06,1.67E-02,018,2011-09-16
842,4192399,2923695,490,408,6.31E-06,1.89E-02,018,2011-09-16
914,4192412,2884457,473,389,4.21E-06,1.51E-02,018,2011-09-16
541,4190265,2838018,465,379,5.52E-06,1.75E-02,018,2011-09-16
322,4185748,2928459,481,401,4.74E-06,1.75E-02,018,2011-09-16
254,4182703,2595893,493,387,4.33E-06,1.55E-02,018,2011-09-16
590,4179347,2867127,496,402,4.29E-06,1.83E-02,018,2011-09-16
356,4189422,2790846,487,400,4.37E-06,1.66E-02,018,2011-09-16
124,4189879,1628624,477,230,5.15E-06,1.37E-02,018,2011-09-16
160,4185874,2230110,488,320,4.43E-06,1.28E-02,018,2011-09-16
430,4179971,2101039,499,307,4.48E-06,1.88E-02,018,2011-09-16
638,4191307,1899910,465,268,5.00E-06,1.58E-02,018,2011-09-16
465,4184379,2046196,462,272,7.60E-06,1.88E-02,018,2011-09-16
506,4193131,2789230,496,405,6.16E-06,2.04E-02,018,2011-09-16
341,4181311,2988507,495,420,1.01E-05,1.76E-02,018,2011-09-16
237,4192248,2750764,472,382,5.53E-06,1.54E-02,018,2011-09-16
109,4192476,1795057,386,236,6.02E-06,1.66E-02,018,2011-09-16
567,4181976,2656995,470,374,7.99E-06,2.02E-02,018,2011-09-16
269,4185895,2526262,475,372,4.20E-06,1.48E-02,018,2011-09-16
511,4187595,2511493,493,369,4.16E-06,1.92E-02,018,2011-09-16
196,4190539,2591453,475,369,4.12E-06,1.54E-02,018,2011-09-16
570,4179464,2121214,473,303,3.89E-06,1.63E-02,018,2011-09-16
764,4191885,3031073,920,706,4.27E-06,3.13E-02,018,2011-09-16
531,4189305,2158267,671,451,4.79E-06,2.99E-02,018,2011-09-16
348,4192266,2213164,558,373,1.68E-05,2.84E-02,018,2011-09-16
949,4193978,2728781,487,387,1.72E-05,2.75E-02,018,2011-09-16
76,4190195,2450561,455,346,1.75E-05,2.62E-02,018,2011-09-16
922,4190995,2771204,466,376,1.07E-05,1.63E-02,018,2011-09-16
405,4183125,2506375,445,342,4.41E-06,1.75E-02,018,2011-09-16
235,4193627,702819,316,101,4.17E-06,1.17E-02,018,2011-09-16
265,4186570,367538,278,42,4.14E-06,1.01E-02,018,2011-09-16
982,4193113,202473,265,19,4.00E-06,9.33E-03,018,2011-09-16
965,4184672,1917192,433,282,3.69E-06,1.41E-02,018,2011-09-16
65,4189764,1544411,402,214,3.99E-06,1.54E-02,018,2011-09-16
812,4182074,2277203,468,343,4.20E-06,1.85E-02,018,2011-09-16
691,4191700,1739610,440,263,6.28E-06,1.61E-02,018,2011-09-16
652,4192173,2133922,453,319,4.28E-06,1.67E-02,018,2011-09-16
259,4188989,2101514,448,311,4.32E-06,1.35E-02,018,2011-09-16
447,4190671,2748783,468,376,6.53E-06,1.77E-02,018,2011-09-16
170,4178525,2096694,422,291,3.92E-06,1.29E-02,018,2011-09-16
1010,4192378,2840319,462,378,4.58E-06,1.48E-02,018,2011-09-16
836,4188721,2416774,436,324,5.35E-06,1.72E-02,018,2011-09-16
903,4189254,2496054,438,331,3.94E-06,1.39E-02,018,2011-09-16
173,4188036,2530207,499,357,3.99E-06,1.39E-02,018,2011-09-16
463,4180590,2674654,483,381,4.16E-06,1.84E-02,018,2011-09-16
203,4191214,2869669,487,392,4.19E-06,1.48E-02,018,2011-09-16
899,4188510,801315,360,137,4.00E-06,1.17E-02,018,2011-09-16
159,4185923,2530656,487,380,4.05E-06,1.42E-02,018,2011-09-16
427,4193630,2713040,448,356,4.13E-06,1.70E-02,018,2011-09-16
485,4185450,2743562,473,381,3.98E-06,1.86E-02,018,2011-09-16
581,4193237,2044663,410,277,5.05E-06,1.66E-02,018,2011-09-16
460,4192689,2794263,470,380,4.31E-06,1.86E-02,018,2011-09-16
239,4190109,2621365,461,362,4.06E-06,1.38E-02,018,2011-09-16
334,4193273,2756358,457,365,4.14E-06,1.43E-02,018,2011-09-16
981,4190106,2798389,478,387,4.03E-06,1.49E-02,018,2011-09-16
960,4183169,2278105,430,307,4.26E-06,1.32E-02,018,2011-09-16
497,4182130,2708745,470,375,4.29E-06,1.79E-02,018,2011-09-16
572,4186330,2498978,438,333,4.18E-06,1.69E-02,018,2011-09-16
708,4185153,2498196,442,336,3.99E-06,1.85E-02,018,2011-09-16
986,4192100,3362293,1265,799,4.23E-06,3.20E-02,018,2011-09-16
872,4189636,2408225,1022,631,6.24E-06,3.48E-02,018,2011-09-16
452,4184411,1551555,413,237,4.72E-06,1.66E-02,018,2011-09-16
262,4191250,2503288,521,404,5.90E-06,1.66E-02,018,2011-09-16
732,4191731,2889325,959,743,4.89E-06,5.25E-02,018,2011-09-16
484,4192793,1841007,580,385,5.95E-06,2.21E-02,018,2011-09-16
483,4183930,2974796,699,498,1.30E-05,4.31E-02,018,2011-09-16
807,4189718,2515102,672,436,8.51E-06,2.51E-02,018,2011-09-16
81,4190614,2912442,688,506,8.19E-06,2.55E-02,018,2011-09-16
674,4183830,1817362,496,310,4.67E-06,2.07E-02,018,2011-09-16
294,4188309,736853,343,107,4.51E-06,1.19E-02,018,2011-09-16
681,4188724,1159054,348,149,4.16E-06,1.39E-02,018,2011-09-16
323,4183744,319172,305,36,3.93E-06,1.03E-02,018,2011-09-16
982,4188954,160282,274,19,3.62E-06,9.77E-03,018,2011-09-16
979,4185910,366496,302,49,3.77E-06,9.75E-03,018,2011-09-16
959,4186252,479268,348,74,3.83E-06,1.14E-02,018,2011-09-16
869,4191140,623335,444,132,3.95E-06,1.67E-02,018,2011-09-16
53,4180128,211872,271,24,4.00E-06,1.14E-02,018,2011-09-16
626,4186268,475536,343,76,3.83E-06,1.40E-02,018,2011-09-16
1002,4185390,263716,301,32,3.93E-06,1.01E-02,018,2011-09-16
998,4189227,199467,267,21,3.98E-06,9.26E-03,018,2011-09-16
466,4191345,1222656,338,156,3.81E-06,1.36E-02,018,2011-09-16
54,4189583,584025,379,93,3.86E-06,1.48E-02,018,2011-09-16
385,4188693,285013,282,37,4.24E-06,1.10E-02,018,2011-09-16
178,4179053,702731,443,147,3.88E-06,1.39E-02,018,2011-09-16
98,4183814,306265,308,38,3.96E-06,1.32E-02,018,2011-09-16
30,4193234,255206,270,28,4.16E-06,1.14E-02,018,2011-09-16
618,4188023,757734,337,105,3.77E-06,1.35E-02,018,2011-09-16
545,4183256,274258,312,34,3.82E-06,1.26E-02,018,2011-09-16
339,4178818,271100,282,32,5.10E-06,9.88E-03,018,2011-09-16
478,4193110,274624,279,35,3.96E-06,1.26E-02,018,2011-09-16
755,4185740,232114,304,32,3.94E-06,1.21E-02,018,2011-09-16
556,4182842,274919,277,32,4.28E-06,2.38E-02,018,2011-09-16
550,4193146,317923,293,51,3.67E-06,1.19E-02,018,2011-09-16
436,1561316,830542,224,170,3.89E-06,8.96E-03,018,2011-09-16
158,4184782,2472110,572,431,6.24E-06,1.75E-02,018,2011-09-17
540,4191562,1965907,419,279,4.89E-06,1.63E-02,018,2011-09-17
480,4183527,3038596,507,429,5.41E-06,2.03E-02,018,2011-09-17
310,4187056,2728850,468,374,4.30E-06,1.42E-02,018,2011-09-17
448,4189876,2638114,444,347,6.36E-06,1.69E-02,018,2011-09-17
683,4193920,2401381,439,322,4.36E-06,1.80E-02,018,2011-09-17
668,4184391,2469589,449,341,8.48E-06,1.77E-02,018,2011-09-17
992,4187477,2563914,453,349,4.32E-06,1.51E-02,018,2011-09-17
95,4185058,2655307,449,352,5.03E-06,1.76E-02,018,2011-09-17
156,4190489,2594272,458,354,5.49E-06,1.47E-02,018,2011-09-17
401,4193283,2350220,446,321,4.71E-06,1.73E-02,018,2011-09-17
498,4191740,2620958,450,349,6.06E-06,1.93E-02,018,2011-09-17
619,4178693,2757815,591,460,6.17E-06,2.13E-02,018,2011-09-17
31,4185606,2814919,464,377,4.60E-06,1.77E-02,018,2011-09-17
118,4193110,2988232,489,412,4.27E-06,1.82E-02,018,2011-09-17
378,4191715,2400481,429,317,4.15E-06,1.39E-02,018,2011-09-17
891,4188575,2942784,485,405,6.89E-06,1.83E-02,018,2011-09-17
613,4192846,2859734,476,389,4.03E-06,1.80E-02,018,2011-09-17
148,4191240,2820553,465,378,4.40E-06,1.53E-02,018,2011-09-17
597,4189109,2984231,489,412,4.37E-06,1.84E-02,018,2011-09-17
987,4183578,2551798,486,378,4.45E-06,1.48E-02,018,2011-09-17
125,4193791,2885717,500,407,4.28E-06,1.92E-02,018,2011-09-17
984,4193223,2750280,480,389,4.12E-06,1.58E-02,018,2011-09-17
649,4192006,1861150,481,260,4.15E-06,2.05E-02,018,2011-09-17
535,4192836,2044850,487,293,4.22E-06,1.57E-02,018,2011-09-17
10,4190982,2077837,498,305,4.27E-06,1.64E-02,018,2011-09-17
949,4183985,1989501,474,286,4.17E-06,1.42E-02,018,2011-09-17
489,4184104,2088243,456,272,4.28E-06,1.66E-02,018,2011-09-17
127,4193110,2611346,482,373,4.10E-06,1.87E-02,018,2011-09-17
906,4186051,3010645,510,435,7.41E-06,1.75E-02,018,2011-09-17
848,4186202,2793870,480,393,4.27E-06,1.90E-02,018,2011-09-17
810,4186050,1837227,386,239,4.67E-06,1.27E-02,018,2011-09-17
724,4185147,2716082,473,380,4.44E-06,1.77E-02,018,2011-09-17
132,4192844,2467675,464,357,4.00E-06,1.48E-02,018,2011-09-17
156,4192361,2408265,495,364,4.08E-06,1.52E-02,018,2011-09-17
444,4183965,2650415,477,375,3.95E-06,1.83E-02,018,2011-09-17
492,4186173,2165696,459,300,4.12E-06,1.93E-02,018,2011-09-17
814,4188503,3125052,916,711,4.55E-06,3.38E-02,018,2011-09-17
613,4192021,2057937,680,445,4.64E-06,2.31E-02,018,2011-09-17
244,4182806,2269204,567,385,4.38E-06,1.54E-02,018,2011-09-17
