,,,,,,,,,SIMULATOR_DOMAINS:16
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex1-run105
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:Q_LEARNING
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_014018019
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.131.2.191,10.128.4.242,10.131.2.190,10.129.5.115,10.129.3.183,10.129.3.182,10.128.4.241,10.131.2.192
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638589195.9681103
,,,,,,,,,STOP_TIME:1638589964.142436
0
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
118,6277532,2842073,725,408,1.13E-03,2.25E-02,014,2011-09-16
76,5142370,2488432,562,327,2.09E-04,1.96E-02,014,2011-09-16
43,4760132,2998717,537,412,1.92E-04,1.79E-02,014,2011-09-16
48,4809418,2852351,630,482,1.98E-04,1.68E-02,014,2011-09-16
49,2425446,1300517,260,188,2.06E-04,6.99E-03,014,2011-09-16
105,6286673,2859497,724,411,3.57E-04,2.94E-02,014,2011-09-16
113,5077082,3511705,582,480,2.13E-04,1.90E-02,014,2011-09-16
48,3805288,2196019,458,314,2.85E-04,9.31E-03,014,2011-09-16
96,6235875,4015093,788,587,2.24E-04,2.79E-02,014,2011-09-16
84,6291149,4113293,728,586,2.52E-04,3.01E-02,014,2011-09-16
52,6171204,3853695,732,556,2.64E-04,1.62E-02,014,2011-09-16
4,3431287,2498507,427,368,3.33E-04,5.03E-02,014,2011-09-16
51,6288450,3496355,649,470,2.03E-04,1.64E-02,014,2011-09-16
99,6288806,4197061,706,568,3.59E-04,2.75E-02,014,2011-09-16
61,6286203,4013060,702,551,1.97E-04,1.55E-02,014,2011-09-16
18,5145139,3295471,559,437,4.33E-04,2.31E-02,014,2011-09-16
64,6289689,3428899,639,452,2.20E-04,2.37E-02,014,2011-09-16
14,6288088,4040196,724,554,2.90E-04,2.25E-02,014,2011-09-16
113,6286807,4258821,787,644,2.09E-04,2.42E-02,014,2011-09-16
36,6286849,4118940,705,564,3.19E-04,2.20E-02,014,2011-09-16
52,6276176,4104593,705,562,2.41E-04,1.55E-02,014,2011-09-16
63,4116475,2842401,465,382,2.14E-04,1.03E-02,014,2011-09-16
97,6284860,4188434,711,575,2.17E-04,2.70E-02,014,2011-09-16
125,4606872,2912421,498,390,4.83E-04,1.53E-02,014,2011-09-16
97,2229136,1447013,295,233,1.94E-04,1.20E-02,014,2011-09-16
106,6287319,4241430,739,597,4.14E-04,3.85E-02,014,2011-09-16
47,3564044,2458768,424,352,3.07E-04,1.40E-02,014,2011-09-16
28,4934296,1210769,553,177,3.32E-04,1.34E-02,014,2011-09-16
67,2493776,1707883,301,250,2.23E-04,1.28E-02,014,2011-09-16
121,6278466,2792828,728,406,1.95E-04,1.68E-02,014,2011-09-16
106,5321613,2621403,581,343,2.18E-04,1.82E-02,014,2011-09-16
43,6282704,3167678,757,473,2.49E-04,1.83E-02,014,2011-09-16
120,5897052,3961323,673,549,3.56E-04,1.97E-02,014,2011-09-16
6,6285488,3202031,616,420,3.41E-04,1.71E-02,014,2011-09-16
16,6290336,3678031,697,531,2.51E-04,2.50E-02,014,2011-09-16
55,6281053,3869867,734,561,1.94E-04,1.57E-02,014,2011-09-16
71,5402335,3480081,617,488,2.03E-04,2.29E-02,014,2011-09-16
28,6285320,966762,719,148,1.90E-04,1.40E-02,014,2011-09-16
86,3459410,1698901,390,248,3.28E-04,1.51E-02,014,2011-09-16
4,6288278,3879872,1360,948,3.59E-04,3.70E-02,014,2011-09-16
94,6287544,3350957,897,586,3.27E-04,2.91E-02,014,2011-09-16
5,6282397,2978439,783,444,2.45E-04,1.98E-02,014,2011-09-16
