,,,,,,,,,SIMULATOR_DOMAINS:16
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex1-run106
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:Q_LEARNING
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_014018019
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.3.184,10.129.5.116,10.131.2.195,10.128.4.243,10.131.2.193,10.128.4.244,10.131.2.194,10.129.3.185
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638589998.6457381
,,,,,,,,,STOP_TIME:1638590713.3124619

domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
118,11419902,5016768,1287,693,3.55E-04,3.99E-02,014,2011-09-16
43,4760132,2998717,537,412,1.81E-04,1.92E-02,014,2011-09-16
48,4809418,2852351,630,482,1.81E-04,2.56E-02,014,2011-09-16
49,12582856,6585033,1428,917,1.70E-04,4.96E-02,014,2011-09-16
39,5011633,3414965,596,483,2.14E-04,2.01E-02,014,2011-09-16
96,6235875,4015093,788,587,3.22E-04,2.61E-02,014,2011-09-16
84,12462353,7761365,1460,1109,3.73E-04,5.26E-02,014,2011-09-16
4,9979807,6057508,1104,843,3.68E-04,4.22E-02,014,2011-09-16
20,12580393,7949111,1409,1083,3.01E-04,3.31E-02,014,2011-09-16
77,4879685,3149527,530,417,2.31E-04,1.91E-02,014,2011-09-16
64,8021998,4555001,835,602,2.01E-04,2.58E-02,014,2011-09-16
18,12580554,8171353,1523,1180,2.17E-04,3.03E-02,014,2011-09-16
46,4927754,3134999,537,423,2.07E-04,1.78E-02,014,2011-09-16
97,10013778,6639225,1130,899,1.97E-04,3.45E-02,014,2011-09-16
97,10891732,3413267,1209,410,2.45E-04,3.34E-02,014,2011-09-16
97,8645527,5603185,1050,818,2.72E-04,3.21E-02,014,2011-09-16
98,8369268,3560436,961,510,3.39E-04,2.32E-02,014,2011-09-16
67,12572677,6157372,1449,873,2.21E-04,3.77E-02,014,2011-09-16
40,9855031,6020939,1145,850,3.45E-04,3.36E-02,014,2011-09-16
96,12582085,7043641,1341,968,3.17E-04,3.96E-02,014,2011-09-16
117,12578424,7320823,1415,1043,2.96E-04,4.85E-02,014,2011-09-16
57,12579782,5477644,1451,797,2.11E-04,4.14E-02,014,2011-09-16
32,12582153,6956571,2259,1464,3.62E-04,5.84E-02,014,2011-09-16
117,9547821,4605486,1166,674,3.30E-04,3.53E-02,014,2011-09-16
70,12557488,6273618,1529,952,3.56E-04,4.07E-02,014,2011-09-16
103,9295079,4715296,1170,715,3.47E-04,3.06E-02,014,2011-09-16
103,12578429,6228250,2507,1303,3.33E-04,5.53E-02,014,2011-09-16
90,4550876,3250468,585,496,3.45E-04,2.30E-02,014,2011-09-16
69,5650605,3785015,650,530,2.18E-04,2.08E-02,014,2011-09-16
31,12577667,8538741,1465,1180,2.79E-04,3.26E-02,014,2011-09-16
108,9236163,6465605,1143,953,2.01E-04,3.66E-02,014,2011-09-16
83,12574537,6589955,1547,985,2.05E-04,4.73E-02,014,2011-09-16
118,4923496,2381861,599,345,5.50E-04,1.97E-02,014,2011-09-16
49,4282214,2760862,983,728,5.58E-04,3.77E-02,014,2011-09-16
6,4295097,1576033,6668,1190,3.77E-04,2.68E-01,014,2011-09-16
109,5211196,1509230,6476,1059,3.61E-04,2.35E-01,014,2011-09-16
38,5043578,2463238,5113,1440,3.23E-04,1.55E-01,014,2011-09-16
77,5091149,2372989,4034,1241,3.15E-04,1.34E-01,014,2011-09-16
31,5214400,2291361,4846,1445,4.12E-04,8.03E-02,014,2011-09-16
110,9809647,5284949,3472,1843,3.94E-04,1.31E-01,014,2011-09-16
28,5406419,3939502,1339,938,3.74E-04,3.61E-02,014,2011-09-16
32,4366231,3424605,959,745,5.22E-04,2.97E-02,014,2011-09-16
107,12579572,6135913,2826,1353,4.55E-04,5.88E-02,014,2011-09-16
