,,,,,,,,,SIMULATOR_DOMAINS:32
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex1-run107
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:Q_LEARNING
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_014018019
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.131.2.196,10.129.3.186,10.129.5.119,10.128.4.246,10.129.3.187,10.129.5.118,10.128.4.245,10.131.2.197
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638590733.3346214
,,,,,,,,,STOP_TIME:1638591480.065036
0
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
246,6277532,2842073,725,408,6.55E-04,2.21E-02,014,2011-09-16
76,5142370,2488432,562,327,1.78E-04,1.43E-02,014,2011-09-16
171,4760132,2998717,537,412,2.23E-04,1.28E-02,014,2011-09-16
48,4809418,2852351,630,482,1.87E-04,2.44E-02,014,2011-09-16
49,2425446,1300517,260,188,1.85E-04,1.05E-02,014,2011-09-16
105,6286673,2859497,724,411,1.80E-04,3.06E-02,014,2011-09-16
113,5077082,3511705,582,480,1.71E-04,2.18E-02,014,2011-09-16
48,3805288,2196019,458,314,1.69E-04,1.54E-02,014,2011-09-16
96,6235875,4015093,788,587,3.27E-04,2.75E-02,014,2011-09-16
84,6291149,4113293,728,586,1.68E-04,1.56E-02,014,2011-09-16
52,6171204,3853695,732,556,3.76E-04,2.45E-02,014,2011-09-16
132,3431287,2498507,427,368,2.22E-04,1.93E-02,014,2011-09-16
51,6288450,3496355,649,470,3.24E-04,2.28E-02,014,2011-09-16
227,6288806,4197061,706,568,2.40E-04,2.18E-02,014,2011-09-16
61,6286203,4013060,702,551,2.14E-04,2.50E-02,014,2011-09-16
146,5145139,3295471,559,437,4.77E-04,2.31E-02,014,2011-09-16
192,6289689,3428899,639,452,4.59E-04,2.74E-02,014,2011-09-16
14,6288088,4040196,724,554,4.75E-04,2.56E-02,014,2011-09-16
113,6286807,4258821,787,644,4.55E-04,3.03E-02,014,2011-09-16
36,6286849,4118940,705,564,4.14E-04,2.57E-02,014,2011-09-16
180,6276176,4104593,705,562,1.73E-04,1.59E-02,014,2011-09-16
63,4116475,2842401,465,382,2.61E-04,1.73E-02,014,2011-09-16
225,6284860,4188434,711,575,1.88E-04,2.22E-02,014,2011-09-16
125,4606872,2912421,498,390,1.86E-04,1.91E-02,014,2011-09-16
225,2229136,1447013,295,233,1.90E-04,9.42E-03,014,2011-09-16
234,6287319,4241430,739,597,1.83E-04,2.22E-02,014,2011-09-16
47,3564044,2458768,424,352,1.87E-04,1.72E-02,014,2011-09-16
156,4934296,1210769,553,177,1.91E-04,1.51E-02,014,2011-09-16
67,2493776,1707883,301,250,1.87E-04,8.08E-03,014,2011-09-16
121,6278466,2792828,728,406,1.93E-04,2.16E-02,014,2011-09-16
106,5321613,2621403,581,343,2.38E-04,1.85E-02,014,2011-09-16
171,6282704,3167678,757,473,2.50E-04,1.45E-02,014,2011-09-16
248,5897052,3961323,673,549,1.96E-04,2.09E-02,014,2011-09-16
134,6285488,3202031,616,420,2.49E-04,2.10E-02,014,2011-09-16
144,6290336,3678031,697,531,1.93E-04,2.41E-02,014,2011-09-16
183,6281053,3869867,734,561,1.85E-04,1.64E-02,014,2011-09-16
199,5402335,3480081,617,488,1.95E-04,2.42E-02,014,2011-09-16
156,6285320,966762,719,148,3.43E-04,1.41E-02,014,2011-09-16
86,3459410,1698901,390,248,2.28E-04,8.53E-03,014,2011-09-16
132,6288278,3879872,1360,948,2.06E-04,5.71E-02,014,2011-09-16
222,6287544,3350957,897,586,3.07E-04,2.95E-02,014,2011-09-16
5,6282397,2978439,783,444,3.04E-04,2.06E-02,014,2011-09-16
174,3162201,1671499,373,239,3.38E-04,9.32E-03,014,2011-09-16
198,6276426,3575950,736,543,2.82E-04,2.80E-02,014,2011-09-16
76,6281062,4049060,793,602,2.17E-04,1.68E-02,014,2011-09-16
103,6280737,2747736,748,400,1.95E-04,2.15E-02,014,2011-09-16
253,3014342,2095900,422,343,2.03E-04,2.58E-02,014,2011-09-16
103,6279058,2625172,1701,771,1.94E-04,4.19E-02,014,2011-09-16
36,6288288,4265929,805,662,2.18E-04,2.93E-02,014,2011-09-16
146,4561959,3261551,586,497,3.14E-04,2.41E-02,014,2011-09-16
69,5650605,3785015,650,530,2.71E-04,1.56E-02,014,2011-09-16
159,6286761,4520364,750,635,3.40E-04,2.90E-02,014,2011-09-16
140,6290906,4180531,715,574,2.60E-04,2.80E-02,014,2011-09-16
236,6276392,4260909,754,623,2.51E-04,2.43E-02,014,2011-09-16
2,2959771,2295818,389,346,4.63E-04,1.41E-02,014,2011-09-16
211,6285888,4264185,787,651,5.24E-04,3.29E-02,014,2011-09-16
157,6288649,2907072,760,422,3.16E-04,2.30E-02,014,2011-09-16
246,3136386,2146773,367,301,4.36E-04,1.30E-02,014,2011-09-16
49,5801196,3583052,806,589,1.98E-04,2.96E-02,014,2011-09-16
