,,,,,,,,,SIMULATOR_DOMAINS:1
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex1-run85
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:FIRST_FINGERPRINT_7
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_014018019
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.131.2.138
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638573818.9475617
,,,,,,,,,STOP_TIME:1638574562.449006
0
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
0,6277532,2842073,725,408,7.00E-06,2.34E-02,014,2011-09-16
0,5142370,2280748,562,300,7.04E-06,1.45E-02,014,2011-09-16
0,4760132,2788651,537,385,5.56E-06,1.60E-02,014,2011-09-16
0,4809418,2852351,630,482,3.99E-06,4.98E-02,014,2011-09-16
0,2425446,1300517,260,188,4.01E-06,9.65E-03,014,2011-09-16
0,6286673,2859497,724,411,4.39E-06,2.29E-02,014,2011-09-16
0,5077082,1548612,582,215,4.08E-06,1.24E-02,014,2011-09-16
0,3805288,2181606,458,311,4.01E-06,4.52E-02,014,2011-09-16
0,6235875,3971544,788,580,3.90E-06,2.34E-02,014,2011-09-16
0,6291149,4113293,728,586,4.14E-06,2.37E-02,014,2011-09-16
0,6171204,3719055,732,534,4.12E-06,5.31E-02,014,2011-09-16
0,3431287,2498507,427,368,4.55E-06,1.52E-02,014,2011-09-16
0,6288450,3496355,649,470,6.23E-06,2.14E-02,014,2011-09-16
0,6288806,4197061,706,568,4.62E-06,5.48E-02,014,2011-09-16
0,6286203,4013060,702,551,4.21E-06,2.22E-02,014,2011-09-16
0,5145139,3295471,559,437,4.45E-06,5.70E-02,014,2011-09-16
0,6289689,3428899,639,452,4.23E-06,2.08E-02,014,2011-09-16
0,6288088,4040196,724,554,4.35E-06,2.22E-02,014,2011-09-16
0,6286807,4246498,787,640,4.68E-06,5.20E-02,014,2011-09-16
0,6286849,4118940,705,564,5.61E-06,2.18E-02,014,2011-09-16
0,6276176,2113983,705,263,4.99E-06,1.53E-02,014,2011-09-16
0,4116475,1287782,465,146,4.58E-06,1.03E-02,014,2011-09-16
0,6284860,95464,711,15,4.28E-06,3.38E-02,014,2011-09-16
0,4606872,0,498,0,4.42E-06,6.28E-03,014,2011-09-16
0,2229136,1370080,295,223,4.23E-06,9.39E-03,014,2011-09-16
0,6287319,4241413,739,596,4.00E-06,2.30E-02,014,2011-09-16
0,3564044,2458768,424,352,4.37E-06,1.46E-02,014,2011-09-16
0,4934296,997303,553,149,2.15E-05,3.61E-02,014,2011-09-16
0,2493776,1707883,301,250,4.81E-06,1.06E-02,014,2011-09-16
0,6278466,187102,728,30,4.50E-06,8.98E-03,014,2011-09-16
0,5321613,0,581,0,4.18E-06,7.27E-03,014,2011-09-16
0,6282704,3167678,757,473,4.10E-06,1.95E-02,014,2011-09-16
0,5897052,3961323,673,549,5.32E-06,3.95E-02,014,2011-09-16
0,6285488,3202031,616,420,4.50E-06,1.67E-02,014,2011-09-16
0,6290336,3678031,697,531,5.19E-06,1.98E-02,014,2011-09-16
0,6281053,3869850,734,560,4.09E-06,5.39E-02,014,2011-09-16
0,5402335,1490677,617,200,4.07E-06,1.21E-02,014,2011-09-16
0,6285320,966745,719,147,4.52E-06,1.15E-02,014,2011-09-16
0,3459410,1529394,390,224,1.98E-05,1.12E-02,014,2011-09-16
0,6288278,3879870,1360,947,4.02E-06,5.52E-02,014,2011-09-16
0,6287544,3335103,897,583,4.70E-06,2.37E-02,014,2011-09-16
0,6282397,2970094,783,442,4.28E-06,5.22E-02,014,2011-09-16
0,3162201,1654553,373,236,4.40E-06,1.10E-02,014,2011-09-16
0,6276426,3531373,736,536,4.10E-06,2.23E-02,014,2011-09-16
0,6281062,2830868,793,438,4.19E-06,5.39E-02,014,2011-09-16
0,6280737,260140,748,51,6.37E-06,1.03E-02,014,2011-09-16
0,3014342,0,422,0,4.83E-06,5.94E-03,014,2011-09-16
0,6279058,2419511,1701,729,4.89E-06,3.35E-02,014,2011-09-16
0,6288288,3750190,805,566,6.38E-06,3.46E-02,014,2011-09-16
0,4561959,3261551,586,497,4.68E-06,1.87E-02,014,2011-09-16
0,5650605,3785015,650,530,4.05E-06,2.00E-02,014,2011-09-16
0,6286761,4520364,750,635,4.18E-06,7.02E-02,014,2011-09-16
0,6290906,4180531,715,574,4.21E-06,6.95E-02,014,2011-09-16
0,6276392,4242146,754,621,4.34E-06,2.42E-02,014,2011-09-16
0,2959771,2270177,389,343,4.93E-06,1.32E-02,014,2011-09-16
0,6285888,4264155,787,650,3.98E-06,5.67E-02,014,2011-09-16
0,6288649,2464718,760,358,4.11E-06,1.70E-02,014,2011-09-16
0,3136386,1081730,367,158,4.23E-06,8.66E-03,014,2011-09-16
0,5801196,2536161,806,437,4.47E-06,1.93E-02,014,2011-09-16
0,2501744,1054948,3473,884,4.67E-06,1.11E-01,014,2011-09-16
0,2903123,870713,4535,808,5.17E-06,9.93E-02,014,2011-09-16
0,4369554,1247999,5545,950,5.71E-06,1.31E-01,014,2011-09-16
0,2171392,945729,1797,644,2.33E-05,6.48E-02,014,2011-09-16
0,2872186,1715865,3316,1189,6.12E-06,9.20E-02,014,2011-09-16
0,5091149,2372989,4034,1241,1.18E-05,7.90E-02,014,2011-09-16
0,4112850,1615831,3937,1136,2.59E-05,1.23E-01,014,2011-09-16
0,2109887,0,1906,0,5.90E-06,1.86E-02,014,2011-09-16
0,2485058,918489,834,224,4.58E-06,1.44E-02,014,2011-09-16
0,6289152,3502987,1633,889,4.06E-06,4.03E-02,014,2011-09-16
0,2907056,1295509,806,336,4.45E-06,1.54E-02,014,2011-09-16
0,2526463,1656789,541,348,4.92E-06,1.38E-02,014,2011-09-16
0,2374201,719909,516,162,5.31E-06,9.71E-03,014,2011-09-16
0,2497353,1203219,556,266,4.49E-06,3.22E-02,014,2011-09-16
0,2779675,1092195,663,256,4.14E-06,1.23E-02,014,2011-09-16
0,6287971,3495214,1370,767,4.23E-06,2.96E-02,014,2011-09-16
0,5781837,1681098,6165,1027,7.02E-06,1.92E-01,014,2011-09-16
0,2145906,974398,2660,805,7.51E-06,7.14E-02,014,2011-09-16
0,3450990,1429127,5050,1032,5.72E-06,9.79E-02,014,2011-09-16
0,5566532,2247864,6326,1420,5.88E-06,2.10E-01,014,2011-09-16
0,3761157,1580582,3522,1135,1.05E-05,9.62E-02,014,2011-09-16
0,6288759,1403955,2484,397,7.51E-06,6.16E-02,014,2011-09-16
0,6290845,3712605,747,536,6.35E-06,2.39E-02,014,2011-09-16
0,6288235,164248,756,24,5.29E-06,1.03E-02,014,2011-09-16
0,3613146,2651696,517,445,4.21E-06,4.90E-02,014,2011-09-16
0,6288727,4388422,947,793,4.87E-06,3.67E-02,014,2011-09-16
0,2963937,2324857,435,388,4.17E-06,5.31E-02,014,2011-09-16
0,6280148,4452128,955,784,4.09E-06,3.02E-02,014,2011-09-16
0,6287417,4540816,898,738,4.22E-06,6.72E-02,014,2011-09-16
0,6283068,4566553,916,765,3.09E-05,7.27E-02,014,2011-09-16
0,6282402,4536219,979,776,4.36E-06,3.07E-02,014,2011-09-16
0,3410066,661191,392,96,5.01E-06,8.50E-03,014,2011-09-16
0,2892887,0,418,0,4.72E-06,6.03E-03,014,2011-09-16
0,6285276,0,948,0,4.92E-06,1.09E-02,014,2011-09-16
0,2980321,0,436,0,4.32E-06,6.20E-03,014,2011-09-16
0,6280148,0,955,0,4.33E-06,1.98E-02,014,2011-09-16
0,6287417,0,898,0,4.08E-06,1.05E-02,014,2011-09-16
0,6283068,0,916,0,4.47E-06,1.05E-02,014,2011-09-16
0,6288162,281819,924,40,4.42E-06,1.19E-02,014,2011-09-16
0,4491024,3174510,538,451,5.40E-06,1.80E-02,014,2011-09-16
0,5150149,197082,617,28,4.10E-06,2.20E-02,014,2011-09-16
0,2784500,1550103,355,232,4.36E-06,1.10E-02,014,2011-09-16
0,6276112,3747171,673,502,4.06E-06,2.15E-02,014,2011-09-16
0,6290430,3707276,669,501,4.19E-06,5.74E-02,014,2011-09-16
0,6281978,4189939,702,567,4.21E-06,2.24E-02,014,2011-09-16
0,3928548,1310587,455,189,4.42E-06,1.10E-02,014,2011-09-16
0,6276112,0,673,0,4.03E-06,8.13E-03,014,2011-09-16
0,6290430,0,669,0,4.12E-06,8.03E-03,014,2011-09-16
0,6281978,0,702,0,4.27E-06,8.79E-03,014,2011-09-16
0,4656315,1407425,733,338,4.13E-06,3.11E-02,014,2011-09-16
0,6275708,2101788,908,372,4.42E-06,1.92E-02,014,2011-09-16
0,3165521,711263,329,112,4.22E-06,8.77E-03,014,2011-09-16
0,2133000,1369017,342,258,3.96E-06,1.10E-02,014,2011-09-16
0,3151588,1230875,489,226,3.95E-06,4.03E-02,014,2011-09-16
0,6287329,1646147,925,299,3.97E-06,1.81E-02,014,2011-09-16
0,6282103,2363796,984,447,4.23E-06,2.21E-02,014,2011-09-16
0,6290024,1914971,946,377,4.74E-06,4.36E-02,014,2011-09-16
0,3095213,1491962,487,262,4.24E-06,1.21E-02,014,2011-09-16
0,2559320,1269927,370,230,5.12E-06,1.04E-02,014,2011-09-16
0,6280841,1620353,976,320,1.96E-05,1.83E-02,014,2011-09-16
0,6284370,1217328,1042,251,4.28E-06,3.98E-02,014,2011-09-16
0,6284361,0,806,0,4.32E-06,9.32E-03,014,2011-09-16
0,3580622,0,431,0,4.55E-06,6.07E-03,014,2011-09-16
0,3931803,0,454,0,4.26E-06,6.34E-03,014,2011-09-16
0,6286761,0,750,0,4.10E-06,9.13E-03,014,2011-09-16
0,6290906,0,715,0,4.13E-06,8.58E-03,014,2011-09-16
0,6276392,0,754,0,4.25E-06,9.11E-03,014,2011-09-16
0,2959771,0,389,0,4.17E-06,5.67E-03,014,2011-09-16
0,6287188,376388,784,55,3.92E-06,1.03E-02,014,2011-09-16
0,5832523,1966215,972,392,4.52E-06,1.93E-02,014,2011-09-16
0,6290256,3183502,916,546,4.61E-06,2.37E-02,014,2011-09-16
0,6157020,3512788,800,558,4.36E-06,5.50E-02,014,2011-09-16
0,2514241,1293659,673,267,4.23E-06,1.48E-02,014,2011-09-16
0,6285045,279858,812,42,4.27E-06,1.06E-02,014,2011-09-16
0,6291240,2526366,1113,505,5.18E-06,2.29E-02,014,2011-09-16
0,6290791,3250226,1236,671,4.25E-06,3.93E-02,014,2011-09-16
0,6291062,1740078,2116,734,2.20E-05,7.27E-02,014,2011-09-16
0,6290469,2209940,4208,1372,4.95E-06,9.92E-02,014,2011-09-16
0,6290477,2266468,2490,969,5.10E-06,7.80E-02,014,2011-09-16
0,2254540,767939,580,262,5.41E-06,5.64E-02,014,2011-09-16
