,,,,,,,,,SIMULATOR_DOMAINS:1
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex1-run86
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:FIRST_FINGERPRINT_7
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_014018019
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.131.2.139
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638574626.2397413
,,,,,,,,,STOP_TIME:1638575348.3076267
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
0,11419902,5016768,1287,693,8.18E-06,3.57E-02,014,2011-09-16
0,4760132,2788651,537,385,6.18E-06,1.61E-02,014,2011-09-16
0,4809418,2852351,630,482,3.92E-06,2.71E-02,014,2011-09-16
0,12582856,5471595,1428,772,4.23E-06,3.91E-02,014,2011-09-16
0,5011633,2181606,596,311,6.02E-06,4.30E-02,014,2011-09-16
0,6235875,3971544,788,580,7.09E-06,2.26E-02,014,2011-09-16
0,12462353,7639357,1460,1091,4.51E-06,6.75E-02,014,2011-09-16
0,9979807,6057508,1104,843,8.48E-06,3.35E-02,014,2011-09-16
0,12580393,7949111,1409,1083,8.66E-06,6.05E-02,014,2011-09-16
0,4879685,3149527,530,417,2.00E-05,1.67E-02,014,2011-09-16
0,8021998,4555001,835,602,4.76E-06,6.03E-02,014,2011-09-16
0,12580554,8171353,1523,1180,1.19E-05,7.48E-02,014,2011-09-16
0,4927754,3134999,537,423,8.40E-06,1.71E-02,014,2011-09-16
0,10013778,3163638,1130,378,7.96E-06,2.18E-02,014,2011-09-16
0,10891732,95464,1209,15,4.61E-06,1.29E-02,014,2011-09-16
0,8645527,5603185,1050,818,5.82E-06,3.58E-02,014,2011-09-16
0,8369268,3346970,961,482,6.89E-06,2.25E-02,014,2011-09-16
0,12572677,1874025,1449,278,9.94E-06,4.59E-02,014,2011-09-16
0,9855031,4561633,1145,654,9.74E-06,2.81E-02,014,2011-09-16
0,12582085,7043641,1341,968,5.19E-06,6.17E-02,014,2011-09-16
0,12578424,7320823,1415,1043,6.03E-06,3.83E-02,014,2011-09-16
0,12579782,2391797,1451,359,1.38E-05,4.38E-02,014,2011-09-16
0,12582153,6956569,2259,1463,9.55E-06,7.59E-02,014,2011-09-16
0,9547821,4605486,1166,674,9.36E-06,2.87E-02,014,2011-09-16
0,12557488,6229041,1529,945,7.28E-06,5.62E-02,014,2011-09-16
0,9295079,260140,1170,51,7.07E-06,1.36E-02,014,2011-09-16
0,12578429,6020831,2507,1261,4.64E-06,5.76E-02,014,2011-09-16
0,4550876,3250468,585,496,5.44E-06,6.09E-02,014,2011-09-16
0,5650605,3785015,650,530,7.30E-06,1.98E-02,014,2011-09-16
0,12577667,8538741,1465,1180,9.92E-06,6.74E-02,014,2011-09-16
0,9236163,6421201,1143,948,7.71E-06,3.25E-02,014,2011-09-16
0,12574537,6589925,1547,984,2.30E-05,6.00E-02,014,2011-09-16
0,4923496,1316818,599,202,1.02E-05,1.23E-02,014,2011-09-16
0,4282214,2536275,983,688,8.64E-06,5.38E-02,014,2011-09-16
0,4295097,1404467,6668,1098,1.36E-05,2.30E-01,014,2011-09-16
0,5211196,1442978,6476,1008,1.26E-05,2.06E-01,014,2011-09-16
0,5043578,2447203,5113,1435,7.43E-06,1.72E-01,014,2011-09-16
0,5091149,2372989,4034,1241,6.96E-06,1.28E-01,014,2011-09-16
0,5214400,1615831,4846,1136,5.35E-06,8.13E-02,014,2011-09-16
0,9809647,4332762,3472,1087,4.23E-06,6.05E-02,014,2011-09-16
0,5406419,2880918,1339,663,4.36E-06,5.95E-02,014,2011-09-16
0,4366231,1883117,959,420,4.43E-06,1.94E-02,014,2011-09-16
0,12579572,5164813,2826,1133,4.02E-06,5.71E-02,014,2011-09-16
0,4784843,1643232,8016,1183,5.22E-06,2.23E-01,014,2011-09-16
