,,,,,,,,,SIMULATOR_DOMAINS:32
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex1-run90
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:FIRST_FINGERPRINT_7
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_014018019
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.131.2.151,10.131.2.152,10.129.3.153,10.128.4.215,10.131.2.149,10.129.3.152,10.129.5.90,10.128.4.216
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638577746.22331
,,,,,,,,,STOP_TIME:1638578446.4350774
omain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
246,11419902,5016768,1287,693,7.06E-06,3.96E-02,014,2011-09-16
171,4760132,2998717,537,412,5.12E-06,2.32E-02,014,2011-09-16
48,4809418,2852351,630,482,3.89E-06,2.26E-02,014,2011-09-16
49,12582856,6585033,1428,917,1.65E-05,4.15E-02,014,2011-09-16
39,5011633,3414965,596,483,7.99E-06,5.03E-02,014,2011-09-16
96,6235875,4015093,788,587,1.48E-05,3.45E-02,014,2011-09-16
84,12462353,7761365,1460,1109,1.51E-05,8.28E-02,014,2011-09-16
132,9979807,6057508,1104,843,9.09E-06,3.61E-02,014,2011-09-16
20,12580393,7949111,1409,1083,1.02E-05,4.38E-02,014,2011-09-16
77,4879685,3149527,530,417,6.49E-06,2.06E-02,014,2011-09-16
192,8021998,4555001,835,602,4.20E-06,2.11E-02,014,2011-09-16
146,12580554,8171353,1523,1180,4.74E-06,4.25E-02,014,2011-09-16
174,4927754,3134999,537,423,7.50E-06,2.09E-02,014,2011-09-16
225,10013778,6639225,1130,899,3.93E-06,4.12E-02,014,2011-09-16
225,10891732,3413267,1209,410,4.50E-06,2.86E-02,014,2011-09-16
225,8645527,5603185,1050,818,6.61E-06,3.71E-02,014,2011-09-16
226,8369268,3560436,961,510,5.28E-06,5.06E-02,014,2011-09-16
