,,,,,,,,,SIMULATOR_DOMAINS:128
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex1-run91
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:FIRST_FINGERPRINT_7
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_014018019
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.131.2.153,10.131.2.154,10.129.3.154,10.131.2.155,10.129.5.91,10.129.5.92,10.128.4.217,10.129.3.155
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638578474.5402403
,,,,,,,,,STOP_TIME:1638579214.571352
0
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
1014,6277532,2842073,725,408,2.15E-05,2.65E-02,014,2011-09-16
332,5142370,2488432,562,327,3.73E-06,2.08E-02,014,2011-09-16
427,4760132,2998717,537,412,4.11E-06,1.98E-02,014,2011-09-16
48,4809418,2852351,630,482,4.19E-06,2.00E-02,014,2011-09-16
305,2425446,1300517,260,188,3.84E-06,1.15E-02,014,2011-09-16
617,6286673,2859497,724,411,6.49E-06,2.02E-02,014,2011-09-16
881,5077082,3511705,582,480,9.85E-06,2.52E-02,014,2011-09-16
48,3805288,2196019,458,314,8.90E-06,1.40E-02,014,2011-09-16
352,6235875,4015093,788,587,4.16E-06,2.69E-02,014,2011-09-16
340,6291149,4113293,728,586,7.82E-06,2.62E-02,014,2011-09-16
52,6171204,3853695,732,556,6.18E-06,2.23E-02,014,2011-09-16
900,3431287,2498507,427,368,8.48E-06,1.70E-02,014,2011-09-16
51,6288450,3496355,649,470,7.91E-06,2.05E-02,014,2011-09-16
739,6288806,4197061,706,568,1.08E-05,1.98E-02,014,2011-09-16
317,6286203,4013060,702,551,8.98E-06,4.93E-02,014,2011-09-16
658,5145139,3295471,559,437,1.77E-05,1.37E-02,014,2011-09-16
960,6289689,3428899,639,452,6.38E-06,2.53E-02,014,2011-09-16
270,6288088,4040196,724,554,8.28E-06,2.81E-02,014,2011-09-16
881,6286807,4258821,787,644,1.65E-05,3.33E-02,014,2011-09-16
292,6286849,4118940,705,564,7.27E-06,2.82E-02,014,2011-09-16
692,6276176,4104593,705,562,7.74E-06,1.63E-02,014,2011-09-16
831,4116475,2842401,465,382,1.42E-05,1.83E-02,014,2011-09-16
993,6284860,4188434,711,575,6.96E-06,2.67E-02,014,2011-09-16
