,,,,,,,,,SIMULATOR_DOMAINS:128
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex1-run92
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:FIRST_FINGERPRINT_7
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_014018019
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.128.4.219,10.129.3.157,10.131.2.156,10.129.3.156,10.129.5.94,10.131.2.157,10.128.4.218,10.129.5.93
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638579265.5431092
,,,,,,,,,STOP_TIME:1638579951.2492692

domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
1014,11419902,5016768,1287,693,1.54E-05,3.37E-02,014,2011-09-16
427,4760132,2998717,537,412,8.20E-06,2.37E-02,014,2011-09-16
48,4809418,2852351,630,482,4.27E-06,2.48E-02,014,2011-09-16
305,12582856,6585033,1428,917,4.32E-06,4.57E-02,014,2011-09-16
551,5011633,3414965,596,483,4.98E-06,1.63E-02,014,2011-09-16
352,6235875,4015093,788,587,7.90E-06,3.55E-02,014,2011-09-16
340,12462353,7761365,1460,1109,5.65E-06,3.95E-02,014,2011-09-16
900,9979807,6057508,1104,843,5.97E-06,2.43E-02,014,2011-09-16
20,12580393,7949111,1409,1083,4.65E-06,5.14E-02,014,2011-09-16
77,4879685,3149527,530,417,6.55E-06,1.99E-02,014,2011-09-16
960,8021998,4555001,835,602,4.14E-06,1.79E-02,014,2011-09-16
658,12580554,8171353,1523,1180,5.84E-06,4.37E-02,014,2011-09-16
430,4927754,3134999,537,423,1.09E-05,2.18E-02,014,2011-09-16
993,10013778,6639225,1130,899,1.22E-05,2.57E-02,014,2011-09-16
993,10891732,3413267,1209,410,9.27E-06,1.91E-02,014,2011-09-16
993,8645527,5603185,1050,818,9.09E-06,2.22E-02,014,2011-09-16
482,8369268,3560436,961,510,9.05E-06,2.72E-02,014,2011-09-16
67,12572677,6157372,1449,873,1.23E-05,4.50E-02,014,2011-09-16
168,9855031,6020939,1145,850,9.78E-06,4.05E-02,014,2011-09-16
992,12582085,7043641,1341,968,6.03E-06,4.50E-02,014,2011-09-16
1013,12578424,7320823,1415,1043,7.57E-06,3.28E-02,014,2011-09-16
