,,,,,,,,,SIMULATOR_DOMAINS:16
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex1-run93
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:MIN_FINGERPRINT
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_014018019
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.5.96,10.129.3.158,10.131.2.160,10.128.4.221,10.129.3.159,10.129.5.95,10.131.2.159,10.128.4.220
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638580008.0349915
,,,,,,,,,STOP_TIME:1638580759.789415
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
10,6277532,2842073,725,408,1.85E-04,1.67E-02,014,2011-09-16
70,5142370,2488432,562,327,9.52E-05,2.03E-02,014,2011-09-16
85,4760132,2998717,537,412,9.82E-05,1.27E-02,014,2011-09-16
24,4809418,2852351,630,482,1.31E-04,2.42E-02,014,2011-09-16
55,2425446,1300517,260,188,1.02E-04,1.35E-02,014,2011-09-16
61,6286673,2859497,724,411,1.45E-04,2.75E-02,014,2011-09-16
64,5077082,3511705,582,480,9.10E-05,2.16E-02,014,2011-09-16
24,3805288,2196019,458,314,1.69E-04,1.54E-02,014,2011-09-16
12,6235875,4015093,788,587,1.24E-04,1.79E-02,014,2011-09-16
3,6291149,4113293,728,586,1.75E-04,1.63E-02,014,2011-09-16
9,6171204,3853695,732,556,1.10E-04,1.52E-02,014,2011-09-16
59,3431287,2498507,427,368,1.26E-04,1.68E-02,014,2011-09-16
52,6288450,3496355,649,470,9.18E-05,2.40E-02,014,2011-09-16
14,6288806,4197061,706,568,1.00E-04,1.96E-02,014,2011-09-16
55,6286203,4013060,702,551,9.62E-05,2.62E-02,014,2011-09-16
121,5145139,3295471,559,437,9.54E-05,2.36E-02,014,2011-09-16
25,6289689,3428899,639,452,9.25E-05,2.90E-02,014,2011-09-16
122,6288088,4040196,724,554,1.02E-04,2.74E-02,014,2011-09-16
49,6286807,4258821,787,644,2.42E-04,2.89E-02,014,2011-09-16
50,6286849,4118940,705,564,1.36E-04,2.68E-02,014,2011-09-16
52,6276176,4104593,705,562,9.64E-05,2.62E-02,014,2011-09-16
12,4116475,2842401,465,382,9.77E-05,1.12E-02,014,2011-09-16
104,6284860,4188434,711,575,9.23E-05,2.58E-02,014,2011-09-16
12,4606872,1446671,498,167,1.01E-04,8.83E-03,014,2011-09-16
73,2229136,1543536,295,246,1.36E-04,1.17E-02,014,2011-09-16
122,6287319,4241413,739,596,1.13E-04,2.74E-02,014,2011-09-16
57,3564044,2458768,424,352,1.01E-04,1.67E-02,014,2011-09-16
127,4934296,1210769,553,177,9.38E-05,1.39E-02,014,2011-09-16
6,2493776,1707883,301,250,2.07E-04,8.00E-03,014,2011-09-16
10,6278466,187119,728,31,1.70E-04,8.74E-03,014,2011-09-16
70,5321613,149355,581,17,1.28E-04,9.00E-03,014,2011-09-16
85,6282704,3167678,757,473,1.55E-04,1.47E-02,014,2011-09-16
52,5897052,3961323,673,549,1.40E-04,2.61E-02,014,2011-09-16
41,6285488,3202031,616,420,1.61E-04,2.06E-02,014,2011-09-16
45,6290336,3678031,697,531,1.72E-04,2.21E-02,014,2011-09-16
117,6281053,3869867,734,561,1.80E-04,2.79E-02,014,2011-09-16
115,5402335,3480081,617,488,1.79E-04,2.81E-02,014,2011-09-16
127,6285320,966762,719,148,2.45E-04,2.34E-02,014,2011-09-16
124,3459410,1698901,390,248,3.00E-04,2.72E-02,014,2011-09-16
96,6288278,3879872,1360,948,4.76E-04,4.13E-02,014,2011-09-16
54,6287544,3350957,897,586,2.03E-04,3.01E-02,014,2011-09-16
46,6282397,2978439,783,444,1.86E-04,2.06E-02,014,2011-09-16
8,3162201,1671499,373,239,1.63E-04,1.00E-02,014,2011-09-16
33,6276426,3575950,736,543,1.28E-04,2.21E-02,014,2011-09-16
121,6281062,4049060,793,602,1.59E-04,2.89E-02,014,2011-09-16
94,6280737,2747736,748,400,1.70E-04,1.26E-02,014,2011-09-16
27,3014342,2095900,422,343,1.60E-04,1.85E-02,014,2011-09-16
32,6279058,2840135,1701,817,2.37E-04,3.54E-02,014,2011-09-16
91,6288288,4265929,805,662,1.53E-04,1.69E-02,014,2011-09-16
55,4561959,3261551,586,497,1.03E-04,2.24E-02,014,2011-09-16
100,5650605,3785015,650,530,1.04E-04,2.12E-02,014,2011-09-16
78,6286761,4520364,750,635,1.52E-04,2.88E-02,014,2011-09-16
122,6290906,4180531,715,574,1.29E-04,2.74E-02,014,2011-09-16
45,6276392,4260909,754,623,1.34E-04,2.36E-02,014,2011-09-16
107,2959771,2295818,389,346,1.40E-04,1.28E-02,014,2011-09-16
27,6285888,4264185,787,651,1.30E-04,3.08E-02,014,2011-09-16
104,6288649,2907072,760,422,1.63E-04,1.78E-02,014,2011-09-16
58,3136386,2146773,367,301,1.18E-04,1.47E-02,014,2011-09-16
89,5801196,3583052,806,589,1.73E-04,1.61E-02,014,2011-09-16
103,2501744,1082894,3473,909,7.14E-04,6.44E-02,014,2011-09-16
65,2903123,904762,4535,836,1.12E-03,2.04E-01,014,2011-09-16
115,4369554,1338468,5545,1036,1.08E-03,2.43E-01,014,2011-09-16
127,2171392,963139,1797,651,6.63E-04,6.82E-02,014,2011-09-16
113,2872186,1729218,3316,1203,1.26E-03,1.52E-01,014,2011-09-16
30,5091149,2372989,4034,1241,7.32E-04,1.43E-01,014,2011-09-16
116,4112850,1641802,3937,1164,1.28E-03,1.42E-01,014,2011-09-16
113,2109887,0,1906,0,5.80E-04,2.39E-02,014,2011-09-16
30,2485058,918519,834,225,4.55E-04,1.87E-02,014,2011-09-16
40,6289152,3502987,1633,889,4.37E-04,3.77E-02,014,2011-09-16
19,2907056,2353152,806,611,3.74E-04,2.85E-02,014,2011-09-16
30,2526463,2461356,541,524,4.82E-04,2.30E-02,014,2011-09-16
30,2374201,719909,516,162,4.02E-04,1.33E-02,014,2011-09-16
100,2497353,1883117,556,420,1.86E-04,1.63E-02,014,2011-09-16
100,2779675,1092195,663,256,2.44E-04,1.34E-02,014,2011-09-16
45,6287971,3599925,1370,790,2.30E-04,3.34E-02,014,2011-09-16
61,5781837,2987837,6165,1324,3.34E-04,2.01E-01,014,2011-09-16
13,2145906,1051721,2660,843,9.49E-04,4.05E-02,014,2011-09-16
72,3450990,1513969,5050,1066,8.45E-04,1.69E-01,014,2011-09-16
109,5566532,2608694,6326,1510,8.98E-04,2.61E-01,014,2011-09-16
80,3761157,2217594,3522,1478,6.98E-04,1.11E-01,014,2011-09-16
80,6288759,3254366,2484,649,8.25E-04,2.71E-02,014,2011-09-16
13,6290845,4270839,747,615,1.99E-04,1.73E-02,014,2011-09-16
86,6288235,4330623,756,629,1.32E-04,1.56E-02,014,2011-09-16
49,3613146,2651696,517,445,1.42E-04,2.05E-02,014,2011-09-16
107,6288727,4388422,947,793,1.29E-04,2.93E-02,014,2011-09-16
66,2963937,2324857,435,388,1.24E-04,1.80E-02,014,2011-09-16
93,6280148,4457166,955,786,1.80E-04,1.74E-02,014,2011-09-16
80,6287417,4572207,898,745,1.38E-04,2.08E-02,014,2011-09-16
26,6283068,4566553,916,765,2.26E-04,3.41E-02,014,2011-09-16
27,6282402,4553830,979,782,2.08E-04,6.99E-02,014,2011-09-16
102,3410066,1415221,392,215,1.85E-04,1.24E-02,014,2011-09-16
26,2892887,2128395,418,362,1.34E-04,1.67E-02,014,2011-09-16
107,6285276,12933,948,2,1.49E-04,1.20E-02,014,2011-09-16
66,2980321,16384,436,1,1.43E-04,7.37E-03,014,2011-09-16
93,6280148,0,955,0,1.26E-04,9.79E-03,014,2011-09-16
80,6287417,0,898,0,1.49E-04,8.52E-03,014,2011-09-16
26,6283068,0,916,0,1.59E-04,1.23E-02,014,2011-09-16
27,6288162,281819,924,40,1.37E-04,1.36E-02,014,2011-09-16
125,4491024,3174510,538,451,1.49E-04,2.13E-02,014,2011-09-16
8,5150149,3615645,617,516,1.03E-04,1.42E-02,014,2011-09-16
7,2784500,1718179,355,257,1.38E-04,7.90E-03,014,2011-09-16
30,6276112,3747171,673,502,1.25E-04,2.47E-02,014,2011-09-16
113,6290430,3731095,669,505,1.07E-04,2.61E-02,014,2011-09-16
75,6281978,4192164,702,568,9.58E-05,2.60E-02,014,2011-09-16
3,3928548,2574355,455,369,9.41E-05,1.10E-02,014,2011-09-16
30,6276112,0,673,0,1.05E-04,1.06E-02,014,2011-09-16
113,6290430,0,669,0,1.15E-04,9.98E-03,014,2011-09-16
75,6281978,0,702,0,9.42E-05,1.05E-02,014,2011-09-16
3,4656315,1407425,733,338,9.78E-05,1.22E-02,014,2011-09-16
34,6275708,2412657,908,436,1.31E-04,2.19E-02,014,2011-09-16
