,,,,,,,,,SIMULATOR_DOMAINS:32
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex1-run96
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:MIN_FINGERPRINT
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_014018019
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.128.4.226,10.129.5.101,10.129.5.100,10.131.2.167,10.131.2.168,10.129.3.164,10.128.4.225,10.129.3.165
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638582335.7322137
,,,,,,,,,STOP_TIME:1638583030.6064289

domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
10,11419902,5016768,1287,693,1.80E-04,4.02E-02,014,2011-09-16
213,4760132,2998717,537,412,1.35E-04,2.09E-02,014,2011-09-16
152,4809418,2852351,630,482,1.21E-04,2.25E-02,014,2011-09-16
55,12582856,6585033,1428,917,9.00E-05,3.40E-02,014,2011-09-16
46,5011633,3414965,596,483,8.69E-05,1.44E-02,014,2011-09-16
140,6235875,4015093,788,587,2.07E-04,2.17E-02,014,2011-09-16
131,12462353,7761365,1460,1109,1.61E-04,4.05E-02,014,2011-09-16
59,9979807,6057508,1104,843,1.71E-04,2.41E-02,014,2011-09-16
14,12580393,7949111,1409,1083,1.51E-04,5.25E-02,014,2011-09-16
139,4879685,3149527,530,417,1.59E-04,1.65E-02,014,2011-09-16
153,8021998,4555001,835,602,8.33E-05,2.39E-02,014,2011-09-16
112,12580554,8171353,1523,1180,8.66E-05,4.57E-02,014,2011-09-16
140,4927754,3134999,537,423,1.34E-04,1.70E-02,014,2011-09-16
69,10013778,6639225,1130,899,9.77E-05,2.79E-02,014,2011-09-16
232,10891732,7010050,1209,950,1.39E-04,4.90E-02,014,2011-09-16
73,8645527,5770616,1050,840,1.73E-04,2.55E-02,014,2011-09-16
57,8369268,3560436,961,510,1.91E-04,1.90E-02,014,2011-09-16
134,12572677,6157372,1449,873,1.96E-04,3.87E-02,014,2011-09-16
40,9855031,6020939,1145,850,1.33E-04,2.52E-02,014,2011-09-16
90,12582085,7043641,1341,968,1.18E-04,3.27E-02,014,2011-09-16
