,,,,,,,,,SIMULATOR_DOMAINS:128
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex1-run97
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:MIN_FINGERPRINT
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_014018019
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.5.102,10.128.4.227,10.131.2.169,10.129.5.103,10.129.3.167,10.128.4.228,10.131.2.170,10.129.3.166
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638583067.0430484
,,,,,,,,,STOP_TIME:1638583808.8596313

domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
266,6277532,2842073,725,408,1.67E-04,2.30E-02,014,2011-09-16
70,5142370,2488432,562,327,1.12E-04,1.40E-02,014,2011-09-16
469,4760132,2998717,537,412,1.33E-04,1.32E-02,014,2011-09-16
664,4809418,2852351,630,482,1.38E-04,2.54E-02,014,2011-09-16
567,2425446,1300517,260,188,9.49E-05,1.38E-02,014,2011-09-16
701,6286673,2859497,724,411,1.40E-04,3.05E-02,014,2011-09-16
192,5077082,3511705,582,480,9.49E-05,2.48E-02,014,2011-09-16
664,3805288,2196019,458,314,1.73E-04,1.71E-02,014,2011-09-16
396,6235875,4015093,788,587,2.01E-04,1.58E-02,014,2011-09-16
387,6291149,4113293,728,586,1.73E-04,1.51E-02,014,2011-09-16
649,6171204,3853695,732,556,1.66E-04,2.77E-02,014,2011-09-16
571,3431287,2498507,427,368,1.29E-04,1.65E-02,014,2011-09-16
692,6288450,3496355,649,470,9.24E-05,2.47E-02,014,2011-09-16
782,6288806,4197061,706,568,9.43E-05,2.38E-02,014,2011-09-16
311,6286203,4013060,702,551,9.89E-05,2.33E-02,014,2011-09-16
121,5145139,3295471,559,437,9.24E-05,1.24E-02,014,2011-09-16
665,6289689,3428899,639,452,9.70E-05,2.43E-02,014,2011-09-16
506,6288088,4040196,724,554,9.69E-05,1.44E-02,014,2011-09-16
561,6286807,4258821,787,644,1.55E-04,2.68E-02,014,2011-09-16
434,6286849,4118940,705,564,1.25E-04,1.48E-02,014,2011-09-16
692,6276176,4104593,705,562,8.95E-05,2.64E-02,014,2011-09-16
396,4116475,2842401,465,382,1.30E-04,9.74E-03,014,2011-09-16
744,6284860,4188434,711,575,9.16E-05,2.67E-02,014,2011-09-16
396,4606872,1446671,498,167,1.48E-04,8.03E-03,014,2011-09-16
841,2229136,1543536,295,246,1.42E-04,1.08E-02,014,2011-09-16
762,6287319,4241430,739,597,1.70E-04,2.81E-02,014,2011-09-16
313,3564044,2458768,424,352,1.72E-04,1.56E-02,014,2011-09-16
1023,4934296,1210769,553,177,1.07E-04,1.57E-02,014,2011-09-16
646,2493776,1707883,301,250,1.28E-04,1.22E-02,014,2011-09-16
266,6278466,187119,728,31,1.14E-04,1.01E-02,014,2011-09-16
70,5321613,149355,581,17,9.31E-05,6.29E-03,014,2011-09-16
469,6282704,3167678,757,473,9.63E-05,1.32E-02,014,2011-09-16
308,5897052,3961323,673,549,1.04E-04,2.23E-02,014,2011-09-16
425,6285488,3202031,616,420,1.09E-04,1.31E-02,014,2011-09-16
429,6290336,3678031,697,531,9.26E-05,1.36E-02,014,2011-09-16
885,6281053,3869867,734,561,9.34E-05,2.19E-02,014,2011-09-16
115,5402335,3480081,617,488,9.15E-05,1.34E-02,014,2011-09-16
1023,6285320,966762,719,148,1.05E-04,1.34E-02,014,2011-09-16
1020,3459410,1698901,390,248,9.40E-05,1.39E-02,014,2011-09-16
736,6288278,3879872,1360,948,1.70E-04,4.43E-02,014,2011-09-16
438,6287544,3350957,897,586,1.47E-04,1.76E-02,014,2011-09-16
46,6282397,2978439,783,444,1.54E-04,1.52E-02,014,2011-09-16
904,3162201,1671499,373,239,1.05E-04,1.39E-02,014,2011-09-16
289,6276426,3575950,736,543,1.61E-04,2.43E-02,014,2011-09-16
1017,6281062,4049060,793,602,1.18E-04,2.89E-02,014,2011-09-16
478,6280737,2747736,748,400,2.02E-04,1.37E-02,014,2011-09-16
667,3014342,2095900,422,343,1.69E-04,1.74E-02,014,2011-09-16
416,6279058,2840135,1701,817,2.46E-04,2.60E-02,014,2011-09-16
603,6288288,4265929,805,662,1.54E-04,2.92E-02,014,2011-09-16
439,4561959,3261551,586,497,9.33E-05,1.30E-02,014,2011-09-16
868,5650605,3785015,650,530,1.46E-04,2.05E-02,014,2011-09-16
462,6286761,4520364,750,635,1.32E-04,1.47E-02,014,2011-09-16
250,6290906,4180531,715,574,1.10E-04,2.81E-02,014,2011-09-16
941,6276392,4260909,754,623,1.07E-04,2.73E-02,014,2011-09-16
107,2959771,2295818,389,346,1.83E-04,9.63E-03,014,2011-09-16
411,6285888,4264185,787,651,1.28E-04,1.59E-02,014,2011-09-16
104,6288649,2907072,760,422,1.49E-04,1.37E-02,014,2011-09-16
442,3136386,2146773,367,301,1.20E-04,8.65E-03,014,2011-09-16
217,5801196,3583052,806,589,1.32E-04,2.72E-02,014,2011-09-16
359,2501744,1082894,3473,909,6.59E-04,7.23E-02,014,2011-09-16
321,2903123,904762,4535,836,1.44E-03,1.40E-01,014,2011-09-16
371,4369554,1338468,5545,1036,1.22E-03,1.97E-01,014,2011-09-16
639,2171392,963139,1797,651,7.92E-04,5.12E-02,014,2011-09-16
113,2872186,1729218,3316,1203,1.19E-03,5.58E-02,014,2011-09-16
414,5091149,2372989,4034,1241,7.23E-04,5.68E-02,014,2011-09-16
500,4112850,1641802,3937,1164,9.97E-04,5.22E-02,014,2011-09-16
113,2109887,0,1906,0,6.45E-04,1.58E-02,014,2011-09-16
414,2485058,918519,834,225,4.54E-04,1.03E-02,014,2011-09-16
936,6289152,3502987,1633,889,2.61E-04,4.19E-02,014,2011-09-16
403,2907056,2353152,806,611,2.63E-04,1.54E-02,014,2011-09-16
542,2526463,2461356,541,524,2.12E-04,2.14E-02,014,2011-09-16
542,2374201,719909,516,162,2.61E-04,1.18E-02,014,2011-09-16
740,2497353,1883117,556,420,2.26E-04,1.94E-02,014,2011-09-16
740,2779675,1092195,663,256,2.48E-04,1.60E-02,014,2011-09-16
685,6287971,3599925,1370,790,1.92E-04,5.69E-02,014,2011-09-16
445,5781837,2987837,6165,1324,3.63E-04,8.91E-02,014,2011-09-16
781,2145906,1051721,2660,843,9.91E-04,5.43E-02,014,2011-09-16
72,3450990,1513969,5050,1066,9.79E-04,1.23E-01,014,2011-09-16
365,5566532,2608694,6326,1510,9.68E-04,2.31E-01,014,2011-09-16
848,3761157,2217594,3522,1478,7.74E-04,1.35E-01,014,2011-09-16
848,6288759,3254366,2484,649,8.73E-04,5.44E-02,014,2011-09-16
525,6290845,4270839,747,615,2.49E-04,3.00E-02,014,2011-09-16
982,6288235,4330623,756,629,1.39E-04,3.61E-02,014,2011-09-16
49,3613146,2651696,517,445,1.74E-04,1.29E-02,014,2011-09-16
747,6288727,4388422,947,793,1.37E-04,3.57E-02,014,2011-09-16
578,2963937,2324857,435,388,1.52E-04,1.87E-02,014,2011-09-16
221,6280148,4457166,955,786,1.47E-04,3.62E-02,014,2011-09-16
720,6287417,4572207,898,745,2.01E-04,3.44E-02,014,2011-09-16
666,6283068,4566553,916,765,2.27E-04,3.46E-02,014,2011-09-16
283,6282402,4553860,979,783,1.76E-04,2.86E-02,014,2011-09-16
486,3410066,1415221,392,215,1.66E-04,8.68E-03,014,2011-09-16
794,2892887,2128395,418,362,1.39E-04,1.42E-02,014,2011-09-16
747,6285276,12933,948,2,1.74E-04,1.34E-02,014,2011-09-16
578,2980321,16384,436,1,1.41E-04,7.35E-03,014,2011-09-16
221,6280148,0,955,0,1.32E-04,1.33E-02,014,2011-09-16
720,6287417,0,898,0,1.38E-04,1.22E-02,014,2011-09-16
666,6283068,0,916,0,1.60E-04,2.26E-02,014,2011-09-16
283,6288162,281819,924,40,1.38E-04,1.27E-02,014,2011-09-16
637,4491024,3174510,538,451,2.60E-04,2.24E-02,014,2011-09-16
776,5150149,3615645,617,516,1.59E-04,1.95E-02,014,2011-09-16
7,2784500,1718179,355,257,1.34E-04,8.70E-03,014,2011-09-16
670,6276112,3747171,673,502,9.48E-05,2.53E-02,014,2011-09-16
113,6290430,3731095,669,505,1.01E-04,1.44E-02,014,2011-09-16
459,6281978,4192164,702,568,1.08E-04,1.46E-02,014,2011-09-16
643,3928548,2574355,455,369,9.88E-05,1.76E-02,014,2011-09-16
670,6276112,0,673,0,1.67E-04,1.00E-02,014,2011-09-16
113,6290430,0,669,0,9.05E-05,6.55E-03,014,2011-09-16
459,6281978,0,702,0,9.11E-05,6.72E-03,014,2011-09-16
643,4656315,1407425,733,338,9.77E-05,1.85E-02,014,2011-09-16
802,6275708,2412657,908,436,1.36E-04,2.22E-02,014,2011-09-16
293,3165521,799699,329,126,1.10E-04,9.52E-03,014,2011-09-16
224,2133000,1431163,342,271,1.48E-04,1.32E-02,014,2011-09-16
985,3151588,2285874,489,431,1.42E-04,2.01E-02,014,2011-09-16
985,6287329,1646177,925,300,1.56E-04,2.59E-02,014,2011-09-16
172,6282103,2452597,984,471,1.86E-04,2.56E-02,014,2011-09-16
70,6290024,2202262,946,431,1.63E-04,1.39E-02,014,2011-09-16
61,3095213,1539149,487,271,1.90E-04,1.06E-02,014,2011-09-16
691,2559320,1896231,370,322,2.84E-04,1.66E-02,014,2011-09-16
691,6280841,1620353,976,320,2.17E-04,2.35E-02,014,2011-09-16
5,6284370,3211730,1042,621,4.54E-04,1.92E-02,014,2011-09-16
1014,6284361,4289458,806,664,2.24E-04,3.22E-02,014,2011-09-16
46,3580622,2465080,431,358,2.81E-04,1.09E-02,014,2011-09-16
979,3931803,2698325,454,375,1.76E-04,1.81E-02,014,2011-09-16
462,6286761,0,750,0,2.16E-04,8.99E-03,014,2011-09-16
250,6290906,0,715,0,1.66E-04,1.12E-02,014,2011-09-16
941,6276392,0,754,0,2.06E-04,1.17E-02,014,2011-09-16
107,2959771,0,389,0,1.90E-04,5.68E-03,014,2011-09-16
411,6287188,484812,784,74,1.21E-04,9.27E-03,014,2011-09-16
369,5832523,2543673,972,483,1.78E-04,2.13E-02,014,2011-09-16
39,6290256,3191032,916,552,1.54E-04,1.71E-02,014,2011-09-16
490,6157020,3732855,800,603,1.54E-04,1.61E-02,014,2011-09-16
843,2514241,2303766,673,482,2.15E-04,1.76E-02,014,2011-09-16
843,6285045,2665765,812,366,1.72E-04,1.83E-02,014,2011-09-16
17,6291240,2904132,1113,564,1.61E-04,1.69E-02,014,2011-09-16
439,6290791,3345415,1236,689,2.02E-04,2.03E-02,014,2011-09-16
784,6291062,3215638,2116,956,2.23E-04,4.55E-02,014,2011-09-16
464,6290469,2215700,4208,1383,5.59E-04,5.80E-02,014,2011-09-16
79,6290477,2273147,2490,973,4.70E-04,3.58E-02,014,2011-09-16
782,2254540,788248,580,268,1.47E-04,1.37E-02,014,2011-09-16
98,2194009,900541,1563,618,1.05E-03,2.68E-02,014,2011-09-16
678,6288115,2386327,2351,981,9.29E-04,1.05E-01,014,2011-09-16
697,6288554,677933,626,83,1.68E-04,1.33E-02,014,2011-09-16
697,2728280,737264,294,103,9.19E-05,8.60E-03,014,2011-09-16
