run_name,duration,min_region_bytes,max_region_bytes,mean_region_bytes,std_region_bytes,overall_dedup,mean_domain_phys,std_domain_phys,min_domain_phys,max_domain_phys,mean_domain_logical,std_domain_logical,min_domain_logical,max_domain_logical,mean_pod_phys,std_pod_phys,min_pod_phys,max_pod_phys,mean_pod_logical,std_pod_logical,min_pod_logical,max_pod_logical,pod1 dedup,pod2 dedup,pod3 dedup,pod4 dedup,pod5 dedup,pod6 dedup,pod7 dedup,pod8 dedup
ex1-run85,12.3916907389959,195912,6291456,5627720.77299758,1231279.90426676,26.6,9699187516,nan,9699187516,9699187516,258351777526,nan,258351777526,258351777526,9699187516,nan,9699187516,9699187516,258351777526,nan,258351777526,258351777526,26.6,0,0,0,0,0,0,0
ex1-run86,12.0344647566477,195912,12582912,10287161.6439436,2921848.13459077,27.1,9536560620,nan,9536560620,9536560620,258351777526,nan,258351777526,258351777526,9536560620,nan,9536560620,9536560620,258351777526,nan,258351777526,258351777526,27.1,0,0,0,0,0,0,0
ex1-run87,12.4830567836761,195912,6291456,5627720.77299758,1231279.90426676,18.2,110717547.570313,24653031.4913883,57261123,189413051,2018373261.92187,1202761517.83634,628735830,7559291294,1771480761.125,125464337.348783,1602265745,1984182670,32293972190.75,3336609009.11781,27855306606,37808616115,18.7,16.2,20.3,19.1,17.3,17.5,16.6,20.3
ex1-run88,11.743191754818,195912,12582912,10287161.6439436,2921848.13459077,18.8,107081996.890625,29616959.6928723,51786861,190398584,2018373261.92187,1152368766.40257,398546436,6368579200,1713311950.25,99423702.5092935,1587698921,1874226029,32293972190.75,3088543254.83223,27083991938,36757152132,19.2,15.6,19.6,18.9,19.5,20.2,17.7,20.1
ex1-run89,12.3786049485207,195912,6291456,5627720.77299758,1231279.90426676,18.2,55565309.8984375,16404658.2385353,22254807,115538807,1009186630.96094,769342347.226044,185394418,4826068452,1778089916.75,117751010.309027,1573142227,1920769737,32293972190.75,3975048214.72045,28153068548,39625067150,18.4,18,18.2,18.9,16.1,21.1,16.4,17.9
ex1-run90,11.6701961239179,195912,12582912,10287161.6439436,2921848.13459077,18.8,53724164.8476563,21539601.4474031,8972071,136706407,1009186630.96094,790506750.808343,88999930,4978861352,1719173275.125,156473292.151124,1492446180,1884452963,32293972190.75,3815687165.21848,25497086623,36197599162,18.8,18.8,20,19.9,15.7,19.5,19.5,18
ex1-run91,12.3338518619537,195912,6291456,5627720.77299758,1231279.90426676,18.1,14129810.6015857,7978268.20471528,171383,74878416,256047351.363726,375559065.915452,2426456,3014324569,1782122362.125,117257800.674799,1625900322,1936497823,32293972190.75,4458461816.84814,26690386034,38438451796,15.5,16.9,19.9,17.6,19.8,16.3,17.8,20.9
ex1-run92,11.4284360011419,195912,12582912,10287161.6439436,2921848.13459077,18.7,14880858.7227616,10362754.7622431,16384,76326137,278696631.635383,405327367.497645,391824,3233631156,1724319504.5,142072890.534428,1530953300,2009667406,32293972190.75,5163190803.70697,26296091732,40394291840,15.9,18.9,21.4,17.1,20.1,16,19.5,20.6
ex1-run93,12.529240389665,195912,6291456,5627720.77299758,1231279.90426676,19.2,104903824.84375,33076651.5987621,62353278,375702008,2018373261.92187,2368418861.64302,601844789,17137386615,1678461197.5,138329176.762802,1493853254,1975661537,32293972190.75,9842390469.17976,22597373192,49893279521,15.1,15.1,24.1,25.3,24.4,17.4,14.7,16.4
ex1-run94,11.9572339177132,195912,12582912,10287161.6439436,2921848.13459077,19.4,104055285.476563,39369315.7145795,44991446,388997443,2018373261.92187,2315558370.96869,594187253,16639704303,1664884567.625,183913715.627893,1478390690,2062981389,32293972190.75,9923146180.8974,21996194149,50928212226,14.9,14.9,25.1,24.7,25.1,18.5,16.1,15.1
ex1-run95,12.1803722818693,195912,6291456,5627720.77299758,1231279.90426676,19.2,52567141.6914063,23918371.8755001,13946477,341513494,1009186630.96094,1683752050.39989,174454624,16534937136,1682148534.125,131590011.692147,1483784920,1959444590,32293972190.75,11178179873.0815,21954394431,54345082916,15.4,21,25.2,14.8,14.8,27.7,16.3,16.2
ex1-run96,11.5812369187673,195912,12582912,10287161.6439436,2921848.13459077,19.3,52178446.4296875,28291173.9043078,4464036,362562388,1009186630.96094,1656685406.96107,131909841,16142775844,1669710285.75,149880771.673912,1571785332,2023338011,32293972190.75,11110014840.7058,23651733274,54646355627,14.6,22,26.5,14.7,15,27,17,16.3
ex1-run97,12.3636097153028,195912,6291456,5627720.77299758,1231279.90426676,19.1,13493347.826,12143174.4099325,125730,309366325,258351777.526,858195225.543419,2168726,15872091811,1686668478.25,158402189.713499,1497378267,1998352861,32293972190.75,7169380911.48937,24901731590,42794686374,16.1,15,23.3,25.9,21.4,17,15.3,19.5
ex1-run98,11.3860260526339,195912,12582912,10287161.6439436,2921848.13459077,19.3,14625381.5125409,14418988.3167228,16384,335132991,281735853.354417,876799777.069189,4604110,15669521083,1676434355.875,156052970.746911,1527985214,2002750783,32293972190.75,7022832123.70813,24297999457,43407915283,15.3,15.4,24.6,24.6,20.6,17.8,15.9,20
ex1-run99,12.6607249935468,195912,6291456,5627720.77299758,1231279.90426676,19.5,103619847.351563,21025636.4222783,48338552,179005955,2018373261.92187,2264049160.86429,644491733,17608796508,1657917557.625,86300934.1881476,1469655950,1732621098,32293972190.75,6251583612.53617,25428643481,39986809205,26.2,15.8,15.5,23.3,15.8,16.7,20.7,22.5
ex1-run100,11.4168040712674,195912,12582912,10287161.6439436,2921848.13459077,19.7,102401594.140625,29120488.0744931,40252509,189048223,2018373261.92187,2256269862.56336,657990103,17221668551,1638425506.25,172420384.435008,1426793461,1856323619,32293972190.75,6079905458.72758,25033673704,39712716053,27.4,15.8,16,22.9,17.2,17.7,20.2,21.5
ex1-run101,12.4308442989985,195912,6291456,5627720.77299758,1231279.90426676,19.4,51958658.9921875,15472039.7055816,12813539,123697007,1009186630.96094,1601246366.64788,200318609,16108322264,1662677087.75,64289205.3172143,1581442954,1746904010,32293972190.75,6913269981.04162,24967960769,40952046772,25.1,22.3,16.3,19.7,15.8,16.3,16,23.4
ex1-run102,11.7124486446381,195912,12582912,10287161.6439436,2921848.13459077,19.7,51297041.3164063,21789056.7807777,13529893,132053898,1009186630.96094,1607924060.66465,192022638,15907644036,1641505322.125,198304705.520738,1275728798,1961915272,32293972190.75,8323662755.70482,22495062187,43131144363,25.6,21.4,17.3,17.5,16.2,16.8,17.6,23.7
ex1-run103,12.276942718029,195912,6291456,5627720.77299758,1231279.90426676,19.4,13226780.594246,7936082.00205815,16384,87120057,256301366.593254,812275016.616759,2168726,15633565154,1666574354.875,102857771.956677,1508308035,1797039327,32293972190.75,10941029734.2782,23810535391,55693392783,14.8,16.6,19.6,16.1,32.4,23,15.7,15.8
ex1-run104,11.5653263012568,195912,12582912,10287161.6439436,2921848.13459077,19.6,14342955.7331155,10341605.9884993,16384,84013320,281428951.553377,840285671.62395,4398371,15323939615,1645854170.375,94004101.664711,1530625773,1794734294,32293972190.75,10484956380.481,24530945365,55779856004,15.1,17.6,18.9,15.8,31.1,24.7,15.6,17.2
ex1-run105,12.8029054284096,195912,6291456,5627720.77299758,1231279.90426676,17.2,117077146.132813,24999627.0055824,63768535,189413051,2018373261.92187,1195213303.53523,647582946,7543809306,1873234338.125,117437061.976355,1705312337,2067280847,32293972190.75,3293405337.35637,27887984793,37695455028,17.4,15.5,19.2,18.2,16.6,16.3,15.7,19.1
ex1-run106,11.9111120621363,195912,12582912,10287161.6439436,2921848.13459077,17.6,114777494.0625,32214414.4142641,22616884,215744443,2018373261.92187,1195914707.29472,51034559,6352138384,1836439905,88211383.234938,1730894629,1972688865,32293972190.75,3286200303.43582,27148921579,36643279398,17.9,14.6,18.6,17.8,18.1,18.8,16.1,18.8
ex1-run107,12.445506910483,195912,6291456,5627720.77299758,1231279.90426676,17,59265450.5859375,17195129.6568913,23757632,127066658,1009186630.96094,752205912.425195,197964882,4509551042,1896494418.75,119726298.430448,1665667238,2046924716,32293972190.75,3895099125.31924,28260990689,39528648450,17.4,16.9,16.7,17.8,15,20,15.2,17
ex1-run108,11.9573995113373,195912,12582912,10287161.6439436,2921848.13459077,17.7,56923268.1289062,21718792.5176165,8988455,136706407,1009186630.96094,783253571.467158,107137688,4953706794,1821544580.125,161372220.797537,1591289386,2005637180,32293972190.75,3758971121.91389,25580133028,36202951763,17.7,18,19.1,18.4,14.8,18.1,18.7,17
ex1-run109,12.7159775137901,195912,6291456,5627720.77299758,1231279.90426676,17,14941200.1543756,8250564.76569768,16384,78676057,254033212.906588,372376897.023409,2426456,2992501057,1899400069.625,117527180.579918,1721169678,2046529414,32293972190.75,3851013354.14831,28633794531,38384560340,15.6,15.9,17.6,16.6,18.8,15.2,16.7,19.5
ex1-run110,11.654660431544,195912,12582912,10287161.6439436,2921848.13459077,17.5,15645976.8527542,10583382.3466102,85124,79472111,273677730.430085,399897820.991753,391824,3215648909,1846225268.625,155067394.962159,1632291693,2167636046,32293972190.75,5163240251.16746,26283077683,40412394695,14.9,17.9,20.2,15.5,18.6,14.9,18.3,19.4
