,,,,,,,,,SIMULATOR_DOMAINS:32
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex2-run141
,,,,,,,,,SIMULATOR_MAIN_D:540
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:MIN_FINGERPRINT
,,,,,,,,,SIMULATOR_REGION_ALGO:TTTD
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.2.190,10.131.3.242,10.131.3.243,10.129.2.191,10.129.4.62,10.131.3.244,10.128.5.150,10.128.5.151
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:270
,,,,,,,,,START_TIME:1638777367.8904603
,,,,,,,,,STOP_TIME:1638777657.3235710
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
226,3626618,2123494,508,383,2.43E-04,2.26E-02,018,2011-09-16
191,6290086,3890646,708,549,9.40E-05,2.62E-02,018,2011-09-16
137,4391617,2684934,490,383,1.75E-04,1.48E-02,018,2011-09-16
32,4064609,2496391,433,333,1.22E-04,1.58E-02,018,2011-09-16
225,6278929,3739070,659,496,9.30E-05,2.54E-02,018,2011-09-16
220,3742857,2316127,394,305,8.83E-05,1.78E-02,018,2011-09-16
45,4741382,2821841,508,384,9.57E-05,1.59E-02,018,2011-09-16
98,4963479,2933836,542,412,8.88E-05,2.38E-02,018,2011-09-16
101,6276368,3642762,667,488,1.17E-04,2.52E-02,018,2011-09-16
1,5563551,3624306,733,571,9.94E-05,2.97E-02,018,2011-09-16
72,3609194,2432805,396,323,1.23E-04,1.57E-02,018,2011-09-16
178,5394145,3706335,618,509,2.16E-04,2.03E-02,018,2011-09-16
180,6283946,3927002,683,532,1.67E-04,2.18E-02,018,2011-09-16
197,4476698,3087213,509,422,2.01E-04,2.02E-02,018,2011-09-16
44,4750740,3208520,529,431,1.71E-04,1.71E-02,018,2011-09-16
178,5394145,0,618,0,1.76E-04,7.99E-03,018,2011-09-16
180,3552072,1296882,426,215,1.44E-04,1.07E-02,018,2011-09-16
250,3594766,2512582,437,359,1.56E-04,1.73E-02,018,2011-09-16
119,4342989,2953032,498,411,1.11E-04,1.96E-02,018,2011-09-16
198,2325527,1569426,274,224,1.58E-04,1.18E-02,018,2011-09-16
10,2390793,540431,263,76,1.85E-04,7.71E-03,018,2011-09-16
205,5115016,2635659,609,391,1.58E-04,1.99E-02,018,2011-09-16
6,2488292,1103276,283,152,1.88E-04,9.72E-03,018,2011-09-16
122,2412286,1250934,266,168,1.23E-04,9.90E-03,018,2011-09-16
110,2332969,1326754,274,195,1.47E-04,1.04E-02,018,2011-09-16
10,2594180,1260170,288,164,1.23E-04,9.83E-03,018,2011-09-16
40,2312507,1122327,252,151,1.65E-04,8.24E-03,018,2011-09-16
237,3871775,2566178,457,372,1.23E-04,1.76E-02,018,2011-09-16
66,6288532,4305334,738,610,1.44E-04,2.24E-02,018,2011-09-16
