,,,,,,,,,SIMULATOR_DOMAINS:32
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex2-run146
,,,,,,,,,SIMULATOR_MAIN_D:540
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:MAX_FINGERPRINT
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_REGION_ALGO:TTTD
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.2.201,10.128.5.159,10.128.5.160,10.131.2.7,10.129.4.72,10.129.2.203,10.131.2.9,10.131.2.6
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:270
,,,,,,,,,START_TIME:1638778842.0675175
,,,,,,,,,STOP_TIME:1638779118.8732927
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
153,12580470,7335986,1517,1123,2.63E-04,3.28E-02,018,2011-09-16
7,5792460,3577925,622,481,9.67E-05,2.67E-02,018,2011-09-16
213,10021786,5997399,1053,791,1.01E-04,3.23E-02,018,2011-09-16
219,4741382,2821841,508,384,1.17E-04,1.55E-02,018,2011-09-16
170,4963479,2933836,542,412,1.22E-04,2.30E-02,018,2011-09-16
108,11839919,7134431,1400,1039,1.43E-04,4.36E-02,018,2011-09-16
247,9003339,6022223,1014,815,9.22E-05,3.69E-02,018,2011-09-16
189,10760644,6876254,1192,931,1.05E-04,4.27E-02,018,2011-09-16
225,4750740,3208520,529,431,1.25E-04,1.66E-02,018,2011-09-16
244,5394145,3706335,618,509,9.88E-05,1.80E-02,018,2011-09-16
189,7146838,3768177,863,566,8.63E-05,2.70E-02,018,2011-09-16
6,4342989,2953032,498,411,9.45E-05,2.03E-02,018,2011-09-16
200,4303299,2016781,491,285,9.35E-05,1.28E-02,018,2011-09-16
108,5528037,2687722,655,399,1.14E-04,1.72E-02,018,2011-09-16
145,4435115,1998147,500,275,1.08E-04,9.64E-03,018,2011-09-16
161,4475086,2225691,506,309,1.30E-04,1.62E-02,018,2011-09-16
9,4510633,2243747,511,314,1.05E-04,1.65E-02,018,2011-09-16
61,12570904,8285596,1454,1157,1.13E-04,5.43E-02,018,2011-09-16
26,4617186,2091754,433,276,1.17E-04,1.61E-02,018,2011-09-16
83,5422815,3113962,605,460,1.25E-04,2.29E-02,018,2011-09-16
209,4492392,2735805,538,408,1.40E-04,1.65E-02,018,2011-09-16
128,4210239,2622606,463,359,9.23E-05,1.11E-02,018,2011-09-16
21,7994564,4915783,1316,949,1.24E-04,4.37E-02,018,2011-09-16
233,4367895,2010931,729,454,1.63E-04,1.83E-02,018,2011-09-16
11,5458579,3099713,706,492,2.44E-04,2.45E-02,018,2011-09-16
154,10896953,6633814,1225,930,1.02E-04,2.40E-02,018,2011-09-16
197,4430163,2843005,480,380,1.30E-04,1.43E-02,018,2011-09-16
13,12576254,1641630,901,223,1.03E-04,2.94E-02,018,2011-09-16
219,5672631,2171659,546,315,7.29E-05,1.64E-02,018,2011-09-16
138,4976790,1946946,476,269,9.75E-05,1.06E-02,018,2011-09-16
211,12582373,6133315,1371,920,9.64E-05,3.63E-02,018,2011-09-16
99,8162592,4702410,899,669,8.51E-05,2.60E-02,018,2011-09-16
143,8854577,5098277,938,697,9.26E-05,1.81E-02,018,2011-09-16
53,8785085,5182789,932,695,8.07E-05,3.40E-02,018,2011-09-16
