,,,,,,,,,SIMULATOR_DOMAINS:32
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex2-run152
,,,,,,,,,SIMULATOR_MAIN_D:-
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:Q_LEARNING
,,,,,,,,,SIMULATOR_REGION_ALGO:AE
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.2.218,10.131.2.36,10.131.2.37,10.129.2.219,10.129.4.83,10.128.5.169,10.128.5.170,10.131.2.35
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:-
,,,,,,,,,START_TIME:1638783167.7348418
,,,,,,,,,STOP_TIME:1638783433.3112025
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
251,7340902,4068697,897,654,4.38E-04,3.17E-02,018,2011-09-16
51,7344662,4739837,849,673,2.58E-04,2.72E-02,018,2011-09-16
14,7344502,4361463,773,575,2.31E-04,3.21E-02,018,2011-09-16
84,7353038,4463087,783,598,2.70E-04,2.48E-02,018,2011-09-16
142,7344227,4378753,786,591,2.15E-04,2.27E-02,018,2011-09-16
183,7347812,4100911,786,560,2.77E-04,3.32E-02,018,2011-09-16
159,7355216,4819340,925,721,2.65E-04,2.19E-02,018,2011-09-16
63,7341764,5035045,839,688,1.99E-04,2.62E-02,018,2011-09-16
27,7340805,4631614,807,629,2.00E-04,2.95E-02,018,2011-09-16
145,7343032,4905087,820,659,1.98E-04,1.96E-02,018,2011-09-16
37,7343454,4833044,821,658,2.07E-04,2.29E-02,018,2011-09-16
180,7347259,4927293,895,716,3.36E-04,3.22E-02,018,2011-09-16
0,7344530,4091050,851,581,2.11E-04,3.20E-02,018,2011-09-16
177,7353530,3245631,865,485,2.02E-04,2.49E-02,018,2011-09-16
70,7344361,3426167,822,468,2.17E-04,2.02E-02,018,2011-09-16
178,7346708,4252932,853,610,1.94E-04,2.83E-02,018,2011-09-16
159,7354883,4971517,851,695,1.94E-04,2.14E-02,018,2011-09-16
213,7350855,3835162,734,510,2.01E-04,2.87E-02,018,2011-09-16
43,7351505,4426575,860,662,1.97E-04,2.60E-02,018,2011-09-16
211,7350568,4309367,823,606,2.14E-04,3.11E-02,018,2011-09-16
44,7342558,4575692,1255,906,2.01E-04,3.48E-02,018,2011-09-16
55,7343805,3563549,1123,709,4.12E-04,3.05E-02,018,2011-09-16
131,7349098,4571388,843,656,2.51E-04,1.94E-02,018,2011-09-16
86,7354758,4628336,815,633,2.32E-04,2.43E-02,018,2011-09-16
131,7354673,2721293,664,376,2.37E-04,1.65E-02,018,2011-09-16
110,7347376,491358,481,54,2.09E-04,1.96E-02,018,2011-09-16
27,7350251,2793447,705,400,2.17E-04,2.59E-02,018,2011-09-16
24,7342982,3076872,753,468,1.95E-04,4.16E-02,018,2011-09-16
153,7346668,3477768,792,519,2.58E-04,1.98E-02,018,2011-09-16
146,7345252,4106018,803,588,2.03E-04,1.99E-02,018,2011-09-16
204,7353523,4050545,773,557,2.10E-04,2.92E-02,018,2011-09-16
67,7353152,4562703,785,604,3.19E-04,2.35E-02,018,2011-09-16
33,7343546,4111727,819,563,2.19E-04,2.40E-02,018,2011-09-16
244,7342102,4562517,848,633,2.87E-04,2.56E-02,018,2011-09-16
48,7348949,2754639,744,438,2.32E-04,2.26E-02,018,2011-09-16
168,7341332,4651642,799,627,2.02E-04,3.00E-02,018,2011-09-16
182,7352929,4092133,769,558,2.02E-04,3.13E-02,018,2011-09-16
21,7340773,4691159,816,643,2.11E-04,3.01E-02,018,2011-09-16
111,7340425,4802952,817,650,2.04E-04,3.28E-02,018,2011-09-16
143,7349156,4278377,787,585,2.23E-04,1.87E-02,018,2011-09-16
176,7345810,4465098,787,602,2.26E-04,2.96E-02,018,2011-09-16
87,7347228,4988315,1351,961,2.37E-04,3.61E-02,018,2011-09-16
99,7340323,4270515,1628,972,2.52E-04,5.62E-02,018,2011-09-16
195,7344640,3658362,851,602,2.11E-04,3.14E-02,018,2011-09-16
22,7349278,4129648,1384,980,2.92E-04,4.81E-02,018,2011-09-16
252,7342775,4732775,1186,788,3.91E-04,4.64E-02,018,2011-09-16
12,7341316,4619334,1107,761,2.92E-04,4.04E-02,018,2011-09-16
20,7355278,1860504,702,308,3.24E-04,2.58E-02,018,2011-09-16
122,7356332,854798,555,106,2.23E-04,3.40E-02,018,2011-09-16
126,7343185,389261,491,50,2.24E-04,2.23E-02,018,2011-09-16
212,7347829,701493,565,100,2.41E-04,2.14E-02,018,2011-09-16
14,7343939,905323,694,174,1.87E-04,2.48E-02,018,2011-09-16
30,7342591,436009,531,55,1.87E-04,2.14E-02,018,2011-09-16
29,7347920,1372511,541,173,2.38E-04,2.13E-02,018,2011-09-16
