,,,,,,,,,SIMULATOR_DOMAINS:128
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex2-run40
,,,,,,,,,SIMULATOR_MAIN_D:-
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:Q_LEARNING
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_REGION_ALGO:AE
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.131.3.149,10.128.5.95,10.129.2.122,10.128.5.94,10.131.3.148,10.129.5.229,10.129.2.121,10.129.5.230
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:-
,,,,,,,,,START_TIME:1638765390.0925581
,,,,,,,,,STOP_TIME:1638765653.4549766
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
1019,7340902,4068697,897,654,4.06E-04,2.62E-02,018,2011-09-16
563,7344662,4739837,849,673,3.50E-04,3.12E-02,018,2011-09-16
526,7344502,4361463,773,575,3.84E-04,2.53E-02,018,2011-09-16
852,7353038,4463087,783,598,3.09E-04,3.33E-02,018,2011-09-16
398,7344227,4378753,786,591,1.85E-04,3.36E-02,018,2011-09-16
951,7347812,4100911,786,560,3.10E-04,2.44E-02,018,2011-09-16
415,7355216,4819340,925,721,1.73E-04,3.35E-02,018,2011-09-16
319,7341764,5035045,839,688,2.66E-04,3.41E-02,018,2011-09-16
795,7340805,4631614,807,629,3.40E-04,3.10E-02,018,2011-09-16
145,7343032,4905087,820,659,1.96E-04,3.35E-02,018,2011-09-16
293,7343454,4833044,821,658,3.42E-04,2.94E-02,018,2011-09-16
692,7347259,4927293,895,716,1.98E-04,2.31E-02,018,2011-09-16
768,7344530,4091050,851,581,2.25E-04,2.87E-02,018,2011-09-16
177,7353530,3245631,865,485,3.37E-04,2.60E-02,018,2011-09-16
326,7344361,3426167,822,468,3.21E-04,2.38E-02,018,2011-09-16
946,7346708,4252932,853,610,2.35E-04,2.00E-02,018,2011-09-16
671,7354883,4971517,851,695,2.29E-04,2.20E-02,018,2011-09-16
