,,,,,,,,,SIMULATOR_DOMAINS:16
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex2-run43
,,,,,,,,,SIMULATOR_MAIN_D:-
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:FIRST_FINGERPRINT_7
,,,,,,,,,SIMULATOR_REGION_ALGO:AE
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.2.128,10.128.5.101,10.131.3.155,10.129.5.235,10.128.5.100,10.129.2.127,10.129.5.234,10.131.3.156
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:-
,,,,,,,,,START_TIME:1638766419.3020546
,,,,,,,,,STOP_TIME:1638766669.9199150
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
123,5243633,3039229,687,516,8.66E-06,3.40E-02,018,2011-09-16
65,5251234,3418938,608,484,8.33E-06,2.60E-02,018,2011-09-16
108,5255248,3076098,550,413,7.03E-06,1.77E-02,018,2011-09-16
81,5251473,3160821,566,426,4.45E-06,2.39E-02,018,2011-09-16
81,5253581,3088376,553,416,5.28E-06,2.09E-02,018,2011-09-16
52,5243919,3285332,561,435,5.29E-06,1.58E-02,018,2011-09-16
48,5249254,3108262,564,427,3.93E-06,1.28E-02,018,2011-09-16
105,5251470,2929657,564,402,4.53E-06,1.42E-02,018,2011-09-16
119,5249827,3258358,594,451,3.95E-06,1.74E-02,018,2011-09-16
7,5244440,3537675,671,549,4.26E-06,2.68E-02,018,2011-09-16
107,5252743,3666787,610,508,4.06E-06,1.69E-02,018,2011-09-16
67,5256893,3185425,552,419,4.66E-06,2.07E-02,018,2011-09-16
11,5248817,3632337,607,503,4.16E-06,2.26E-02,018,2011-09-16
48,5244379,3560499,582,473,3.64E-06,1.44E-02,018,2011-09-16
11,5246966,1575150,612,189,3.68E-06,1.42E-02,018,2011-09-16
30,5244680,3311862,610,481,4.74E-06,2.47E-02,018,2011-09-16
15,5243810,3611098,617,504,4.07E-06,2.26E-02,018,2011-09-16
78,5244419,3119227,608,443,4.25E-06,2.13E-02,018,2011-09-16
116,5246997,2087615,605,303,3.67E-06,1.35E-02,018,2011-09-16
120,5245667,2579426,617,374,3.86E-06,1.51E-02,018,2011-09-16
42,5253753,2479596,587,343,4.17E-06,1.83E-02,018,2011-09-16
56,5244553,2869724,589,397,7.12E-06,1.35E-02,018,2011-09-16
106,5246275,3634437,634,528,4.44E-06,1.67E-02,018,2011-09-16
66,5244442,3495673,587,478,9.90E-06,2.17E-02,018,2011-09-16
28,5247777,2544595,510,341,4.32E-06,1.84E-02,018,2011-09-16
71,5248516,2961491,581,437,4.08E-06,2.04E-02,018,2011-09-16
59,5245055,3210364,627,478,3.62E-06,1.46E-02,018,2011-09-16
46,5252536,3261484,594,453,5.46E-06,1.89E-02,018,2011-09-16
38,5246222,3055693,744,520,3.92E-06,2.14E-02,018,2011-09-16
24,5245930,2849975,1082,736,5.10E-06,3.58E-02,018,2011-09-16
51,5247845,2916271,681,468,9.83E-06,1.62E-02,018,2011-09-16
100,5251313,3347130,613,484,5.84E-06,3.01E-02,018,2011-09-16
18,5250886,3257372,575,444,6.26E-06,2.26E-02,018,2011-09-16
82,5247343,3281051,566,439,7.93E-06,2.32E-02,018,2011-09-16
88,5252796,1352388,432,192,3.67E-06,1.74E-02,018,2011-09-16
67,5248409,436789,345,48,3.99E-06,1.43E-02,018,2011-09-16
107,5258979,483462,358,61,3.73E-06,9.72E-03,018,2011-09-16
55,5258277,2758270,572,390,3.94E-06,1.41E-02,018,2011-09-16
52,5243005,2473325,571,384,4.09E-06,1.33E-02,018,2011-09-16
101,5257309,2131609,532,312,4.19E-06,1.40E-02,018,2011-09-16
23,5247832,2883261,583,428,4.12E-06,2.29E-02,018,2011-09-16
3,5247734,2978881,583,434,4.98E-06,2.29E-02,018,2011-09-16
15,5251883,2764031,539,378,7.38E-06,2.04E-02,018,2011-09-16
34,5245031,3355810,570,451,3.96E-06,1.70E-02,018,2011-09-16
103,5252187,3047398,547,407,4.11E-06,1.43E-02,018,2011-09-16
85,5252064,3243657,589,444,3.88E-06,2.10E-02,018,2011-09-16
63,5248213,3044571,621,433,5.00E-06,1.41E-02,018,2011-09-16
42,5250214,3248227,626,468,4.16E-06,1.71E-02,018,2011-09-16
87,5251810,1458946,483,239,4.16E-06,1.82E-02,018,2011-09-16
74,5243271,3348090,565,446,4.10E-06,2.17E-02,018,2011-09-16
127,5254332,3482014,587,474,1.25E-05,1.74E-02,018,2011-09-16
7,5248394,2812652,541,386,4.12E-06,2.05E-02,018,2011-09-16
106,5254253,3291356,565,441,4.02E-06,1.37E-02,018,2011-09-16
67,5253963,3334198,574,451,5.13E-06,2.16E-02,018,2011-09-16
36,5250136,3514355,599,487,4.42E-06,1.80E-02,018,2011-09-16
64,5249184,3076895,554,414,4.16E-06,2.18E-02,018,2011-09-16
7,5258018,3321970,581,457,4.28E-06,2.28E-02,018,2011-09-16
31,5244611,2984689,539,398,4.56E-06,2.16E-02,018,2011-09-16
115,5244771,4155573,1466,932,4.01E-06,3.57E-02,018,2011-09-16
52,5249768,2909270,1090,688,7.68E-06,2.43E-02,018,2011-09-16
86,5252750,2127512,528,330,8.38E-06,2.07E-02,018,2011-09-16
25,5258844,3426912,1031,790,3.99E-06,3.80E-02,018,2011-09-16
123,5250761,2706354,777,550,4.13E-06,2.20E-02,018,2011-09-16
36,5253676,3421668,833,561,4.69E-06,2.33E-02,018,2011-09-16
115,5243097,3425701,836,580,4.61E-06,2.52E-02,018,2011-09-16
14,5253028,2885911,789,530,4.50E-06,2.75E-02,018,2011-09-16
106,5246921,1009033,426,142,7.47E-06,1.23E-02,018,2011-09-16
18,5257629,1057018,425,133,4.17E-06,1.70E-02,018,2011-09-16
86,5247578,261984,356,31,4.48E-06,1.49E-02,018,2011-09-16
6,5244729,371603,365,51,3.90E-06,1.44E-02,018,2011-09-16
67,5246678,531834,417,79,4.18E-06,1.66E-02,018,2011-09-16
127,5251350,667737,510,136,3.94E-06,1.49E-02,018,2011-09-16
113,5254724,531476,403,81,3.74E-06,1.22E-02,018,2011-09-16
127,5245177,297186,385,40,3.63E-06,1.09E-02,018,2011-09-16
32,5244862,255678,334,27,3.69E-06,1.19E-02,018,2011-09-16
118,5246836,1267767,431,165,3.66E-06,1.53E-02,018,2011-09-16
108,5256243,612553,421,91,3.76E-06,1.11E-02,018,2011-09-16
9,5245638,819964,525,164,3.83E-06,1.90E-02,018,2011-09-16
77,5251486,376227,379,46,4.09E-06,1.51E-02,018,2011-09-16
15,5247956,283604,332,29,3.85E-06,1.29E-02,018,2011-09-16
76,5250730,826123,445,118,3.74E-06,1.69E-02,018,2011-09-16
82,5254440,343102,358,41,4.53E-06,1.54E-02,018,2011-09-16
94,5243764,309470,347,41,4.94E-06,1.36E-02,018,2011-09-16
38,5253130,349764,378,41,3.84E-06,1.32E-02,018,2011-09-16
95,5257582,268056,340,33,3.96E-06,1.32E-02,018,2011-09-16
94,2512526,958030,309,197,3.89E-06,1.20E-02,018,2011-09-16
30,5247234,3090126,697,525,7.86E-06,2.79E-02,018,2011-09-17
92,5244279,2826812,541,384,4.07E-06,2.24E-02,018,2011-09-17
1,5256645,3754219,635,532,4.25E-06,2.45E-02,018,2011-09-17
92,5247614,3109611,543,409,4.26E-06,2.07E-02,018,2011-09-17
57,5255202,3039635,558,416,3.55E-06,1.44E-02,018,2011-09-17
28,5248716,3066891,556,417,3.95E-06,2.17E-02,018,2011-09-17
100,5244084,3390941,576,455,5.10E-06,1.40E-02,018,2011-09-17
24,5254800,3183447,565,432,4.38E-06,2.20E-02,018,2011-09-17
73,5243297,3072288,563,412,4.07E-06,2.20E-02,018,2011-09-17
102,5245398,3264368,626,472,3.72E-06,1.58E-02,018,2011-09-17
99,5245050,3524874,648,531,3.65E-06,1.46E-02,018,2011-09-17
49,5254558,3702566,607,508,4.30E-06,1.49E-02,018,2011-09-17
29,5256707,3153512,551,419,4.22E-06,2.13E-02,018,2011-09-17
94,5249838,3729203,615,517,3.76E-06,2.34E-02,018,2011-09-17
91,5246277,3448922,575,460,3.81E-06,2.15E-02,018,2011-09-17
13,5245278,3676902,604,504,3.85E-06,2.35E-02,018,2011-09-17
62,5245113,3314278,621,493,3.91E-06,1.60E-02,018,2011-09-17
48,5243715,3568541,612,497,4.68E-06,1.49E-02,018,2011-09-17
30,5249964,2816517,608,402,3.98E-06,2.10E-02,018,2011-09-17
127,5256567,2442634,608,350,4.62E-06,1.64E-02,018,2011-09-17
122,5246027,2319426,606,336,3.78E-06,1.52E-02,018,2011-09-17
115,5250055,2675721,596,370,4.08E-06,1.58E-02,018,2011-09-17
127,5251465,2633075,578,365,4.36E-06,1.54E-02,018,2011-09-17
97,5247404,3750024,644,547,4.24E-06,1.52E-02,018,2011-09-17
35,5258648,3477262,590,475,4.03E-06,1.87E-02,018,2011-09-17
111,5256151,2484608,511,338,4.17E-06,1.12E-02,018,2011-09-17
125,5243561,3073144,582,445,3.84E-06,1.61E-02,018,2011-09-17
11,5252653,3156966,614,463,4.00E-06,2.64E-02,018,2011-09-17
83,5252475,3190970,607,453,3.55E-06,2.21E-02,018,2011-09-17
41,5244096,3226962,820,596,4.95E-06,2.21E-02,018,2011-09-17
5,5245311,2742917,1001,667,4.43E-06,3.25E-02,018,2011-09-17
64,5248579,2915899,682,472,4.53E-06,2.48E-02,018,2011-09-17
5,5253439,3224278,601,463,4.18E-06,2.30E-02,018,2011-09-17
53,5244250,3304387,584,456,4.23E-06,1.45E-02,018,2011-09-17
114,5244480,3280584,560,434,4.27E-06,1.87E-02,018,2011-09-17
111,5245796,1034092,410,151,3.99E-06,1.23E-02,018,2011-09-17
41,5251087,426582,348,47,3.79E-06,1.23E-02,018,2011-09-17
58,5248547,955194,418,148,3.60E-06,1.04E-02,018,2011-09-17
87,5251873,2429854,529,330,3.79E-06,1.96E-02,018,2011-09-17
