,,,,,,,,,SIMULATOR_DOMAINS:128
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex2-run46
,,,,,,,,,SIMULATOR_MAIN_D:540
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:FIRST_FINGERPRINT_7
,,,,,,,,,SIMULATOR_REGION_ALGO:TTTD
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.131.3.163,10.131.3.164,10.129.2.134,10.129.5.240,10.129.2.133,10.128.5.105,10.129.5.239,10.131.3.165
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:270
,,,,,,,,,START_TIME:1638767374.3382666
,,,,,,,,,STOP_TIME:1638767650.1631827
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
1019,12580470,7335986,1517,1123,1.06E-05,6.51E-02,018,2011-09-16
426,5792460,3577925,622,481,8.58E-06,1.88E-02,018,2011-09-16
884,10021786,5997399,1053,791,6.57E-06,3.57E-02,018,2011-09-16
975,4741382,2821841,508,384,5.23E-06,1.67E-02,018,2011-09-16
586,4963479,2933836,542,412,4.02E-06,2.34E-02,018,2011-09-16
677,11839919,7134431,1400,1039,6.59E-06,5.20E-02,018,2011-09-16
178,9003339,6022223,1014,815,8.52E-06,3.27E-02,018,2011-09-16
976,10760644,6876254,1192,931,8.47E-06,3.60E-02,018,2011-09-16
976,4750740,1802265,529,226,5.38E-06,1.22E-02,018,2011-09-16
306,5394145,3706335,618,509,4.45E-06,2.66E-02,018,2011-09-16
976,7146838,3768141,863,565,4.88E-06,2.33E-02,018,2011-09-16
82,4342989,2953032,498,411,6.38E-06,1.80E-02,018,2011-09-16
884,4303299,2016781,491,285,3.94E-06,1.10E-02,018,2011-09-16
817,5528037,2687758,655,400,3.97E-06,1.26E-02,018,2011-09-16
817,4435115,1784681,500,247,4.23E-06,1.38E-02,018,2011-09-16
817,4475086,2018007,506,282,3.89E-06,1.09E-02,018,2011-09-16
817,4510633,2033645,511,286,5.08E-06,1.11E-02,018,2011-09-16
569,12570904,8285596,1454,1157,5.42E-06,5.62E-02,018,2011-09-16
665,4617186,2091754,433,276,6.13E-06,1.54E-02,018,2011-09-16
0,5422815,3113962,605,460,4.41E-06,1.84E-02,018,2011-09-16
769,4492392,2735805,538,408,4.28E-06,1.35E-02,018,2011-09-16
349,4210239,2622606,463,359,4.21E-06,2.87E-02,018,2011-09-16
574,7994564,4915783,1316,949,5.23E-06,4.48E-02,018,2011-09-16
459,4367895,2010931,729,454,9.70E-06,1.65E-02,018,2011-09-16
117,5458579,3099713,706,492,4.60E-06,2.16E-02,018,2011-09-16
319,10896953,6633814,1225,930,8.40E-06,4.41E-02,018,2011-09-16
781,4430163,2843005,480,380,8.53E-06,1.21E-02,018,2011-09-16
198,12576254,1641630,901,223,9.71E-06,2.44E-02,018,2011-09-16
745,5672631,2171659,546,315,8.01E-06,2.09E-02,018,2011-09-16
481,4976790,1946946,476,269,4.20E-06,1.09E-02,018,2011-09-16
264,12582373,6133315,1371,920,5.15E-06,4.88E-02,018,2011-09-16
165,8162592,4702410,899,669,8.48E-06,2.52E-02,018,2011-09-16
53,8854577,5098277,938,697,4.81E-06,2.81E-02,018,2011-09-16
135,8785085,5182789,932,695,5.09E-06,2.56E-02,018,2011-09-16
655,8771172,4695711,1022,646,7.47E-06,3.24E-02,018,2011-09-16
400,11162996,5032764,1167,750,4.73E-06,2.32E-02,018,2011-09-16
1,8049097,5150172,885,695,4.77E-06,2.70E-02,018,2011-09-16
53,4551090,1089877,457,147,4.58E-06,9.33E-03,018,2011-09-16
372,4668209,2998062,504,400,4.12E-06,2.01E-02,018,2011-09-16
610,9112159,5889006,1024,806,4.60E-06,3.53E-02,018,2011-09-16
737,12578875,7509953,1362,1020,5.27E-06,4.85E-02,018,2011-09-16
748,12021588,8041410,2466,1563,6.17E-06,7.87E-02,018,2011-09-16
729,4529147,2129881,704,445,4.40E-06,5.50E-02,018,2011-09-16
638,10813416,6001614,1717,1229,6.38E-06,6.31E-02,018,2011-09-16
458,4850401,2298845,629,423,4.56E-06,1.45E-02,018,2011-09-16
102,6290931,3974314,973,653,4.21E-06,2.95E-02,018,2011-09-16
794,4261494,2959089,779,540,5.19E-06,1.74E-02,018,2011-09-16
923,8812146,2932035,961,499,4.24E-06,2.77E-02,018,2011-09-16
998,4548242,1409208,393,185,4.48E-06,1.28E-02,018,2011-09-16
265,12178561,763619,854,96,4.33E-06,3.15E-02,018,2011-09-16
265,7849874,341839,612,58,6.37E-06,1.17E-02,018,2011-09-16
157,6097210,777625,585,155,8.42E-06,1.90E-02,018,2011-09-16
998,4620647,393329,368,55,4.11E-06,1.26E-02,018,2011-09-16
755,12572007,1590826,898,199,6.37E-06,3.38E-02,018,2011-09-16
583,7791675,922337,623,135,6.36E-06,2.84E-02,018,2011-09-16
998,4657242,526484,457,123,5.53E-06,1.35E-02,018,2011-09-16
507,6024441,399672,420,45,4.47E-06,1.18E-02,018,2011-09-16
690,6489086,891019,500,123,4.63E-06,1.87E-02,018,2011-09-16
554,9345679,526083,641,61,1.34E-05,2.28E-02,018,2011-09-16
529,8707928,557820,611,71,6.21E-06,2.16E-02,018,2011-09-16
255,4753248,238858,308,30,4.25E-06,1.05E-02,018,2011-09-16
1022,2902172,987264,334,201,4.24E-06,1.07E-02,018,2011-09-16
158,11595011,6541073,1372,998,7.46E-06,3.85E-02,018,2011-09-17
600,11354793,7009609,1254,955,5.98E-06,4.48E-02,018,2011-09-17
884,5542803,2339584,585,282,8.15E-06,1.23E-02,018,2011-09-17
504,4411784,2659417,474,363,4.16E-06,1.16E-02,018,2011-09-17
913,6203047,3775330,673,511,4.62E-06,2.08E-02,018,2011-09-17
323,12581953,7222618,1385,994,6.64E-06,5.10E-02,018,2011-09-17
493,6440748,4370461,804,656,7.31E-06,1.77E-02,018,2011-09-17
306,5394145,0,618,0,4.42E-06,1.21E-02,018,2011-09-17
976,10760644,0,1192,0,4.37E-06,1.22E-02,018,2011-09-17
976,4750740,0,529,0,4.51E-06,6.54E-03,018,2011-09-17
306,5394145,0,618,0,3.97E-06,1.01E-02,018,2011-09-17
976,7146838,0,863,0,4.20E-06,9.57E-03,018,2011-09-17
82,4342989,0,498,0,5.72E-06,6.65E-03,018,2011-09-17
884,4303299,0,491,0,4.18E-06,6.43E-03,018,2011-09-17
817,5528037,0,655,0,4.31E-06,6.75E-03,018,2011-09-17
817,4435115,0,500,0,7.13E-06,5.59E-03,018,2011-09-17
817,4475086,0,506,0,4.92E-06,5.54E-03,018,2011-09-17
817,4510633,0,511,0,4.42E-06,5.68E-03,018,2011-09-17
569,12570904,0,1454,0,4.13E-06,1.82E-02,018,2011-09-17
665,4617186,0,433,0,4.45E-06,7.16E-03,018,2011-09-17
0,5422815,0,605,0,4.07E-06,7.94E-03,018,2011-09-17
769,4492392,0,538,0,4.67E-06,5.80E-03,018,2011-09-17
349,4210239,0,463,0,4.18E-06,7.56E-03,018,2011-09-17
574,7994564,0,1316,0,4.13E-06,1.89E-02,018,2011-09-17
459,4367895,0,729,0,5.25E-06,8.20E-03,018,2011-09-17
117,5468849,10366,711,6,4.75E-06,9.25E-03,018,2011-09-17
319,10896953,0,1225,0,4.43E-06,1.57E-02,018,2011-09-17
781,4430163,0,480,0,4.55E-06,5.16E-03,018,2011-09-17
198,12576254,0,901,0,4.18E-06,1.06E-02,018,2011-09-17
745,5672631,0,546,0,4.85E-06,8.07E-03,018,2011-09-17
481,4976790,0,476,0,4.12E-06,5.39E-03,018,2011-09-17
264,12582373,0,1371,0,4.07E-06,1.71E-02,018,2011-09-17
165,8162592,0,899,0,5.34E-06,1.07E-02,018,2011-09-17
53,8854577,0,938,0,4.66E-06,1.06E-02,018,2011-09-17
135,8785085,0,932,0,4.60E-06,1.02E-02,018,2011-09-17
655,8771172,0,1022,0,4.40E-06,1.28E-02,018,2011-09-17
400,11162996,0,1167,0,1.37E-05,1.16E-02,018,2011-09-17
1,8049097,0,885,0,4.53E-06,1.04E-02,018,2011-09-17
53,4551090,0,457,0,4.52E-06,5.78E-03,018,2011-09-17
372,4668209,0,504,0,4.42E-06,8.27E-03,018,2011-09-17
610,9112159,0,1024,0,4.56E-06,1.29E-02,018,2011-09-17
737,12578875,0,1362,0,5.13E-06,1.71E-02,018,2011-09-17
748,12021588,0,2466,0,1.28E-05,2.93E-02,018,2011-09-17
729,4529147,0,704,0,8.81E-06,1.00E-02,018,2011-09-17
638,10813416,0,1717,0,8.91E-06,2.23E-02,018,2011-09-17
458,4844645,539,624,2,7.63E-06,8.42E-03,018,2011-09-17
102,6290931,0,973,0,4.87E-06,1.11E-02,018,2011-09-17
794,4261494,0,779,0,5.15E-06,8.66E-03,018,2011-09-17
923,8812146,0,961,0,4.19E-06,1.03E-02,018,2011-09-17
998,4548242,0,393,0,4.27E-06,5.98E-03,018,2011-09-17
265,12178561,0,854,0,4.16E-06,1.27E-02,018,2011-09-17
265,7849874,0,612,0,4.90E-06,8.62E-03,018,2011-09-17
157,6097210,0,585,0,6.31E-06,7.98E-03,018,2011-09-17
998,4620647,0,368,0,4.27E-06,5.36E-03,018,2011-09-17
755,12572007,0,898,0,4.08E-06,1.22E-02,018,2011-09-17
583,7791675,0,623,0,4.33E-06,9.08E-03,018,2011-09-17
998,4657242,0,457,0,4.29E-06,6.44E-03,018,2011-09-17
507,6024441,0,420,0,3.97E-06,1.56E-02,018,2011-09-17
690,6489086,0,500,0,4.00E-06,7.09E-03,018,2011-09-17
554,9345679,0,641,0,4.05E-06,8.78E-03,018,2011-09-17
529,8707928,0,611,0,4.26E-06,8.69E-03,018,2011-09-17
255,4753248,0,308,0,4.95E-06,5.58E-03,018,2011-09-17
1022,2905506,38781,336,10,4.55E-06,5.26E-03,018,2011-09-17
714,12571649,6574131,1411,981,9.70E-06,4.98E-02,018,2011-09-18
482,5171049,3680915,618,518,4.58E-06,2.97E-02,018,2011-09-18
366,10440449,6529188,1144,885,9.76E-06,4.25E-02,018,2011-09-18
884,5660592,2315223,594,271,6.14E-06,1.23E-02,018,2011-09-18
128,12572843,7354903,1350,991,1.38E-05,6.22E-02,018,2011-09-18
81,12582372,7369228,1445,1040,1.02E-05,4.42E-02,018,2011-09-18
42,4869383,3182302,579,465,5.48E-06,1.86E-02,018,2011-09-18
306,5394145,0,618,0,6.07E-06,1.12E-02,018,2011-09-18
976,10760644,0,1192,0,4.31E-06,1.29E-02,018,2011-09-18
976,4750740,0,529,0,4.90E-06,6.58E-03,018,2011-09-18
306,5394145,0,618,0,4.22E-06,8.36E-03,018,2011-09-18
976,7146838,0,863,0,4.50E-06,9.71E-03,018,2011-09-18
82,4342989,0,498,0,4.76E-06,6.72E-03,018,2011-09-18
884,4303299,0,491,0,4.54E-06,5.91E-03,018,2011-09-18
817,5528037,0,655,0,4.24E-06,6.95E-03,018,2011-09-18
817,4435115,0,500,0,4.24E-06,5.70E-03,018,2011-09-18
817,4475086,0,506,0,7.01E-06,2.17E-02,018,2011-09-18
817,4510633,0,511,0,4.15E-06,6.00E-03,018,2011-09-18
569,12570904,0,1454,0,9.46E-06,1.87E-02,018,2011-09-18
665,4617186,0,433,0,7.82E-06,7.71E-03,018,2011-09-18
0,5422815,0,605,0,5.24E-06,7.99E-03,018,2011-09-18
769,4492392,0,538,0,6.99E-06,6.41E-03,018,2011-09-18
349,4210239,0,463,0,6.12E-06,7.47E-03,018,2011-09-18
574,7994564,0,1316,0,4.43E-06,1.62E-02,018,2011-09-18
459,4367895,0,729,0,7.04E-06,2.70E-02,018,2011-09-18
117,5468715,11993,711,7,4.48E-06,9.92E-03,018,2011-09-18
319,10896953,0,1225,0,4.91E-06,1.58E-02,018,2011-09-18
781,4430163,0,480,0,4.57E-06,5.04E-03,018,2011-09-18
198,12576254,0,901,0,4.93E-06,1.08E-02,018,2011-09-18
745,5672631,0,546,0,3.97E-06,8.28E-03,018,2011-09-18
481,4976790,0,476,0,8.00E-06,7.34E-03,018,2011-09-18
264,12582373,0,1371,0,3.75E-06,1.72E-02,018,2011-09-18
165,8162592,0,899,0,4.57E-06,1.07E-02,018,2011-09-18
53,8854577,0,938,0,4.73E-06,1.10E-02,018,2011-09-18
135,8785085,0,932,0,4.47E-06,1.06E-02,018,2011-09-18
655,8771172,0,1022,0,4.46E-06,1.47E-02,018,2011-09-18
400,11162996,0,1167,0,5.00E-06,1.10E-02,018,2011-09-18
1,8049097,0,885,0,4.35E-06,1.05E-02,018,2011-09-18
53,4551090,0,457,0,4.02E-06,6.12E-03,018,2011-09-18
372,4668209,0,504,0,4.04E-06,8.12E-03,018,2011-09-18
610,9112159,0,1024,0,4.44E-06,1.31E-02,018,2011-09-18
737,12578875,0,1362,0,1.04E-05,1.80E-02,018,2011-09-18
748,12021588,0,2466,0,1.28E-05,2.96E-02,018,2011-09-18
729,4529147,0,704,0,4.55E-06,1.06E-02,018,2011-09-18
638,10813416,0,1717,0,1.12E-05,2.41E-02,018,2011-09-18
458,4844645,0,624,0,8.51E-06,8.20E-03,018,2011-09-18
102,6290931,0,973,0,1.24E-05,1.24E-02,018,2011-09-18
794,4261494,0,779,0,4.74E-06,8.10E-03,018,2011-09-18
923,8812146,0,961,0,4.36E-06,1.17E-02,018,2011-09-18
998,4548242,0,393,0,4.24E-06,5.75E-03,018,2011-09-18
