,,,,,,,,,SIMULATOR_DOMAINS:16
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex2-run51
,,,,,,,,,SIMULATOR_MAIN_D:-
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:MIN_FINGERPRINT
,,,,,,,,,SIMULATOR_REGION_ALGO:AE
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.2.143,10.129.5.249,10.128.5.115,10.131.3.176,10.131.3.177,10.128.5.114,10.129.2.144,10.129.5.250
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:-
,,,,,,,,,START_TIME:1638769511.4352517
,,,,,,,,,STOP_TIME:1638769731.1544082
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
98,5243633,3039229,687,516,2.31E-04,2.96E-02,018,2011-09-16
46,5251234,3418938,608,484,1.37E-04,2.55E-02,018,2011-09-16
52,5255248,3076098,550,413,1.71E-04,4.09E-02,018,2011-09-16
82,5251473,3160821,566,426,2.25E-04,2.33E-02,018,2011-09-16
32,5253581,3088376,553,416,1.69E-04,2.06E-02,018,2011-09-16
81,5243919,3285332,561,435,9.69E-05,2.10E-02,018,2011-09-16
102,5249254,3108262,564,427,1.19E-04,2.26E-02,018,2011-09-16
123,5251470,2929657,564,402,1.06E-04,1.58E-02,018,2011-09-16
92,5249827,3258358,594,451,1.00E-04,2.19E-02,018,2011-09-16
49,5244440,3537675,671,549,1.52E-04,1.96E-02,018,2011-09-16
30,5252743,3666787,610,508,1.35E-04,1.78E-02,018,2011-09-16
40,5256893,3185425,552,419,9.23E-05,2.11E-02,018,2011-09-16
38,5248817,3632337,607,503,1.00E-04,2.24E-02,018,2011-09-16
40,5244379,2264737,582,287,1.11E-04,2.72E-02,018,2011-09-16
114,5246966,3642617,612,509,1.04E-04,1.47E-02,018,2011-09-16
104,5244680,3311862,610,481,9.14E-05,2.27E-02,018,2011-09-16
76,5243810,3611098,617,504,1.08E-04,2.02E-02,018,2011-09-16
57,5244419,3119227,608,443,9.66E-05,1.70E-02,018,2011-09-16
10,5246997,2087615,605,303,1.20E-04,1.84E-02,018,2011-09-16
109,5245667,2579426,617,374,1.34E-04,2.00E-02,018,2011-09-16
10,5253753,2271912,587,316,1.05E-04,1.73E-02,018,2011-09-16
82,5244553,2869724,589,397,8.80E-05,2.00E-02,018,2011-09-16
119,5246275,3634437,634,528,1.04E-04,1.67E-02,018,2011-09-16
38,5244442,3495673,587,478,9.64E-05,2.27E-02,018,2011-09-16
52,5247777,2544595,510,341,1.30E-04,1.43E-02,018,2011-09-16
6,5248516,2961491,581,437,1.48E-04,2.53E-02,018,2011-09-16
75,5245055,3210364,627,478,1.15E-04,1.81E-02,018,2011-09-16
44,5252536,3261484,594,453,8.82E-05,2.32E-02,018,2011-09-16
124,5246222,3055693,744,520,9.66E-05,1.64E-02,018,2011-09-16
4,5245930,2849975,1082,736,2.05E-04,3.25E-02,018,2011-09-16
89,5247845,2916271,681,468,8.51E-05,2.45E-02,018,2011-09-16
67,5251313,3347130,613,484,8.98E-05,1.81E-02,018,2011-09-16
86,5250886,3257372,575,444,1.11E-04,2.37E-02,018,2011-09-16
107,5247343,3281051,566,439,1.02E-04,2.34E-02,018,2011-09-16
35,5252796,1352388,432,192,1.03E-04,1.74E-02,018,2011-09-16
64,5248409,436789,345,48,8.16E-05,1.29E-02,018,2011-09-16
83,5258979,483462,358,61,6.94E-05,1.35E-02,018,2011-09-16
112,5258277,2758270,572,390,1.29E-04,1.42E-02,018,2011-09-16
61,5243005,2473325,571,384,1.10E-04,1.90E-02,018,2011-09-16
63,5257309,2131609,532,312,8.53E-05,1.62E-02,018,2011-09-16
44,5247832,2883261,583,428,8.55E-05,2.27E-02,018,2011-09-16
98,5247734,2978881,583,434,1.45E-04,2.21E-02,018,2011-09-16
121,5251883,2764031,539,378,1.17E-04,1.38E-02,018,2011-09-16
72,5245031,3355810,570,451,1.01E-04,1.76E-02,018,2011-09-16
15,5252187,3047398,547,407,1.01E-04,1.99E-02,018,2011-09-16
66,5252064,3243657,589,444,9.75E-05,1.71E-02,018,2011-09-16
17,5248213,3044571,621,433,1.25E-04,1.43E-02,018,2011-09-16
52,5250214,3248227,626,468,9.68E-05,1.86E-02,018,2011-09-16
73,5251810,1458946,483,239,6.90E-05,1.53E-02,018,2011-09-16
86,5243271,3348090,565,446,9.49E-05,2.14E-02,018,2011-09-16
85,5254332,3482014,587,474,1.06E-04,2.13E-02,018,2011-09-16
83,5248394,2812652,541,386,8.28E-05,2.02E-02,018,2011-09-16
0,5254253,3291356,565,441,8.79E-05,1.96E-02,018,2011-09-16
46,5253963,3334198,574,451,1.00E-04,2.25E-02,018,2011-09-16
65,5250136,3514355,599,487,1.53E-04,1.77E-02,018,2011-09-16
17,5249184,3076895,554,414,8.70E-05,1.49E-02,018,2011-09-16
27,5258018,3321970,581,457,1.01E-04,1.51E-02,018,2011-09-16
54,5244611,2984689,539,398,8.76E-05,1.61E-02,018,2011-09-16
44,5244771,4155537,1466,931,1.69E-04,4.80E-02,018,2011-09-16
76,5249768,2909270,1090,688,2.68E-04,2.90E-02,018,2011-09-16
95,5252750,2127512,528,330,1.17E-04,2.02E-02,018,2011-09-16
57,5258844,3426912,1031,790,1.16E-04,2.86E-02,018,2011-09-16
68,5250761,2706354,777,550,2.06E-04,2.12E-02,018,2011-09-16
29,5253676,3421668,833,561,1.70E-04,1.84E-02,018,2011-09-16
53,5243097,3425701,836,580,8.50E-05,2.26E-02,018,2011-09-16
39,5253028,2885911,789,530,2.51E-04,2.86E-02,018,2011-09-16
40,5246921,1009033,426,142,6.44E-05,1.72E-02,018,2011-09-16
56,5257629,1057018,425,133,1.02E-04,1.37E-02,018,2011-09-16
36,5247578,261984,356,31,6.99E-05,1.44E-02,018,2011-09-16
36,5244729,371603,365,51,7.60E-05,1.46E-02,018,2011-09-16
27,5246678,531834,417,79,7.20E-05,1.01E-02,018,2011-09-16
82,5251350,667701,510,135,7.17E-05,1.88E-02,018,2011-09-16
114,5254724,531476,403,81,7.09E-05,9.82E-03,018,2011-09-16
63,5245177,350223,385,45,7.10E-05,1.21E-02,018,2011-09-16
102,5244862,255678,334,27,6.48E-05,1.35E-02,018,2011-09-16
6,5246836,1267767,431,165,8.30E-05,1.69E-02,018,2011-09-16
69,5256243,612553,421,91,8.70E-05,1.31E-02,018,2011-09-16
88,5245638,819964,525,164,7.09E-05,1.92E-02,018,2011-09-16
98,5251486,376227,379,46,6.94E-05,1.46E-02,018,2011-09-16
2,5247956,283604,332,29,6.25E-05,1.35E-02,018,2011-09-16
15,5250730,826123,445,118,9.25E-05,1.74E-02,018,2011-09-16
85,5254440,343102,358,41,7.06E-05,1.43E-02,018,2011-09-16
116,5243764,309470,347,41,6.87E-05,8.25E-03,018,2011-09-16
116,5253130,349764,378,41,6.89E-05,8.68E-03,018,2011-09-16
83,5257582,268056,340,33,7.06E-05,1.37E-02,018,2011-09-16
52,2512526,958030,309,197,8.92E-05,1.02E-02,018,2011-09-16
30,5247234,3090126,697,525,1.81E-04,1.74E-02,018,2011-09-17
3,5244279,2826812,541,384,9.26E-05,2.11E-02,018,2011-09-17
58,5256645,3754219,635,532,1.07E-04,1.88E-02,018,2011-09-17
52,5247614,2875101,543,367,7.94E-05,1.48E-02,018,2011-09-17
33,5255202,3039635,558,416,9.31E-05,2.52E-02,018,2011-09-17
42,5248716,3066891,556,417,1.24E-04,2.20E-02,018,2011-09-17
43,5244084,3390941,576,455,2.88E-04,3.75E-02,018,2011-09-17
112,5254800,3183447,565,432,3.22E-04,2.02E-02,018,2011-09-17
101,5243297,3072288,563,412,3.68E-04,2.60E-02,018,2011-09-17
9,5245398,3264368,626,472,2.25E-04,2.51E-02,018,2011-09-17
33,5245050,3524874,648,531,2.20E-04,2.57E-02,018,2011-09-17
50,5254558,3702566,607,508,1.47E-04,1.87E-02,018,2011-09-17
104,5256707,2045038,551,274,1.22E-04,2.61E-02,018,2011-09-17
50,5249838,1532913,615,178,2.23E-04,1.23E-02,018,2011-09-17
44,5246277,3448886,575,459,1.51E-04,2.25E-02,018,2011-09-17
50,5245278,69579,604,7,1.83E-04,7.40E-03,018,2011-09-17
104,5245113,500707,621,71,8.95E-05,1.13E-02,018,2011-09-17
33,5243715,3568541,612,497,1.06E-04,2.39E-02,018,2011-09-17
57,5249964,113105,608,18,1.19E-04,7.72E-03,018,2011-09-17
10,5256567,475043,608,67,9.57E-05,1.24E-02,018,2011-09-17
69,5246027,2319390,606,335,1.30E-04,1.51E-02,018,2011-09-17
110,5250055,2675721,596,370,1.75E-04,1.93E-02,018,2011-09-17
54,5251465,2843177,578,393,1.06E-04,1.61E-02,018,2011-09-17
43,5247404,3750024,644,547,1.44E-04,2.47E-02,018,2011-09-17
38,5258648,478055,590,68,9.65E-05,1.02E-02,018,2011-09-17
52,5256151,431807,511,66,8.30E-05,7.71E-03,018,2011-09-17
119,5243561,3073144,582,445,1.00E-04,1.43E-02,018,2011-09-17
42,5252653,3156966,614,463,1.01E-04,2.29E-02,018,2011-09-17
75,5252475,3190934,607,452,1.01E-04,1.68E-02,018,2011-09-17
107,5244096,3226962,820,596,9.94E-05,2.91E-02,018,2011-09-17
14,5245311,2742917,1001,667,2.52E-04,3.32E-02,018,2011-09-17
89,5248579,451421,682,65,1.87E-04,1.20E-02,018,2011-09-17
35,5253439,3224278,601,463,9.60E-05,2.37E-02,018,2011-09-17
86,5244250,388342,584,53,1.39E-04,1.02E-02,018,2011-09-17
81,5244480,3280584,560,434,1.11E-04,2.09E-02,018,2011-09-17
68,5245796,1034056,410,150,9.88E-05,1.46E-02,018,2011-09-17
101,5251087,426582,348,47,9.81E-05,1.40E-02,018,2011-09-17
7,5248547,955194,418,148,7.05E-05,1.53E-02,018,2011-09-17
5,5251873,2429890,529,331,1.05E-04,1.88E-02,018,2011-09-17
7,5257570,2522840,570,390,8.69E-05,2.18E-02,018,2011-09-17
20,5243777,2120577,530,309,1.33E-04,1.45E-02,018,2011-09-17
112,5253663,2905421,584,433,1.20E-04,1.50E-02,018,2011-09-17
58,5245564,3267700,592,464,9.47E-05,1.86E-02,018,2011-09-17
121,5249698,431811,541,58,1.00E-04,7.96E-03,018,2011-09-17
89,5246527,3459285,582,468,1.02E-04,2.29E-02,018,2011-09-17
21,5246658,3005437,527,386,1.01E-04,1.44E-02,018,2011-09-17
66,5244421,216505,605,30,9.54E-05,8.55E-03,018,2011-09-17
75,5258116,3163198,620,446,1.36E-04,1.75E-02,018,2011-09-17
52,5246524,66158,592,9,9.81E-05,8.17E-03,018,2011-09-17
26,5250960,1831915,507,291,7.20E-05,1.37E-02,018,2011-09-17
86,5252658,453040,565,55,9.73E-05,9.36E-03,018,2011-09-17
51,5247589,3291449,580,453,9.86E-05,1.80E-02,018,2011-09-17
83,5243915,465364,555,65,8.46E-05,9.40E-03,018,2011-09-17
10,5247179,3262789,567,441,1.15E-04,2.18E-02,018,2011-09-17
108,5246720,3360045,574,453,9.27E-05,2.20E-02,018,2011-09-17
100,5247076,3425436,593,475,1.32E-04,2.36E-02,018,2011-09-17
63,5243907,3116238,552,416,8.82E-05,1.69E-02,018,2011-09-17
27,5255016,392176,576,50,1.22E-04,7.62E-03,018,2011-09-17
52,5244740,2997889,543,402,7.96E-05,1.66E-02,018,2011-09-17
6,5247076,4280560,1598,992,2.85E-04,4.97E-02,018,2011-09-17
112,5258140,2484947,939,581,2.92E-04,1.82E-02,018,2011-09-17
85,5255631,2436960,559,378,7.66E-05,2.85E-02,018,2011-09-17
82,5247315,3503397,1092,840,1.19E-04,7.10E-02,018,2011-09-17
68,5250750,474509,705,65,2.92E-04,1.12E-02,018,2011-09-17
50,5244470,3348113,818,546,1.28E-04,2.76E-02,018,2011-09-17
53,5247609,559223,975,139,2.32E-04,1.40E-02,018,2011-09-17
122,5252159,2403270,629,407,1.40E-04,1.56E-02,018,2011-09-17
1,5253873,1310897,447,181,1.31E-04,1.70E-02,018,2011-09-17
57,5256346,767740,420,98,1.27E-04,1.32E-02,018,2011-09-17
21,5251789,240077,341,26,1.26E-04,9.92E-03,018,2011-09-17
17,5243121,375131,367,50,7.87E-05,1.02E-02,018,2011-09-17
71,5251538,550250,419,81,1.55E-04,1.29E-02,018,2011-09-17
17,5258860,595706,510,127,9.46E-05,1.23E-02,018,2011-09-17
102,5257629,469400,408,76,2.08E-04,1.42E-02,018,2011-09-17
13,5245630,340404,375,41,9.25E-05,1.48E-02,018,2011-09-17
42,5244635,501211,348,56,7.05E-05,1.48E-02,018,2011-09-17
6,5249855,132137,436,17,1.05E-04,7.82E-03,018,2011-09-17
69,5253036,42041,404,4,1.03E-04,6.55E-03,018,2011-09-17
8,5252194,810136,526,164,8.52E-05,1.96E-02,018,2011-09-17
98,5250699,47810,379,5,8.32E-05,7.00E-03,018,2011-09-17
2,5256804,368440,359,50,7.42E-05,7.14E-03,018,2011-09-17
51,5249208,507912,425,72,8.73E-05,1.34E-02,018,2011-09-17
46,5249808,309898,349,36,6.92E-05,1.47E-02,018,2011-09-17
123,5256292,305614,350,43,6.86E-05,9.34E-03,018,2011-09-17
44,5246671,359675,378,41,7.07E-05,1.52E-02,018,2011-09-17
87,5244553,274345,337,32,7.03E-05,1.43E-02,018,2011-09-17
70,1891600,926964,272,197,1.26E-04,8.85E-03,018,2011-09-17
98,5249026,1003772,691,140,2.19E-04,1.49E-02,018,2011-09-18
3,5250348,1054774,475,124,1.51E-04,1.29E-02,018,2011-09-18
53,5257551,3734701,632,526,1.45E-04,1.95E-02,018,2011-09-18
95,5251305,3746110,618,519,1.72E-04,2.42E-02,018,2011-09-18
52,5258074,2677045,548,335,8.93E-05,1.44E-02,018,2011-09-18
54,5249153,3137186,558,424,9.29E-05,1.66E-02,018,2011-09-18
98,5248716,3008523,549,409,1.51E-04,2.07E-02,018,2011-09-18
61,5244084,3370569,575,452,1.14E-04,1.74E-02,018,2011-09-18
48,5247204,3096471,567,430,1.01E-04,1.84E-02,018,2011-09-18
108,5245726,3078332,562,410,1.02E-04,2.01E-02,018,2011-09-18
9,5249003,841769,601,102,1.10E-04,1.16E-02,018,2011-09-18
49,5250079,183716,668,23,1.52E-04,8.29E-03,018,2011-09-18
50,5251425,250051,610,29,9.68E-05,7.91E-03,018,2011-09-18
104,5248229,0,554,0,9.81E-05,7.92E-03,018,2011-09-18
38,5248486,181361,608,26,9.89E-05,9.64E-03,018,2011-09-18
40,5251135,126446,577,18,9.95E-05,8.78E-03,018,2011-09-18
50,5244420,0,611,0,1.14E-04,7.86E-03,018,2011-09-18
104,5249212,0,612,0,1.11E-04,8.75E-03,018,2011-09-18
124,5245187,3578318,619,502,1.29E-04,1.59E-02,018,2011-09-18
57,5246542,0,609,0,1.15E-04,7.17E-03,018,2011-09-18
10,5242959,0,601,0,1.53E-04,8.48E-03,018,2011-09-18
109,5243279,101647,613,13,1.54E-04,9.15E-03,018,2011-09-18
123,5246622,2525631,593,351,1.03E-04,1.57E-02,018,2011-09-18
82,5253264,107059,582,13,1.14E-04,8.81E-03,018,2011-09-18
43,5244543,299646,634,37,1.19E-04,1.03E-02,018,2011-09-18
38,5245511,0,591,0,1.37E-04,8.42E-03,018,2011-09-18
52,5244201,0,506,0,1.24E-04,7.54E-03,018,2011-09-18
6,5244192,117404,582,17,9.88E-05,8.63E-03,018,2011-09-18
75,5245467,129525,626,17,1.00E-04,9.84E-03,018,2011-09-18
75,5246251,382154,592,41,9.44E-05,8.39E-03,018,2011-09-18
124,5244623,135861,766,33,9.88E-05,8.91E-03,018,2011-09-18
