,,,,,,,,,SIMULATOR_DOMAINS:128
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex2-run54
,,,,,,,,,SIMULATOR_MAIN_D:540
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:MIN_FINGERPRINT
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_REGION_ALGO:TTTD
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.128.5.119,10.129.2.151,10.129.4.11,10.131.3.187,10.129.2.150,10.129.4.12,10.128.5.120,10.131.3.188
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:270
,,,,,,,,,START_TIME:1638771638.5397022
,,,,,,,,,STOP_TIME:1638771915.8509297
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
994,12580470,7335986,1517,1123,2.35E-04,4.59E-02,018,2011-09-16
197,5792460,3577925,622,481,2.41E-04,3.26E-02,018,2011-09-16
481,10021786,5997399,1053,791,2.18E-04,3.32E-02,018,2011-09-16
557,4741382,2821841,508,384,1.85E-04,2.28E-02,018,2011-09-16
354,4963479,2933836,542,412,1.63E-04,1.70E-02,018,2011-09-16
869,11839919,7134431,1400,1039,2.06E-04,5.33E-02,018,2011-09-16
584,9003339,6022223,1014,815,2.66E-04,3.86E-02,018,2011-09-16
692,10760644,6876254,1192,931,1.76E-04,3.13E-02,018,2011-09-16
300,4750740,3208520,529,431,2.08E-04,2.32E-02,018,2011-09-16
434,5394145,3706335,618,509,1.87E-04,2.11E-02,018,2011-09-16
692,7146838,3768177,863,566,1.39E-04,1.93E-02,018,2011-09-16
119,4342989,2953032,498,411,1.04E-04,2.13E-02,018,2011-09-16
454,4303299,2016781,491,285,1.05E-04,1.28E-02,018,2011-09-16
973,5528037,2687758,655,400,1.06E-04,1.62E-02,018,2011-09-16
774,4435115,1998147,500,275,1.22E-04,1.59E-02,018,2011-09-16
366,4475086,2225691,506,309,1.27E-04,1.16E-02,018,2011-09-16
978,4510633,2243747,511,314,1.25E-04,1.31E-02,018,2011-09-16
711,12570904,8285596,1454,1157,9.56E-05,3.74E-02,018,2011-09-16
929,4617186,2091754,433,276,1.06E-04,1.17E-02,018,2011-09-16
749,5422815,3113962,605,460,1.19E-04,1.55E-02,018,2011-09-16
885,4492392,2735805,538,408,1.31E-04,2.05E-02,018,2011-09-16
172,4210239,2622606,463,359,1.16E-04,1.82E-02,018,2011-09-16
400,7994564,4915783,1316,949,1.34E-04,4.08E-02,018,2011-09-16
299,4367895,2010931,729,454,2.15E-04,1.53E-02,018,2011-09-16
345,5458579,3099713,706,492,1.70E-04,1.71E-02,018,2011-09-16
675,10896953,6633814,1225,930,1.19E-04,2.94E-02,018,2011-09-16
212,4430163,2843005,480,380,1.51E-04,1.93E-02,018,2011-09-16
964,12576254,1641630,901,223,9.51E-05,2.29E-02,018,2011-09-16
955,5672631,2171659,546,315,1.12E-04,1.61E-02,018,2011-09-16
613,4976790,1946946,476,269,9.95E-05,1.93E-02,018,2011-09-16
198,12582373,6133315,1371,920,1.65E-04,5.25E-02,018,2011-09-16
157,8162592,4702410,899,669,9.02E-05,5.00E-02,018,2011-09-16
83,8854577,5098277,938,697,1.02E-04,3.87E-02,018,2011-09-16
149,8785085,5182789,932,695,9.10E-05,3.32E-02,018,2011-09-16
553,8771172,4695711,1022,646,9.92E-05,3.62E-02,018,2011-09-16
185,11162996,5032764,1167,750,1.10E-04,4.10E-02,018,2011-09-16
69,8049097,5150172,885,695,8.44E-05,3.22E-02,018,2011-09-16
83,4551090,1089877,457,147,6.95E-05,1.20E-02,018,2011-09-16
0,4668209,2998062,504,400,2.04E-04,1.91E-02,018,2011-09-16
912,9112159,5889006,1024,806,1.29E-04,2.89E-02,018,2011-09-16
370,12578875,7509953,1362,1020,1.50E-04,5.07E-02,018,2011-09-16
270,12021588,8041410,2466,1563,1.56E-04,5.04E-02,018,2011-09-16
624,4529147,2129881,704,445,2.61E-04,2.67E-02,018,2011-09-16
981,10813416,6001614,1717,1229,7.28E-05,4.70E-02,018,2011-09-16
692,4850401,2298809,629,422,2.13E-04,1.67E-02,018,2011-09-16
562,6290931,3974314,973,653,1.65E-04,3.58E-02,018,2011-09-16
977,4261494,2959089,779,540,2.38E-04,2.36E-02,018,2011-09-16
122,8812146,2932035,961,499,1.72E-04,3.46E-02,018,2011-09-16
356,4548242,1409208,393,185,1.46E-04,1.40E-02,018,2011-09-16
411,12178561,763619,854,96,7.04E-05,2.43E-02,018,2011-09-16
411,7849874,341839,612,58,7.06E-05,9.85E-03,018,2011-09-16
663,6097210,777625,585,155,1.36E-04,1.50E-02,018,2011-09-16
947,4620647,393329,368,55,6.97E-05,1.21E-02,018,2011-09-16
973,12572007,1590790,898,198,6.39E-05,2.54E-02,018,2011-09-16
141,7791675,922337,623,135,7.89E-05,2.44E-02,018,2011-09-16
937,4657242,567058,457,127,1.62E-04,1.48E-02,018,2011-09-16
943,6024441,399672,420,45,1.60E-04,1.38E-02,018,2011-09-16
294,6489086,891019,500,123,8.66E-05,1.76E-02,018,2011-09-16
868,9345679,526083,641,61,1.72E-04,2.68E-02,018,2011-09-16
530,8707928,557820,611,71,1.48E-04,2.51E-02,018,2011-09-16
595,4753248,238858,308,30,7.57E-05,1.32E-02,018,2011-09-16
271,2902172,987264,334,201,7.06E-05,1.17E-02,018,2011-09-16
158,11595011,6541073,1372,998,2.45E-04,4.84E-02,018,2011-09-17
420,11354793,7009609,1254,955,1.56E-04,3.75E-02,018,2011-09-17
481,5542803,2339584,585,282,9.27E-05,1.55E-02,018,2011-09-17
664,4411784,2659417,474,363,1.04E-04,1.37E-02,018,2011-09-17
242,6203047,3775330,673,511,1.09E-04,2.45E-02,018,2011-09-17
120,12581953,7222618,1385,994,8.38E-05,5.06E-02,018,2011-09-17
393,6440748,4370461,804,656,2.26E-04,2.55E-02,018,2011-09-17
434,5394145,0,618,0,1.01E-04,8.06E-03,018,2011-09-17
692,10760644,0,1192,0,9.44E-05,1.21E-02,018,2011-09-17
300,4750740,0,529,0,2.02E-04,1.13E-02,018,2011-09-17
434,5394145,0,618,0,1.66E-04,8.40E-03,018,2011-09-17
692,7146838,0,863,0,1.21E-04,2.05E-02,018,2011-09-17
119,4342989,0,498,0,1.88E-04,7.72E-03,018,2011-09-17
454,4303299,0,491,0,1.01E-04,6.43E-03,018,2011-09-17
973,5528037,0,655,0,9.79E-05,8.15E-03,018,2011-09-17
774,4435115,0,500,0,1.06E-04,7.67E-03,018,2011-09-17
366,4475086,0,506,0,1.25E-04,1.01E-02,018,2011-09-17
978,4510633,0,511,0,1.30E-04,6.87E-03,018,2011-09-17
711,12570904,0,1454,0,1.01E-04,1.38E-02,018,2011-09-17
929,4617186,0,433,0,1.38E-04,5.96E-03,018,2011-09-17
749,5422815,0,605,0,1.05E-04,7.24E-03,018,2011-09-17
885,4492392,0,538,0,1.68E-04,8.28E-03,018,2011-09-17
172,4210239,0,463,0,1.30E-04,7.88E-03,018,2011-09-17
400,7994564,0,1316,0,2.41E-04,1.47E-02,018,2011-09-17
299,4367895,0,729,0,1.78E-04,8.77E-03,018,2011-09-17
345,5468849,10366,711,6,1.70E-04,8.25E-03,018,2011-09-17
675,10896953,0,1225,0,1.06E-04,1.21E-02,018,2011-09-17
