,,,,,,,,,SIMULATOR_DOMAINS:128
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex2-run55
,,,,,,,,,SIMULATOR_MAIN_D:-
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:MIN_FINGERPRINT
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_REGION_ALGO:AE
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.2.153,10.128.5.122,10.131.3.191,10.131.3.190,10.129.4.13,10.129.2.152,10.131.3.189,10.128.5.121
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:-
,,,,,,,,,START_TIME:1638771975.2181602
,,,,,,,,,STOP_TIME:1638772194.1828868
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
994,5243633,3039229,687,516,2.39E-04,2.89E-02,018,2011-09-16
174,5251234,3418938,608,484,1.30E-04,2.52E-02,018,2011-09-16
692,5255248,3076098,550,413,1.75E-04,2.61E-02,018,2011-09-16
82,5251473,3160821,566,426,1.37E-04,2.30E-02,018,2011-09-16
416,5253581,3088376,553,416,1.22E-04,2.18E-02,018,2011-09-16
721,5243919,3285332,561,435,1.50E-04,2.21E-02,018,2011-09-16
742,5249254,3108262,564,427,1.36E-04,2.21E-02,018,2011-09-16
251,5251470,2929657,564,402,1.59E-04,2.21E-02,018,2011-09-16
732,5249827,3258358,594,451,1.76E-04,2.17E-02,018,2011-09-16
561,5244440,3537675,671,549,1.57E-04,1.76E-02,018,2011-09-16
30,5252743,3666787,610,508,1.03E-04,2.33E-02,018,2011-09-16
936,5256893,3185425,552,419,8.87E-05,2.02E-02,018,2011-09-16
806,5248817,3632337,607,503,1.15E-04,2.20E-02,018,2011-09-16
936,5244379,2264737,582,287,1.26E-04,1.70E-02,018,2011-09-16
882,5246966,3642617,612,509,1.29E-04,1.74E-02,018,2011-09-16
488,5244680,3311862,610,481,1.04E-04,1.82E-02,018,2011-09-16
972,5243810,3611098,617,504,1.33E-04,2.26E-02,018,2011-09-16
313,5244419,3119227,608,443,1.62E-04,1.91E-02,018,2011-09-16
266,5246997,2087615,605,303,1.54E-04,1.37E-02,018,2011-09-16
237,5245667,2579426,617,374,2.03E-04,2.00E-02,018,2011-09-16
266,5253753,2271912,587,316,1.38E-04,1.39E-02,018,2011-09-16
978,5244553,2869724,589,397,1.69E-04,2.06E-02,018,2011-09-16
631,5246275,3634437,634,528,1.87E-04,1.76E-02,018,2011-09-16
806,5244442,3495673,587,478,1.65E-04,1.80E-02,018,2011-09-16
692,5247777,2544595,510,341,1.56E-04,1.84E-02,018,2011-09-16
774,5248516,2961491,581,437,1.19E-04,1.56E-02,018,2011-09-16
971,5245055,3210364,627,478,1.26E-04,2.62E-02,018,2011-09-16
172,5252536,3261484,594,453,1.68E-04,2.23E-02,018,2011-09-16
1020,5246222,3055693,744,520,9.82E-05,2.55E-02,018,2011-09-16
388,5245930,2849975,1082,736,3.23E-04,2.70E-02,018,2011-09-16
345,5247845,2916271,681,468,1.02E-04,2.02E-02,018,2011-09-16
451,5251313,3347130,613,484,1.22E-04,1.93E-02,018,2011-09-16
86,5250886,3257372,575,444,9.79E-05,2.21E-02,018,2011-09-16
107,5247343,3281051,566,439,1.08E-04,2.08E-02,018,2011-09-16
675,5252796,1352388,432,192,1.10E-04,1.68E-02,018,2011-09-16
576,5248409,436789,345,48,8.21E-05,1.10E-02,018,2011-09-16
467,5258979,483462,358,61,6.86E-05,1.22E-02,018,2011-09-16
368,5258277,2758270,572,390,1.31E-04,1.76E-02,018,2011-09-16
957,5243005,2473325,571,384,1.26E-04,2.16E-02,018,2011-09-16
831,5257309,2131609,532,312,1.03E-04,1.66E-02,018,2011-09-16
812,5247832,2883261,583,428,8.54E-05,1.90E-02,018,2011-09-16
738,5247734,2978881,583,434,8.71E-05,2.25E-02,018,2011-09-16
889,5251883,2764031,539,378,1.55E-04,1.87E-02,018,2011-09-16
456,5245031,3355810,570,451,1.26E-04,1.93E-02,018,2011-09-16
783,5252187,3047398,547,407,1.17E-04,1.92E-02,018,2011-09-16
194,5252064,3243657,589,444,9.19E-05,2.15E-02,018,2011-09-16
529,5248213,3044571,621,433,1.28E-04,1.44E-02,018,2011-09-16
436,5250214,3248227,626,468,9.80E-05,1.96E-02,018,2011-09-16
713,5251810,1458946,483,239,7.09E-05,1.87E-02,018,2011-09-16
214,5243271,3348090,565,446,9.13E-05,2.20E-02,018,2011-09-16
597,5254332,3482014,587,474,1.04E-04,1.92E-02,018,2011-09-16
83,5248394,2812652,541,386,8.16E-05,2.13E-02,018,2011-09-16
0,5254253,3291356,565,441,8.70E-05,2.36E-02,018,2011-09-16
46,5253963,3334198,574,451,9.54E-05,3.95E-02,018,2011-09-16
321,5250136,3514355,599,487,1.36E-04,2.01E-02,018,2011-09-16
145,5249184,3076895,554,414,9.24E-05,2.10E-02,018,2011-09-16
667,5258018,3321970,581,457,9.82E-05,2.31E-02,018,2011-09-16
438,5244611,2984689,539,398,8.45E-05,1.74E-02,018,2011-09-16
300,5244771,4155573,1466,932,1.74E-04,3.82E-02,018,2011-09-16
460,5249768,2909270,1090,688,2.76E-04,2.89E-02,018,2011-09-16
863,5252750,2127512,528,330,1.09E-04,1.63E-02,018,2011-09-16
569,5258844,3426912,1031,790,1.21E-04,2.54E-02,018,2011-09-16
836,5250761,2706354,777,550,2.16E-04,2.42E-02,018,2011-09-16
285,5253676,3421668,833,561,1.20E-04,2.53E-02,018,2011-09-16
565,5243097,3425701,836,580,8.12E-05,2.03E-02,018,2011-09-16
295,5253028,2885911,789,530,2.12E-04,2.26E-02,018,2011-09-16
808,5246921,1009033,426,142,6.43E-05,1.44E-02,018,2011-09-16
952,5257629,1057018,425,133,8.53E-05,1.68E-02,018,2011-09-16
932,5247578,261984,356,31,7.02E-05,1.34E-02,018,2011-09-16
676,5244729,371603,365,51,7.45E-05,1.60E-02,018,2011-09-16
411,5246678,531834,417,79,7.44E-05,1.40E-02,018,2011-09-16
978,5251350,667701,510,135,7.08E-05,1.84E-02,018,2011-09-16
882,5254724,531476,403,81,7.51E-05,1.26E-02,018,2011-09-16
831,5245177,350223,385,45,7.32E-05,1.18E-02,018,2011-09-16
998,5244862,255678,334,27,7.84E-05,1.31E-02,018,2011-09-16
134,5246836,1267767,431,165,8.22E-05,2.54E-02,018,2011-09-16
325,5256243,612553,421,91,1.02E-04,1.35E-02,018,2011-09-16
88,5245638,819964,525,164,7.10E-05,2.05E-02,018,2011-09-16
354,5251486,376227,379,46,6.79E-05,1.25E-02,018,2011-09-16
258,5247956,283604,332,29,1.14E-04,1.12E-02,018,2011-09-16
143,5250730,826123,445,118,1.62E-04,1.85E-02,018,2011-09-16
213,5254440,343102,358,41,1.33E-04,1.49E-02,018,2011-09-16
884,5243764,309470,347,41,1.18E-04,1.40E-02,018,2011-09-16
372,5253130,349764,378,41,8.63E-05,1.38E-02,018,2011-09-16
595,5257582,268056,340,33,7.18E-05,1.00E-02,018,2011-09-16
692,2512526,958066,309,198,8.92E-05,1.51E-02,018,2011-09-16
158,5247234,3090126,697,525,1.75E-04,2.60E-02,018,2011-09-17
515,5244279,2826812,541,384,8.28E-05,1.32E-02,018,2011-09-17
58,5256645,3754219,635,532,1.27E-04,2.47E-02,018,2011-09-17
692,5247614,2875101,543,367,1.19E-04,2.04E-02,018,2011-09-17
417,5255202,3039635,558,416,9.81E-05,2.00E-02,018,2011-09-17
682,5248716,3066891,556,417,8.87E-05,3.80E-02,018,2011-09-17
811,5244084,3390941,576,455,1.02E-04,1.92E-02,018,2011-09-17
112,5254800,3183447,565,432,8.67E-05,2.21E-02,018,2011-09-17
869,5243297,3072288,563,412,9.48E-05,1.91E-02,018,2011-09-17
777,5245398,3264368,626,472,8.81E-05,1.96E-02,018,2011-09-17
545,5245050,3524874,648,531,1.18E-04,1.57E-02,018,2011-09-17
434,5254558,3702566,607,508,9.54E-05,1.97E-02,018,2011-09-17
488,5256707,2045038,551,274,8.64E-05,1.32E-02,018,2011-09-17
434,5249838,1532913,615,178,1.20E-04,1.20E-02,018,2011-09-17
300,5246277,3448886,575,459,1.07E-04,1.82E-02,018,2011-09-17
434,5245278,69579,604,7,9.79E-05,7.76E-03,018,2011-09-17
488,5245113,500707,621,71,8.50E-05,8.97E-03,018,2011-09-17
801,5243715,3568577,612,498,9.07E-05,1.96E-02,018,2011-09-17
313,5249964,113105,608,18,1.11E-04,8.08E-03,018,2011-09-17
266,5256567,475043,608,67,1.09E-04,8.73E-03,018,2011-09-17
709,5246027,2319426,606,336,1.24E-04,1.85E-02,018,2011-09-17
366,5250055,2675721,596,370,1.25E-04,1.54E-02,018,2011-09-17
182,5251465,2843177,578,393,8.88E-05,2.05E-02,018,2011-09-17
43,5247404,3750024,644,547,2.67E-04,2.48E-02,018,2011-09-17
806,5258648,478055,590,68,2.01E-04,1.03E-02,018,2011-09-17
692,5256151,431807,511,66,1.65E-04,1.21E-02,018,2011-09-17
119,5243561,3073144,582,445,1.90E-04,2.22E-02,018,2011-09-17
298,5252653,3156966,614,463,1.95E-04,1.97E-02,018,2011-09-17
75,5252475,3190970,607,453,1.67E-04,2.21E-02,018,2011-09-17
1003,5244096,3226962,820,596,2.01E-04,2.98E-02,018,2011-09-17
910,5245311,2742917,1001,667,4.22E-04,4.88E-02,018,2011-09-17
345,5248579,451421,682,65,2.26E-04,1.12E-02,018,2011-09-17
675,5253439,3224278,601,463,1.46E-04,2.31E-02,018,2011-09-17
86,5244250,388342,584,53,1.55E-04,1.05E-02,018,2011-09-17
721,5244480,3280584,560,434,1.52E-04,2.61E-02,018,2011-09-17
964,5245796,1034092,410,151,1.89E-04,1.63E-02,018,2011-09-17
869,5251087,426582,348,47,1.36E-04,1.28E-02,018,2011-09-17
903,5248547,955194,418,148,1.47E-04,1.76E-02,018,2011-09-17
261,5251873,2429890,529,331,1.75E-04,1.73E-02,018,2011-09-17
775,5257570,2522840,570,390,1.57E-04,1.91E-02,018,2011-09-17
788,5243777,2120577,530,309,1.68E-04,1.73E-02,018,2011-09-17
1008,5253663,2905421,584,433,2.72E-04,2.42E-02,018,2011-09-17
442,5245564,3267700,592,464,2.62E-04,1.95E-02,018,2011-09-17
889,5249698,431811,541,58,2.78E-04,1.53E-02,018,2011-09-17
601,5246527,3459321,582,469,2.12E-04,1.56E-02,018,2011-09-17
149,5246658,3005437,527,386,1.65E-04,2.13E-02,018,2011-09-17
194,5244421,216505,605,30,1.93E-04,1.04E-02,018,2011-09-17
331,5258116,3163198,620,446,1.83E-04,1.86E-02,018,2011-09-17
436,5246524,66158,592,9,2.07E-04,8.82E-03,018,2011-09-17
26,5250960,1831915,507,291,7.85E-05,1.93E-02,018,2011-09-17
214,5252658,453040,565,55,1.02E-04,9.47E-03,018,2011-09-17
819,5247589,3291449,580,453,1.03E-04,2.93E-02,018,2011-09-17
83,5243915,465364,555,65,1.06E-04,9.77E-03,018,2011-09-17
