,,,,,,,,,SIMULATOR_DOMAINS:16
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex2-run57
,,,,,,,,,SIMULATOR_MAIN_D:540
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:MAX_FINGERPRINT
,,,,,,,,,SIMULATOR_REGION_ALGO:TTTD
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.2.156,10.131.3.196,10.131.3.198,10.128.5.124,10.131.3.197,10.129.2.157,10.129.4.17,10.129.4.18
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:270
,,,,,,,,,START_TIME:1638772473.9464350
,,,,,,,,,STOP_TIME:1638772750.8013387
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
25,3626618,2123494,508,383,2.26E-04,2.06E-02,018,2011-09-16
49,6290086,3890646,708,549,1.33E-04,2.94E-02,018,2011-09-16
4,4391617,2684934,490,383,1.48E-04,2.14E-02,018,2011-09-16
16,4064609,2496391,433,333,9.67E-05,1.36E-02,018,2011-09-16
85,6278929,3739070,659,496,8.74E-05,2.67E-02,018,2011-09-16
103,3742857,2316127,394,305,8.58E-05,1.38E-02,018,2011-09-16
91,4741382,2821841,508,384,9.99E-05,1.92E-02,018,2011-09-16
42,4963479,2933836,542,412,9.19E-05,1.88E-02,018,2011-09-16
108,6276368,3642762,667,488,2.32E-04,1.70E-02,018,2011-09-16
106,5563551,3624306,733,571,1.67E-04,1.62E-02,018,2011-09-16
119,3609194,2432805,396,323,1.18E-04,1.12E-02,018,2011-09-16
116,5394145,3706335,618,509,9.88E-05,1.40E-02,018,2011-09-16
61,6283946,3927002,683,532,9.17E-05,2.51E-02,018,2011-09-16
66,4476698,3087213,509,422,1.88E-04,1.79E-02,018,2011-09-16
97,4750740,3208520,529,431,1.06E-04,1.31E-02,018,2011-09-16
116,5394145,0,618,0,1.09E-04,6.54E-03,018,2011-09-16
61,3552072,1296882,426,215,1.64E-04,1.21E-02,018,2011-09-16
106,3594766,2512546,437,358,1.11E-04,1.09E-02,018,2011-09-16
6,4342989,2953032,498,411,9.68E-05,2.03E-02,018,2011-09-16
72,2325527,1569426,274,224,1.24E-04,9.12E-03,018,2011-09-16
2,2390793,540431,263,76,1.63E-04,7.08E-03,018,2011-09-16
124,5115016,2635659,609,391,9.90E-05,1.26E-02,018,2011-09-16
17,2488292,1103276,283,152,1.03E-04,8.27E-03,018,2011-09-16
51,2412286,1250934,266,168,1.16E-04,9.87E-03,018,2011-09-16
33,2332969,1326754,274,195,1.19E-04,9.44E-03,018,2011-09-16
68,2594180,1464454,288,190,1.69E-04,8.58E-03,018,2011-09-16
36,2312507,1122327,252,151,1.19E-04,7.34E-03,018,2011-09-16
104,3871775,2566178,457,372,1.33E-04,1.21E-02,018,2011-09-16
45,6288532,4305334,738,610,2.00E-04,2.25E-02,018,2011-09-16
83,6283845,3206430,620,424,1.80E-04,2.23E-02,018,2011-09-16
1,2886508,1883294,327,265,1.01E-04,1.35E-02,018,2011-09-16
8,4560845,2628635,504,383,1.08E-04,1.89E-02,018,2011-09-16
81,3962215,2374918,475,356,1.23E-04,1.96E-02,018,2011-09-16
85,3909317,2481630,424,333,1.17E-04,1.71E-02,018,2011-09-16
117,6290739,3355322,781,530,1.45E-04,1.61E-02,018,2011-09-16
88,2534924,2175433,637,537,1.88E-04,2.28E-02,018,2011-09-16
105,3128134,1485601,602,383,1.62E-04,1.35E-02,018,2011-09-16
102,6284002,3400620,790,532,1.30E-04,1.65E-02,018,2011-09-16
26,2997413,1989011,321,259,1.54E-04,1.11E-02,018,2011-09-16
92,6282355,3839312,733,566,1.45E-04,2.76E-02,018,2011-09-16
41,6280297,3917721,676,523,1.06E-04,1.94E-02,018,2011-09-16
13,3809612,1280926,337,182,9.22E-05,1.38E-02,018,2011-09-16
107,6290064,476718,413,54,8.00E-05,1.07E-02,018,2011-09-16
70,6287799,987029,487,152,1.01E-04,1.42E-02,018,2011-09-16
16,6275606,2758100,631,385,1.08E-04,1.92E-02,018,2011-09-16
0,6276514,3058265,707,477,1.03E-04,2.57E-02,018,2011-09-16
40,6289043,3195173,661,457,9.34E-05,2.57E-02,018,2011-09-16
99,6289433,3427862,678,492,1.11E-04,1.84E-02,018,2011-09-16
117,2633958,1745621,297,238,2.21E-04,8.58E-03,018,2011-09-16
15,3362184,1588488,332,221,9.27E-05,1.35E-02,018,2011-09-16
64,5492393,3573957,606,484,1.26E-04,1.92E-02,018,2011-09-16
53,6275601,3695447,647,482,9.99E-05,2.45E-02,018,2011-09-16
63,2509484,1641132,285,232,1.82E-04,1.17E-02,018,2011-09-16
29,6286396,3369116,736,474,1.07E-04,2.10E-02,018,2011-09-16
45,2484776,1799203,286,243,1.05E-04,1.02E-02,018,2011-09-16
73,6287216,1997669,601,309,1.08E-04,1.83E-02,018,2011-09-16
0,4875780,3096808,566,450,2.41E-04,2.26E-02,018,2011-09-16
96,6288369,4054029,691,547,2.11E-04,1.75E-02,018,2011-09-16
84,6289655,3388247,648,461,1.95E-04,2.48E-02,018,2011-09-16
78,4690372,3020225,507,403,2.07E-04,1.58E-02,018,2011-09-16
52,6290515,3998327,695,544,1.13E-04,2.61E-02,018,2011-09-16
105,2821644,1997519,329,278,1.73E-04,9.25E-03,018,2011-09-16
78,6282122,3588853,665,489,1.06E-04,1.86E-02,018,2011-09-16
90,6289049,4024365,696,550,1.25E-04,2.61E-02,018,2011-09-16
50,6290392,3673224,657,491,1.23E-04,2.57E-02,018,2011-09-16
30,5738900,4540865,1810,1105,3.60E-04,4.92E-02,018,2011-09-16
88,4529147,2129879,704,444,2.48E-04,2.65E-02,018,2011-09-16
69,6278504,2976517,682,466,9.81E-05,2.02E-02,018,2011-09-16
44,4534912,3164640,1035,803,2.48E-04,2.85E-02,018,2011-09-16
14,4850401,2298845,629,423,2.83E-04,2.31E-02,018,2011-09-16
49,6290931,3974314,973,653,1.37E-04,3.41E-02,018,2011-09-16
28,3450977,2288580,548,384,2.49E-04,1.76E-02,018,2011-09-16
122,6287270,3175945,933,595,2.49E-04,1.95E-02,018,2011-09-16
111,3335393,432737,259,65,7.88E-05,7.11E-03,018,2011-09-16
102,2806180,1287304,267,167,1.02E-04,6.97E-03,018,2011-09-16
8,6279358,480032,461,59,7.00E-05,2.00E-02,018,2011-09-16
111,6290974,227429,418,30,7.67E-05,7.96E-03,018,2011-09-16
73,4642594,615748,387,88,7.26E-05,1.37E-02,018,2011-09-16
86,4557571,329539,326,51,7.70E-05,1.40E-02,018,2011-09-16
102,6097210,774161,585,153,1.34E-04,1.25E-02,018,2011-09-16
102,4620647,393329,368,55,7.86E-05,8.88E-03,018,2011-09-16
45,6285409,285537,401,30,7.01E-05,1.49E-02,018,2011-09-16
8,6286598,1324489,497,171,7.19E-05,1.87E-02,018,2011-09-16
3,2834892,494722,252,75,7.90E-05,1.07E-02,018,2011-09-16
112,4956783,536359,371,81,8.40E-05,9.66E-03,018,2011-09-16
102,4657242,493124,457,108,1.81E-04,1.04E-02,018,2011-09-16
33,6024441,399672,420,45,9.43E-05,1.46E-02,018,2011-09-16
50,6290408,881361,485,122,7.22E-05,1.91E-02,018,2011-09-16
95,6290312,385602,449,46,7.70E-05,1.84E-02,018,2011-09-16
70,3254045,173853,207,19,7.75E-05,8.95E-03,018,2011-09-16
67,6286061,396413,450,55,1.55E-04,1.60E-02,018,2011-09-16
0,2421867,192447,161,20,8.10E-05,8.09E-03,018,2011-09-16
109,4753248,238858,308,30,7.60E-05,8.54E-03,018,2011-09-16
115,2902172,987264,334,201,1.63E-04,8.71E-03,018,2011-09-16
25,2183736,238977,362,47,2.83E-04,8.20E-03,018,2011-09-17
14,6288359,3151375,638,438,1.23E-04,2.47E-02,018,2011-09-17
127,3122916,2267201,372,314,1.64E-04,1.73E-02,018,2011-09-17
17,4010904,2842757,479,401,1.24E-04,1.63E-02,018,2011-09-17
102,6290791,3728773,665,500,1.11E-04,1.63E-02,018,2011-09-17
65,6276006,3706336,661,497,1.19E-04,2.11E-02,018,2011-09-17
87,4731679,2836704,508,387,9.92E-05,2.04E-02,018,2011-09-17
35,4075750,2553557,445,346,1.49E-04,1.57E-02,018,2011-09-17
11,2127297,1292611,228,176,1.05E-04,1.14E-02,018,2011-09-17
47,6286562,3642643,679,495,1.11E-04,2.10E-02,018,2011-09-17
126,6279007,3764968,705,528,1.01E-04,2.40E-02,018,2011-09-17
3,2847938,1977498,409,339,1.42E-04,1.56E-02,018,2011-09-17
119,3609194,0,396,0,1.17E-04,6.28E-03,018,2011-09-17
116,5394145,0,618,0,1.08E-04,8.83E-03,018,2011-09-17
61,6283946,0,683,0,1.10E-04,9.84E-03,018,2011-09-17
66,4476698,0,509,0,1.43E-04,6.75E-03,018,2011-09-17
97,4750740,0,529,0,1.54E-04,6.04E-03,018,2011-09-17
116,5394145,0,618,0,1.01E-04,1.49E-02,018,2011-09-17
61,3552072,0,426,0,1.03E-04,6.31E-03,018,2011-09-17
106,3594766,0,437,0,1.21E-04,4.87E-03,018,2011-09-17
6,4342989,0,498,0,1.14E-04,7.42E-03,018,2011-09-17
72,2325527,0,274,0,1.22E-04,4.42E-03,018,2011-09-17
2,2390793,0,263,0,1.10E-04,4.66E-03,018,2011-09-17
124,5115016,0,609,0,1.18E-04,6.89E-03,018,2011-09-17
17,2488292,0,283,0,1.01E-04,4.82E-03,018,2011-09-17
51,2412286,0,266,0,1.14E-04,6.61E-03,018,2011-09-17
33,2332969,0,274,0,1.21E-04,4.65E-03,018,2011-09-17
68,2594180,0,288,0,1.06E-04,4.48E-03,018,2011-09-17
36,2312507,0,252,0,9.43E-05,4.07E-03,018,2011-09-17
104,3871775,0,457,0,1.14E-04,4.99E-03,018,2011-09-17
45,6288532,0,738,0,1.41E-04,8.15E-03,018,2011-09-17
83,6283845,0,620,0,1.02E-04,9.03E-03,018,2011-09-17
1,2886508,0,327,0,1.00E-04,5.70E-03,018,2011-09-17
8,4560845,0,504,0,1.04E-04,7.37E-03,018,2011-09-17
81,3962215,0,475,0,1.27E-04,6.76E-03,018,2011-09-17
85,3909317,0,424,0,1.01E-04,6.57E-03,018,2011-09-17
117,6290739,0,781,0,1.47E-04,8.33E-03,018,2011-09-17
88,2534924,0,637,0,1.80E-04,9.38E-03,018,2011-09-17
105,3128134,0,602,0,1.60E-04,5.93E-03,018,2011-09-17
102,6282220,10366,793,6,9.98E-05,8.02E-03,018,2011-09-17
26,3009465,12052,323,2,1.44E-04,5.12E-03,018,2011-09-17
92,6282355,0,733,0,1.51E-04,1.07E-02,018,2011-09-17
41,6280297,0,676,0,9.77E-05,8.08E-03,018,2011-09-17
13,3809612,0,337,0,1.18E-04,5.77E-03,018,2011-09-17
107,6290064,0,413,0,7.19E-05,1.59E-02,018,2011-09-17
70,6287799,0,487,0,7.97E-05,6.26E-03,018,2011-09-17
16,6275606,0,631,0,9.60E-05,7.70E-03,018,2011-09-17
0,6276514,0,707,0,1.17E-04,9.84E-03,018,2011-09-17
40,6289043,0,661,0,9.57E-05,7.81E-03,018,2011-09-17
99,6289433,0,678,0,9.65E-05,6.85E-03,018,2011-09-17
117,2633958,0,297,0,1.54E-04,4.18E-03,018,2011-09-17
15,3362184,0,332,0,8.95E-05,5.71E-03,018,2011-09-17
64,5492393,0,606,0,1.02E-04,6.90E-03,018,2011-09-17
53,6275601,0,647,0,9.79E-05,9.08E-03,018,2011-09-17
63,2509484,0,285,0,1.24E-04,4.79E-03,018,2011-09-17
29,6286396,0,736,0,1.12E-04,8.62E-03,018,2011-09-17
45,2484776,0,286,0,1.09E-04,7.07E-03,018,2011-09-17
73,6287216,0,601,0,1.00E-04,7.25E-03,018,2011-09-17
0,4875780,0,566,0,1.40E-04,8.72E-03,018,2011-09-17
96,6288369,0,691,0,1.02E-04,6.72E-03,018,2011-09-17
84,6289655,0,648,0,1.11E-04,9.10E-03,018,2011-09-17
78,4690372,0,507,0,1.41E-04,6.22E-03,018,2011-09-17
52,6290515,0,695,0,1.03E-04,9.52E-03,018,2011-09-17
105,2821644,0,329,0,1.25E-04,4.10E-03,018,2011-09-17
78,6282122,0,665,0,1.03E-04,7.67E-03,018,2011-09-17
90,6289049,0,696,0,1.24E-04,9.69E-03,018,2011-09-17
50,6290392,0,657,0,1.54E-04,9.33E-03,018,2011-09-17
