,,,,,,,,,SIMULATOR_DOMAINS:16
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex2-run60
,,,,,,,,,SIMULATOR_MAIN_D:-
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:MAX_FINGERPRINT
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_REGION_ALGO:AE
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.128.5.130,10.131.3.205,10.129.4.25,10.128.5.129,10.129.2.163,10.129.4.26,10.129.2.164,10.131.3.204
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:-
,,,,,,,,,START_TIME:1638773389.3849182
,,,,,,,,,STOP_TIME:1638773603.3475828
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
25,7340902,4068697,897,654,2.20E-04,3.55E-02,018,2011-09-16
69,7344662,4739837,849,673,1.79E-04,3.51E-02,018,2011-09-16
43,7344502,4361463,773,575,9.87E-05,2.00E-02,018,2011-09-16
107,7353038,4463087,783,598,1.07E-04,3.27E-02,018,2011-09-16
70,7344227,4378753,786,591,9.00E-05,3.02E-02,018,2011-09-16
120,7347812,4100911,786,560,9.85E-05,2.50E-02,018,2011-09-16
28,7355216,4819340,925,721,1.55E-04,2.93E-02,018,2011-09-16
2,7341764,5035045,839,688,1.49E-04,3.39E-02,018,2011-09-16
61,7340805,4631614,807,629,1.30E-04,3.19E-02,018,2011-09-16
111,7343032,4905087,820,659,1.59E-04,3.18E-02,018,2011-09-16
15,7343454,4833044,821,658,9.50E-05,3.06E-02,018,2011-09-16
97,7347259,4927293,895,716,1.36E-04,3.20E-02,018,2011-09-16
106,7344530,4091050,851,581,1.16E-04,2.73E-02,018,2011-09-16
108,7353530,3245631,865,485,1.02E-04,2.56E-02,018,2011-09-16
14,7344361,3426167,822,468,1.07E-04,2.43E-02,018,2011-09-16
9,7346708,4252932,853,610,1.16E-04,2.94E-02,018,2011-09-16
