,,,,,,,,,SIMULATOR_DOMAINS:128
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex2-run63
,,,,,,,,,SIMULATOR_MAIN_D:540
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:MAX_FINGERPRINT
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_REGION_ALGO:AE
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.128.5.57,10.129.5.193,10.131.3.98,10.128.5.56,10.129.5.194,10.129.2.82
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:270
,,,,,,,,,START_TIME:1638755235.4488628
,,,,,,,,,STOP_TIME:1638755454.6883411
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
153,5243633,3039229,687,516,2.30E-04,2.15E-02,018,2011-09-16
678,5251234,3418938,608,484,1.01E-04,2.56E-02,018,2011-09-16
610,5255248,3076098,550,413,1.14E-04,2.00E-02,018,2011-09-16
176,5251473,3160821,566,426,1.25E-04,1.43E-02,018,2011-09-16
579,5253581,3088376,553,416,1.02E-04,1.48E-02,018,2011-09-16
154,5243919,3285332,561,435,9.25E-05,1.50E-02,018,2011-09-16
596,5249254,3108262,564,427,1.80E-04,1.55E-02,018,2011-09-16
504,5251470,2929657,564,402,9.53E-05,2.40E-02,018,2011-09-16
696,5249827,3258358,594,451,9.64E-05,2.14E-02,018,2011-09-16
259,5244440,3537675,671,549,1.67E-04,2.16E-02,018,2011-09-16
15,5252743,3666787,610,508,9.64E-05,2.36E-02,018,2011-09-16
704,5256893,3185425,552,419,8.88E-05,1.96E-02,018,2011-09-16
279,5248817,3632337,607,503,9.74E-05,1.90E-02,018,2011-09-16
656,5244379,3560499,582,473,9.51E-05,2.11E-02,018,2011-09-16
15,5246966,131450,612,18,9.55E-05,8.67E-03,018,2011-09-16
704,5244680,1789549,610,285,9.18E-05,1.60E-02,018,2011-09-16
644,5243810,3611098,617,504,1.69E-04,2.23E-02,018,2011-09-16
482,5244419,3119227,608,443,1.79E-04,2.21E-02,018,2011-09-16
571,5246997,2087615,605,303,9.49E-05,1.40E-02,018,2011-09-16
169,5245667,2579426,617,374,1.50E-04,1.37E-02,018,2011-09-16
259,5253753,2479596,587,343,8.99E-05,1.46E-02,018,2011-09-16
478,5244553,2869724,589,397,1.01E-04,1.99E-02,018,2011-09-16
164,5246275,3634437,634,528,1.11E-04,1.60E-02,018,2011-09-16
238,5244442,3495673,587,478,1.36E-04,1.70E-02,018,2011-09-16
513,5247777,2544595,510,341,9.84E-05,1.56E-02,018,2011-09-16
339,5248516,2961491,581,437,9.54E-05,1.75E-02,018,2011-09-16
721,5245055,3210364,627,478,9.97E-05,2.26E-02,018,2011-09-16
384,5252536,3261484,594,453,8.82E-05,2.15E-02,018,2011-09-16
124,5246222,3055693,744,520,9.33E-05,2.53E-02,018,2011-09-16
331,5245930,2849975,1082,736,2.46E-04,3.02E-02,018,2011-09-16
742,5247845,2916271,681,468,9.50E-05,2.21E-02,018,2011-09-16
410,5251313,3347130,613,484,1.53E-04,2.25E-02,018,2011-09-16
8,5250886,3257372,575,444,1.14E-04,2.10E-02,018,2011-09-16
422,5247343,3281051,566,439,9.23E-05,2.09E-02,018,2011-09-16
525,5252796,1352388,432,192,9.53E-05,1.45E-02,018,2011-09-16
570,5248409,436789,345,48,8.07E-05,1.12E-02,018,2011-09-16
153,5258979,483462,358,61,7.09E-05,9.48E-03,018,2011-09-16
41,5258277,2758270,572,390,1.34E-04,2.12E-02,018,2011-09-16
80,5243005,2473325,571,384,1.17E-04,2.16E-02,018,2011-09-16
426,5257309,2131609,532,312,8.49E-05,1.91E-02,018,2011-09-16
594,5247832,2883261,583,428,8.19E-05,1.74E-02,018,2011-09-16
485,5247734,2978881,583,434,8.72E-05,2.16E-02,018,2011-09-16
629,5251883,2764031,539,378,9.12E-05,1.65E-02,018,2011-09-16
320,5245031,3355810,570,451,8.88E-05,1.78E-02,018,2011-09-16
565,5252187,3047398,547,407,9.33E-05,1.70E-02,018,2011-09-16
309,5252064,3243657,589,444,9.06E-05,1.76E-02,018,2011-09-16
737,5248213,3044571,621,433,1.23E-04,2.11E-02,018,2011-09-16
45,5250214,3248227,626,468,9.49E-05,2.23E-02,018,2011-09-16
386,5251810,1458946,483,239,7.22E-05,1.78E-02,018,2011-09-16
762,5243271,3348090,565,446,1.02E-04,2.02E-02,018,2011-09-16
196,5254332,3482014,587,474,1.10E-04,1.46E-02,018,2011-09-16
143,5248394,2812652,541,386,8.07E-05,1.28E-02,018,2011-09-16
78,5254253,3291356,565,441,1.05E-04,2.08E-02,018,2011-09-16
610,5253963,3334198,574,451,1.12E-04,1.88E-02,018,2011-09-16
745,5250136,3514355,599,487,1.18E-04,2.22E-02,018,2011-09-16
129,5249184,3076895,554,414,1.09E-04,1.57E-02,018,2011-09-16
253,5258018,3321970,581,457,1.01E-04,1.48E-02,018,2011-09-16
306,5244611,2984689,539,398,8.41E-05,1.60E-02,018,2011-09-16
762,5244771,4155573,1466,932,1.78E-04,4.73E-02,018,2011-09-16
320,5249768,2886786,1090,681,3.04E-04,3.00E-02,018,2011-09-16
214,5252750,2127512,528,330,1.08E-04,1.48E-02,018,2011-09-16
140,5258844,3426912,1031,790,1.33E-04,2.43E-02,018,2011-09-16
730,5250761,2706354,777,550,1.92E-04,2.75E-02,018,2011-09-16
565,5253676,3421668,833,561,1.36E-04,2.66E-02,018,2011-09-16
13,5243097,3425701,836,580,8.76E-05,2.99E-02,018,2011-09-16
34,5253028,2885911,789,530,2.29E-04,4.87E-02,018,2011-09-16
95,5246921,1009033,426,142,1.31E-04,1.79E-02,018,2011-09-16
483,5257629,1057018,425,133,8.72E-05,1.77E-02,018,2011-09-16
310,5247578,261984,356,31,7.65E-05,1.26E-02,018,2011-09-16
86,5244729,371603,365,51,7.80E-05,1.44E-02,018,2011-09-16
