,,,,,,,,,SIMULATOR_DOMAINS:128
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex2-run64
,,,,,,,,,SIMULATOR_MAIN_D:540
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:MAX_FINGERPRINT
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_REGION_ALGO:AE
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.128.5.58,10.131.3.101,10.128.5.59,10.131.3.99,10.129.2.83,10.131.3.100,10.129.5.195,10.129.2.84
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:270
,,,,,,,,,START_TIME:1638755496.5487313
,,,,,,,,,STOP_TIME:1638755711.6922221
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
921,7340902,4068697,897,654,2.35E-04,3.67E-02,018,2011-09-16
581,7344662,4739837,849,673,1.46E-04,3.56E-02,018,2011-09-16
555,7344502,4361463,773,575,9.04E-05,2.91E-02,018,2011-09-16
107,7353038,4463087,783,598,9.77E-05,3.22E-02,018,2011-09-16
454,7344227,4378753,786,591,1.12E-04,2.59E-02,018,2011-09-16
248,7347812,4100911,786,560,1.57E-04,2.56E-02,018,2011-09-16
284,7355216,4819340,925,721,9.52E-05,3.32E-02,018,2011-09-16
2,7341764,5035045,839,688,1.63E-04,3.24E-02,018,2011-09-16
957,7340805,4631614,807,629,1.01E-04,2.97E-02,018,2011-09-16
111,7343032,4905087,820,659,1.12E-04,3.63E-02,018,2011-09-16
783,7343454,4833044,821,658,1.48E-04,2.19E-02,018,2011-09-16
993,7347259,4927293,895,716,2.00E-04,3.30E-02,018,2011-09-16
874,7344530,4091050,851,581,1.05E-04,1.54E-02,018,2011-09-16
108,7353530,3245631,865,485,9.61E-05,2.60E-02,018,2011-09-16
654,7344361,3426167,822,468,9.61E-05,2.26E-02,018,2011-09-16
