,,,,,,,,,SIMULATOR_DOMAINS:16
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex2-run65
,,,,,,,,,SIMULATOR_MAIN_D:540
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:Q_LEARNING
,,,,,,,,,SIMULATOR_BIT_MASK:-
,,,,,,,,,SIMULATOR_REGION_ALGO:TTTD
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.131.3.218,10.129.4.36,10.129.2.175,10.129.2.174,10.131.3.217,10.129.4.35,10.128.5.137,10.131.3.219
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:270
,,,,,,,,,START_TIME:1638774795.7654538
,,,,,,,,,STOP_TIME:1638775083.4468884
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
123,3626618,2123494,508,383,3.74E-04,1.97E-02,018,2011-09-16
43,6290086,3890646,708,549,3.02E-04,3.06E-02,018,2011-09-16
77,4391617,2684934,490,383,3.18E-04,1.85E-02,018,2011-09-16
26,4064609,2496391,433,333,1.90E-04,1.44E-02,018,2011-09-16
116,6278929,3739070,659,496,1.89E-04,1.94E-02,018,2011-09-16
55,3742857,2316127,394,305,2.30E-04,1.71E-02,018,2011-09-16
79,4741382,2821841,508,384,3.32E-04,1.73E-02,018,2011-09-16
74,4963479,2933836,542,412,3.02E-04,1.71E-02,018,2011-09-16
37,6276368,3642762,667,488,2.11E-04,3.38E-02,018,2011-09-16
0,5563551,3624306,733,571,2.62E-04,2.41E-02,018,2011-09-16
50,3609194,2432805,396,323,1.99E-04,1.68E-02,018,2011-09-16
50,5394145,3706335,618,509,3.26E-04,2.22E-02,018,2011-09-16
80,6283946,3927002,683,532,2.09E-04,1.83E-02,018,2011-09-16
36,4476698,3087213,509,422,2.08E-04,2.00E-02,018,2011-09-16
80,4750740,1802265,529,226,1.98E-04,1.07E-02,018,2011-09-16
50,5394145,0,618,0,1.94E-04,8.92E-03,018,2011-09-16
80,3552072,1296846,426,214,3.32E-04,9.20E-03,018,2011-09-16
23,3594766,2512582,437,359,2.09E-04,1.29E-02,018,2011-09-16
82,4342989,2953032,498,411,4.77E-04,1.96E-02,018,2011-09-16
116,2325527,1569426,274,224,4.80E-04,2.04E-02,018,2011-09-16
49,2390793,540431,263,76,4.92E-04,2.14E-02,018,2011-09-16
49,5115016,2425593,609,364,4.72E-04,1.97E-02,018,2011-09-16
49,2488292,889810,283,124,4.47E-04,2.16E-01,018,2011-09-16
49,2412286,1037468,266,140,4.01E-04,9.51E-03,018,2011-09-16
63,2332969,1326754,274,195,2.03E-04,1.03E-02,018,2011-09-16
49,2594180,1260170,288,164,1.88E-04,9.94E-03,018,2011-09-16
49,2312507,912261,252,124,1.93E-04,9.00E-03,018,2011-09-16
49,3871775,2374348,457,347,1.93E-04,1.77E-02,018,2011-09-16
40,6288532,4305334,738,610,2.08E-04,2.89E-02,018,2011-09-16
61,6283845,3206430,620,424,3.06E-04,2.32E-02,018,2011-09-16
13,2886508,1883294,327,265,1.96E-04,1.18E-02,018,2011-09-16
53,4560845,2628635,504,383,2.02E-04,1.94E-02,018,2011-09-16
1,3962215,2374918,475,356,2.84E-04,1.47E-02,018,2011-09-16
63,3909317,2481630,424,333,2.21E-04,1.71E-02,018,2011-09-16
39,6290739,3355322,781,530,2.18E-04,2.76E-02,018,2011-09-16
111,2534924,2175433,637,537,2.02E-04,2.59E-02,018,2011-09-16
75,3128134,1485601,602,383,2.53E-04,1.65E-02,018,2011-09-16
1,6284002,3400584,790,531,2.48E-04,2.25E-02,018,2011-09-16
125,2997413,1989011,321,259,1.93E-04,1.15E-02,018,2011-09-16
34,6282355,3839312,733,566,2.07E-04,4.57E-02,018,2011-09-16
36,6280297,3917721,676,523,1.97E-04,5.81E-02,018,2011-09-16
73,3809612,1280926,337,182,4.24E-04,1.10E-02,018,2011-09-16
50,6290064,476718,413,54,2.00E-04,1.66E-02,018,2011-09-16
63,6287799,987029,487,152,2.47E-04,1.73E-02,018,2011-09-16
39,6275606,2758064,631,384,2.24E-04,2.37E-02,018,2011-09-16
13,6276514,3058265,707,477,2.27E-04,2.12E-02,018,2011-09-16
125,6289043,3195173,661,457,3.77E-04,2.06E-02,018,2011-09-16
42,6289433,3427862,678,492,3.58E-04,2.69E-02,018,2011-09-16
86,2633958,1745621,297,238,2.05E-04,8.67E-03,018,2011-09-16
53,3362184,1588488,332,221,2.56E-04,1.44E-02,018,2011-09-16
64,5492393,3573957,606,484,2.68E-04,1.79E-02,018,2011-09-16
7,6275601,3695447,647,482,2.82E-04,1.89E-02,018,2011-09-16
