,,,,,,,,,SIMULATOR_DOMAINS:128
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex3-run157
,,,,,,,,,SIMULATOR_MAIN_D:-
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:MAX_FINGERPRINT
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_Q_LEARNING:True
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.5.211,10.129.2.99,10.131.3.121,10.128.5.74,10.131.3.119,10.128.5.73,10.131.3.120,10.129.2.98
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:-
,,,,,,,,,START_TIME:1638759257.2382934
,,,,,,,,,STOP_TIME:1638759465.7345920
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
921,4414495,2528000,585,436,5.18E-04,3.04E-02,018,2011-09-16
305,6285830,4089548,742,592,2.74E-04,2.37E-02,018,2011-09-16
358,6283425,3732550,665,503,2.68E-04,1.91E-02,018,2011-09-16
106,6279510,3682068,659,492,2.61E-04,1.78E-02,018,2011-09-16
294,6284664,3854274,670,514,4.58E-04,2.05E-02,018,2011-09-16
454,5795046,3335868,613,454,2.92E-04,2.55E-02,018,2011-09-16
305,2582098,1610851,287,226,2.75E-04,9.22E-03,018,2011-09-16
462,6290809,3617179,669,487,2.88E-04,2.46E-02,018,2011-09-16
284,6286669,4192124,814,642,3.71E-04,2.18E-02,018,2011-09-16
358,6284040,4211938,716,583,2.67E-04,2.04E-02,018,2011-09-16
561,3552324,2205502,376,291,2.98E-04,1.43E-02,018,2011-09-16
993,6288730,4158891,708,569,2.71E-04,2.61E-02,018,2011-09-16
31,3725048,2575045,422,347,3.13E-04,1.26E-02,018,2011-09-16
993,6284879,2010453,711,248,3.18E-04,1.82E-02,018,2011-09-16
373,4606872,2912421,498,390,2.78E-04,1.46E-02,018,2011-09-16
993,2229231,1370080,295,223,3.22E-04,1.18E-02,018,2011-09-16
746,6287395,4241449,739,597,2.97E-04,2.84E-02,018,2011-09-16
482,3564044,2458768,424,352,2.77E-04,1.64E-02,018,2011-09-16
156,4934296,1210769,553,177,2.60E-04,1.56E-02,018,2011-09-16
67,2493776,1707883,301,250,2.95E-04,8.20E-03,018,2011-09-16
377,6278485,2792847,728,406,2.85E-04,1.64E-02,018,2011-09-16
884,5321613,2621403,581,343,2.68E-04,1.73E-02,018,2011-09-16
427,6282761,4026166,757,596,2.64E-04,2.67E-02,018,2011-09-16
571,5897052,3961323,673,549,3.04E-04,2.10E-02,018,2011-09-16
704,6285488,3202031,616,420,2.72E-04,2.11E-02,018,2011-09-16
604,6290336,3678031,697,531,2.75E-04,1.91E-02,018,2011-09-16
593,6281243,3869886,734,561,3.52E-04,2.17E-02,018,2011-09-16
699,6277660,3396593,710,489,2.82E-04,2.46E-02,018,2011-09-16
25,6291399,4268215,1293,947,4.97E-04,2.57E-02,018,2011-09-16
461,6287770,2902097,851,522,5.06E-04,2.83E-02,018,2011-09-16
157,2885844,1946870,324,266,4.54E-04,1.50E-02,018,2011-09-16
698,6286054,3789427,721,553,4.19E-04,2.74E-02,018,2011-09-16
277,3885317,2498294,423,335,5.18E-04,1.49E-02,018,2011-09-16
987,6291396,3532034,664,490,4.73E-04,2.62E-02,018,2011-09-16
517,6275397,429283,412,51,4.03E-04,1.38E-02,018,2011-09-16
219,6284398,203383,399,20,4.75E-04,1.40E-02,018,2011-09-16
788,6287751,3176564,680,457,6.00E-04,2.18E-02,018,2011-09-16
80,3913310,2045005,430,308,5.02E-04,1.15E-02,018,2011-09-16
170,2559156,1072972,268,171,4.50E-04,1.14E-02,018,2011-09-16
49,6289418,3014900,677,451,5.35E-04,1.73E-02,018,2011-09-16
170,4599311,2283184,493,338,4.55E-04,2.19E-02,018,2011-09-16
187,6280551,3656276,666,497,4.30E-04,2.56E-02,018,2011-09-16
88,6283087,3958632,687,539,3.89E-04,2.00E-02,018,2011-09-16
435,6279411,3575038,652,480,2.74E-04,2.63E-02,018,2011-09-16
565,6289246,3588264,721,497,2.31E-04,2.14E-02,018,2011-09-16
450,6287250,4086314,717,559,5.84E-04,2.71E-02,018,2011-09-16
713,6280910,2155239,615,334,4.40E-04,2.31E-02,018,2011-09-16
640,6281941,3827699,713,551,4.58E-04,2.69E-02,018,2011-09-16
829,6285546,4104030,694,553,4.00E-04,2.76E-02,018,2011-09-16
399,2339137,851354,207,115,4.50E-04,9.23E-03,018,2011-09-16
88,6285909,3403944,703,461,4.30E-04,1.92E-02,018,2011-09-16
743,6288556,3600620,675,490,4.05E-04,2.50E-02,018,2011-09-16
502,3969223,2822575,459,386,4.47E-04,2.76E-02,018,2011-09-16
877,6290771,3597502,666,490,4.40E-04,2.16E-02,018,2011-09-16
474,6283928,4035628,696,551,5.46E-04,2.68E-02,018,2011-09-16
818,3859932,2084810,390,280,5.15E-04,1.32E-02,018,2011-09-16
594,3850725,2897981,876,623,5.44E-04,2.73E-02,018,2011-09-16
491,6285107,4038818,1554,950,5.13E-04,5.01E-02,018,2011-09-16
200,6288210,2596424,665,405,5.03E-04,2.49E-02,018,2011-09-16
363,4187175,2734414,609,494,3.25E-04,2.00E-02,018,2011-09-16
977,3178719,2438777,886,694,6.45E-04,4.03E-02,018,2011-09-16
398,6291253,3184578,779,524,8.33E-04,2.91E-02,018,2011-09-16
759,6276478,4006842,1068,701,4.22E-04,3.81E-02,018,2011-09-16
293,6286194,3990971,990,690,4.18E-04,2.76E-02,018,2011-09-16
151,5101475,701901,415,121,3.85E-04,1.63E-02,018,2011-09-16
998,6277192,1579659,528,205,3.75E-04,2.08E-02,018,2011-09-16
822,5193427,283607,361,34,2.86E-04,1.23E-02,018,2011-09-16
342,6278954,427924,433,56,2.54E-04,1.31E-02,018,2011-09-16
865,2269533,415253,211,62,2.68E-04,7.55E-03,018,2011-09-16
342,4956628,316058,367,53,2.50E-04,7.14E-03,018,2011-09-16
685,5698153,640308,544,138,3.30E-04,2.00E-02,018,2011-09-16
998,3713071,312637,283,42,2.94E-04,1.19E-02,018,2011-09-16
881,6282268,343066,429,41,2.72E-04,1.34E-02,018,2011-09-16
648,6284225,1283426,475,164,2.53E-04,2.11E-02,018,2011-09-16
348,3747982,564576,331,86,3.92E-04,1.08E-02,018,2011-09-16
240,4956783,536359,371,81,2.66E-04,1.77E-02,018,2011-09-16
998,6290101,654021,588,137,4.85E-04,2.25E-02,018,2011-09-16
12,3933737,240274,260,28,3.88E-04,9.55E-03,018,2011-09-16
250,6288664,870305,478,119,2.59E-04,1.82E-02,018,2011-09-16
31,6287159,431859,456,52,3.91E-04,2.40E-02,018,2011-09-16
737,6280477,363143,413,47,3.36E-04,1.68E-02,018,2011-09-16
919,6287972,385182,443,45,2.61E-04,1.64E-02,018,2011-09-16
493,6290150,573834,454,93,2.62E-04,1.73E-02,018,2011-09-16
491,1221536,644897,179,138,3.02E-04,7.80E-03,018,2011-09-16
921,4352789,672338,589,100,4.73E-04,1.32E-02,018,2011-09-17
381,6290267,3424413,665,478,2.62E-04,2.05E-02,018,2011-09-17
804,6290037,4247166,729,591,3.01E-04,2.16E-02,018,2011-09-17
77,6279953,3791198,665,505,2.28E-04,2.29E-02,018,2011-09-17
313,6285944,3680903,670,505,2.45E-04,2.32E-02,018,2011-09-17
848,3221067,2052425,347,274,2.41E-04,1.25E-02,018,2011-09-17
35,6289635,3843266,684,520,4.18E-04,1.95E-02,018,2011-09-17
815,3492250,2087549,371,280,2.63E-04,1.23E-02,018,2011-09-17
462,6290809,2062304,674,249,3.23E-04,1.86E-02,018,2011-09-17
284,6291244,673509,819,88,3.11E-04,1.24E-02,018,2011-09-17
358,6284040,0,716,0,2.83E-04,8.23E-03,018,2011-09-17
561,3552324,0,376,0,2.74E-04,5.45E-03,018,2011-09-17
993,6288730,0,708,0,2.82E-04,1.00E-02,018,2011-09-17
31,3725048,0,422,0,4.74E-04,6.51E-03,018,2011-09-17
993,6284879,0,711,0,5.78E-04,9.24E-03,018,2011-09-17
373,4606872,0,498,0,4.41E-04,6.36E-03,018,2011-09-17
993,2229231,0,295,0,3.12E-04,5.40E-03,018,2011-09-17
746,6287395,0,739,0,2.96E-04,1.02E-02,018,2011-09-17
482,3564044,0,424,0,2.78E-04,6.20E-03,018,2011-09-17
156,4934296,0,553,0,2.77E-04,8.30E-03,018,2011-09-17
67,2493776,0,301,0,3.57E-04,4.63E-03,018,2011-09-17
377,6278485,0,728,0,2.99E-04,8.36E-03,018,2011-09-17
884,5321613,0,581,0,3.19E-04,7.35E-03,018,2011-09-17
427,6282761,0,757,0,3.24E-04,9.61E-03,018,2011-09-17
571,5897052,0,673,0,2.76E-04,7.94E-03,018,2011-09-17
