,,,,,,,,,SIMULATOR_DOMAINS:16
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex3-run159
,,,,,,,,,SIMULATOR_MAIN_D:-
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:MAX_FINGERPRINT
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_Q_LEARNING:True
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_014018019
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.128.5.77,10.131.3.125,10.129.2.103,10.128.5.78,10.129.2.102,10.131.3.126,10.129.5.213,10.129.5.214
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:-
,,,,,,,,,START_TIME:1638759758.1285894
,,,,,,,,,STOP_TIME:1638760526.0437381
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
17,6277532,2842073,725,408,6.46E-04,2.16E-02,014,2011-09-16
110,5142370,2488432,562,327,2.94E-04,1.50E-02,014,2011-09-16
43,4760132,2998717,537,412,3.18E-04,2.51E-02,014,2011-09-16
48,4809418,2852351,630,482,2.79E-04,2.60E-02,014,2011-09-16
49,2425446,1300517,260,188,2.35E-04,1.10E-02,014,2011-09-16
105,6286673,2859497,724,411,2.97E-04,1.83E-02,014,2011-09-16
60,5077082,3511705,582,480,2.65E-04,3.75E-02,014,2011-09-16
48,3805288,2196019,458,314,4.67E-04,1.63E-02,014,2011-09-16
120,6235875,4015093,788,587,3.38E-04,1.90E-02,014,2011-09-16
84,6291149,4113293,728,586,3.03E-04,2.55E-02,014,2011-09-16
30,6171204,3853695,732,556,3.23E-04,2.10E-02,014,2011-09-16
45,3431287,2498507,427,368,2.60E-04,1.71E-02,014,2011-09-16
51,6288450,3496355,649,470,2.80E-04,2.44E-02,014,2011-09-16
20,6288806,4197061,706,568,2.92E-04,1.98E-02,014,2011-09-16
124,6286203,4013060,702,551,3.65E-04,1.58E-02,014,2011-09-16
53,5145139,3295471,559,437,4.00E-04,2.15E-02,014,2011-09-16
64,6289689,3428899,639,452,2.61E-04,2.71E-02,014,2011-09-16
127,6288088,4040196,724,554,3.75E-04,1.63E-02,014,2011-09-16
11,6286807,4258821,787,644,4.76E-04,3.16E-02,014,2011-09-16
116,6286849,4118940,705,564,4.76E-04,1.73E-02,014,2011-09-16
97,6276176,4104593,705,562,6.16E-04,1.62E-02,014,2011-09-16
111,4116475,2842401,465,382,2.93E-04,1.07E-02,014,2011-09-16
97,6284860,2102637,711,262,2.66E-04,1.15E-02,014,2011-09-16
117,4606872,2912421,498,390,2.78E-04,1.27E-02,014,2011-09-16
97,2229136,1370080,295,223,5.17E-04,7.61E-03,014,2011-09-16
106,6287319,4241430,739,597,4.58E-04,1.67E-02,014,2011-09-16
98,3564044,2458768,424,352,4.47E-04,1.05E-02,014,2011-09-16
28,4934296,1210769,553,177,5.47E-04,1.07E-02,014,2011-09-16
67,2493776,1707883,301,250,3.11E-04,1.31E-02,014,2011-09-16
121,6278466,2792828,728,406,2.75E-04,1.44E-02,014,2011-09-16
116,5321613,2621403,581,343,2.64E-04,1.18E-02,014,2011-09-16
43,6282704,3167678,757,473,4.25E-04,2.52E-02,014,2011-09-16
59,5897052,3961323,673,549,3.06E-04,2.50E-02,014,2011-09-16
64,6285488,3202031,616,420,2.93E-04,2.12E-02,014,2011-09-16
92,6290336,3678031,697,531,2.87E-04,2.05E-02,014,2011-09-16
81,6281053,3869867,734,561,4.24E-04,2.16E-02,014,2011-09-16
59,5402335,3480081,617,488,3.70E-04,2.30E-02,014,2011-09-16
28,6285320,966762,719,148,3.12E-04,1.15E-02,014,2011-09-16
124,3459410,1698901,390,248,2.74E-04,9.67E-03,014,2011-09-16
4,6288278,3879872,1360,948,3.88E-04,4.38E-02,014,2011-09-16
102,6287544,3350957,897,586,3.12E-04,1.69E-02,014,2011-09-16
0,6282397,2978439,783,444,3.43E-04,2.30E-02,014,2011-09-16
113,3162201,1671499,373,239,2.77E-04,8.15E-03,014,2011-09-16
70,6276426,3575950,736,543,2.79E-04,2.98E-02,014,2011-09-16
116,6281062,4049060,793,602,2.71E-04,1.81E-02,014,2011-09-16
103,6280737,2747736,748,400,3.32E-04,1.34E-02,014,2011-09-16
81,3014342,2095900,422,343,3.36E-04,1.39E-02,014,2011-09-16
103,6279058,2625172,1701,771,4.05E-04,2.52E-02,014,2011-09-16
73,6288288,4265929,805,662,3.17E-04,3.02E-02,014,2011-09-16
32,4561959,3261551,586,497,4.19E-04,2.45E-02,014,2011-09-16
