,,,,,,,,,SIMULATOR_DOMAINS:32
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex3-run161
,,,,,,,,,SIMULATOR_MAIN_D:-
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:MAX_FINGERPRINT
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_Q_LEARNING:True
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_014018019
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.131.3.130,10.131.3.129,10.128.5.81,10.128.5.82,10.129.5.217,10.129.2.107,10.129.2.106,10.129.5.218
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:-
,,,,,,,,,START_TIME:1638761291.2636898
,,,,,,,,,STOP_TIME:1638762043.0595872
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
145,6277532,2842073,725,408,7.67E-04,1.86E-02,014,2011-09-16
110,5142370,2488432,562,327,2.98E-04,1.99E-02,014,2011-09-16
171,4760132,2998717,537,412,3.08E-04,2.26E-02,014,2011-09-16
48,4809418,2852351,630,482,3.25E-04,2.20E-02,014,2011-09-16
49,2425446,1300517,260,188,3.00E-04,9.21E-03,014,2011-09-16
105,6286673,2859497,724,411,3.40E-04,2.83E-02,014,2011-09-16
188,5077082,3511705,582,480,3.18E-04,2.35E-02,014,2011-09-16
48,3805288,2196019,458,314,3.14E-04,1.38E-02,014,2011-09-16
248,6235875,4015093,788,587,4.61E-04,2.50E-02,014,2011-09-16
84,6291149,4113293,728,586,4.16E-04,2.94E-02,014,2011-09-16
158,6171204,3853695,732,556,4.40E-04,1.85E-02,014,2011-09-16
45,3431287,2498507,427,368,3.67E-04,1.45E-02,014,2011-09-16
51,6288450,3496355,649,470,4.18E-04,1.95E-02,014,2011-09-16
20,6288806,4197061,706,568,2.94E-04,2.61E-02,014,2011-09-16
124,6286203,4013060,702,551,2.84E-04,2.69E-02,014,2011-09-16
53,5145139,3295471,559,437,2.84E-04,1.74E-02,014,2011-09-16
192,6289689,3428899,639,452,2.76E-04,2.59E-02,014,2011-09-16
127,6288088,4040196,724,554,3.60E-04,2.67E-02,014,2011-09-16
11,6286807,4258821,787,644,4.06E-04,2.37E-02,014,2011-09-16
244,6286849,4118940,705,564,3.33E-04,1.85E-02,014,2011-09-16
225,6276176,4104593,705,562,2.68E-04,1.81E-02,014,2011-09-16
111,4116475,2842401,465,382,2.80E-04,1.76E-02,014,2011-09-16
225,6284860,2102637,711,262,2.80E-04,1.31E-02,014,2011-09-16
117,4606872,2912421,498,390,2.66E-04,1.83E-02,014,2011-09-16
225,2229136,1370080,295,223,3.02E-04,7.99E-03,014,2011-09-16
234,6287319,4241430,739,597,2.97E-04,1.87E-02,014,2011-09-16
226,3564044,2458768,424,352,2.77E-04,1.21E-02,014,2011-09-16
156,4934296,1210769,553,177,2.75E-04,1.12E-02,014,2011-09-16
67,2493776,1707883,301,250,3.46E-04,1.34E-02,014,2011-09-16
121,6278466,2792828,728,406,4.84E-04,2.14E-02,014,2011-09-16
116,5321613,2621403,581,343,3.07E-04,1.77E-02,014,2011-09-16
171,6282704,3167678,757,473,2.76E-04,2.68E-02,014,2011-09-16
59,5897052,3961323,673,549,2.71E-04,2.11E-02,014,2011-09-16
192,6285488,3202031,616,420,2.94E-04,2.14E-02,014,2011-09-16
92,6290336,3678031,697,531,3.91E-04,2.59E-02,014,2011-09-16
209,6281053,3869867,734,561,4.50E-04,2.79E-02,014,2011-09-16
187,5402335,3480081,617,488,3.99E-04,2.38E-02,014,2011-09-16
156,6285320,966762,719,148,4.08E-04,1.02E-02,014,2011-09-16
124,3459410,1698901,390,248,3.61E-04,1.42E-02,014,2011-09-16
132,6288278,3879872,1360,948,6.61E-04,3.26E-02,014,2011-09-16
230,6287544,3350957,897,586,3.98E-04,2.13E-02,014,2011-09-16
128,6282397,2978439,783,444,3.81E-04,1.57E-02,014,2011-09-16
113,3162201,1671499,373,239,3.73E-04,1.31E-02,014,2011-09-16
198,6276426,3575950,736,543,3.26E-04,2.81E-02,014,2011-09-16
244,6281062,4049060,793,602,2.83E-04,1.92E-02,014,2011-09-16
103,6280737,2747736,748,400,3.30E-04,2.22E-02,014,2011-09-16
81,3014342,2095900,422,343,3.60E-04,1.71E-02,014,2011-09-16
