,,,,,,,,,SIMULATOR_DOMAINS:16
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex3-run171
,,,,,,,,,SIMULATOR_MAIN_D:-
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:MAX_FINGERPRINT
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_Q_LEARNING:True
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.128.5.178,10.131.2.45,10.129.2.225,10.128.5.177,10.131.2.44,10.129.4.91,10.129.2.226,10.129.4.92
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:-
,,,,,,,,,SIMULATOR_EPSILON:1.0
,,,,,,,,,START_TIME:1638784892.9266317
,,,,,,,,,STOP_TIME:1638785123.4557035
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
89,4414495,2528000,585,436,5.59E-04,1.82E-02,018,2011-09-16
1,6285830,4089548,742,592,2.67E-04,2.98E-02,018,2011-09-16
22,6283425,3732550,665,503,2.24E-04,2.30E-02,018,2011-09-16
122,6279510,3682068,659,492,4.41E-04,1.80E-02,018,2011-09-16
22,6284664,3854274,670,514,2.64E-04,1.95E-02,018,2011-09-16
38,5795046,3335868,613,454,2.81E-04,2.67E-02,018,2011-09-16
81,2582098,1610851,287,226,2.52E-04,9.02E-03,018,2011-09-16
62,6290809,3617179,669,487,2.62E-04,2.69E-02,018,2011-09-16
12,6286669,4192124,814,642,2.73E-04,2.98E-02,018,2011-09-16
86,6284040,4211938,716,583,2.94E-04,1.74E-02,018,2011-09-16
97,3552324,2205502,376,291,2.62E-04,1.69E-02,018,2011-09-16
65,6288730,4158891,708,569,3.65E-04,2.23E-02,018,2011-09-16
95,3725048,2575045,422,347,3.94E-04,1.08E-02,018,2011-09-16
113,6284879,4188453,711,575,3.47E-04,1.67E-02,018,2011-09-16
37,4606872,2912421,498,390,2.75E-04,1.83E-02,018,2011-09-16
1,2229231,1543572,295,247,2.93E-04,1.20E-02,018,2011-09-16
26,6287395,4241449,739,597,3.31E-04,2.15E-02,018,2011-09-16
98,3564044,2458768,424,352,2.45E-04,1.66E-02,018,2011-09-16
92,4934296,1210769,553,177,3.63E-04,1.02E-02,018,2011-09-16
115,2493776,1707883,301,250,3.42E-04,8.19E-03,018,2011-09-16
25,6278485,2792847,728,406,2.50E-04,1.81E-02,018,2011-09-16
20,5321613,2621403,581,343,2.49E-04,1.44E-02,018,2011-09-16
59,6282761,4026166,757,596,2.68E-04,2.78E-02,018,2011-09-16
43,5897052,3961323,673,549,2.57E-04,2.52E-02,018,2011-09-16
0,6285488,3202031,616,420,2.24E-04,2.24E-02,018,2011-09-16
44,6290336,3678031,697,531,2.43E-04,2.47E-02,018,2011-09-16
49,6281243,3869886,734,561,2.67E-04,2.72E-02,018,2011-09-16
75,6277660,3396593,710,489,2.81E-04,1.92E-02,018,2011-09-16
105,6291399,4268215,1293,947,3.17E-04,4.49E-02,018,2011-09-16
77,6287770,2902097,851,522,3.38E-04,2.02E-02,018,2011-09-16
77,2885844,1946870,324,266,2.67E-04,1.07E-02,018,2011-09-16
42,6286054,3789427,721,553,2.45E-04,2.63E-02,018,2011-09-16
85,3885317,2498294,423,335,3.30E-04,1.11E-02,018,2011-09-16
107,6291396,3532034,664,490,2.48E-04,2.40E-02,018,2011-09-16
117,6275397,429283,412,51,2.39E-04,1.04E-02,018,2011-09-16
107,6284398,203383,399,20,2.29E-04,1.22E-02,018,2011-09-16
36,6287751,3176564,680,457,2.82E-04,3.78E-02,018,2011-09-16
32,3913310,2045005,430,308,2.66E-04,1.70E-02,018,2011-09-16
90,2559156,1072972,268,171,2.42E-04,7.16E-03,018,2011-09-16
33,6289418,3014900,677,451,2.88E-04,2.35E-02,018,2011-09-16
42,4599311,2283148,493,337,2.51E-04,2.23E-02,018,2011-09-16
123,6280551,3656276,666,497,2.56E-04,1.51E-02,018,2011-09-16
40,6283087,3958632,687,539,3.97E-04,2.54E-02,018,2011-09-16
19,6279411,3575038,652,480,3.46E-04,1.94E-02,018,2011-09-16
5,6289246,3588264,721,497,4.08E-04,2.62E-02,018,2011-09-16
50,6287250,4086314,717,559,3.69E-04,2.65E-02,018,2011-09-16
25,6280910,2155239,615,334,2.81E-04,1.72E-02,018,2011-09-16
80,6281941,3827699,713,551,4.10E-04,1.59E-02,018,2011-09-16
29,6285546,4104030,694,553,2.87E-04,2.04E-02,018,2011-09-16
111,2339137,851354,207,115,3.11E-04,9.71E-03,018,2011-09-16
8,6285909,4102906,703,560,2.69E-04,2.66E-02,018,2011-09-16
55,6288556,3600620,675,490,4.85E-04,2.54E-02,018,2011-09-16
38,3969223,2822575,459,386,5.07E-04,1.78E-02,018,2011-09-16
29,6290771,3597502,666,490,2.87E-04,1.97E-02,018,2011-09-16
122,6283928,4035628,696,551,2.96E-04,1.65E-02,018,2011-09-16
18,3859932,2084810,390,280,2.68E-04,1.22E-02,018,2011-09-16
98,3850725,2897981,876,623,2.62E-04,2.82E-02,018,2011-09-16
91,6285107,4038818,1554,950,5.21E-04,3.83E-02,018,2011-09-16
72,6288210,2596424,665,405,4.78E-04,1.88E-02,018,2011-09-16
27,4187175,2734414,609,494,3.35E-04,1.75E-02,018,2011-09-16
17,3178719,2438777,886,694,3.84E-04,2.54E-02,018,2011-09-16
78,6291253,3184578,779,524,4.04E-04,2.21E-02,018,2011-09-16
87,6276478,4006842,1068,701,3.61E-04,3.00E-02,018,2011-09-16
69,6286194,3990971,990,690,4.29E-04,2.74E-02,018,2011-09-16
119,5101475,701901,415,121,5.23E-04,1.15E-02,018,2011-09-16
6,6277192,1579659,528,205,4.38E-04,2.10E-02,018,2011-09-16
