,,,,,,,,,SIMULATOR_DOMAINS:128
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex3-run175
,,,,,,,,,SIMULATOR_MAIN_D:-
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:MAX_FINGERPRINT
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_Q_LEARNING:True
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.128.5.186,10.131.2.55,10.129.2.233,10.131.2.56,10.129.4.96,10.129.2.234,10.128.5.185,10.131.2.57
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:-
,,,,,,,,,SIMULATOR_EPSILON:1.0
,,,,,,,,,START_TIME:1638785905.1388619
,,,,,,,,,STOP_TIME:1638786137.9859781
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
281,4414495,2528000,585,436,6.26E-04,3.56E-02,018,2011-09-16
433,6285830,4089548,742,592,4.93E-04,2.63E-02,018,2011-09-16
998,6283425,3732550,665,503,2.35E-04,2.21E-02,018,2011-09-16
234,6279510,3682068,659,492,3.58E-04,2.24E-02,018,2011-09-16
422,6284664,3854274,670,514,2.48E-04,2.06E-02,018,2011-09-16
838,5795046,3335868,613,454,4.68E-04,2.71E-02,018,2011-09-16
49,2582098,1610851,287,226,2.59E-04,1.35E-02,018,2011-09-16
846,6290809,3617179,669,487,2.71E-04,2.45E-02,018,2011-09-16
284,6286669,4192124,814,642,2.45E-04,2.92E-02,018,2011-09-16
102,6284040,4211938,716,583,3.27E-04,2.67E-02,018,2011-09-16
305,3552324,2205502,376,291,2.29E-04,1.49E-02,018,2011-09-16
737,6288730,4158891,708,569,2.41E-04,2.85E-02,018,2011-09-16
159,3725048,2575045,422,347,2.53E-04,1.42E-02,018,2011-09-16
737,6284879,2010453,711,248,2.59E-04,1.74E-02,018,2011-09-16
117,4606872,2912421,498,390,4.09E-04,1.92E-02,018,2011-09-16
737,2229231,1370080,295,223,5.09E-04,1.14E-02,018,2011-09-16
746,6287395,4241449,739,597,3.06E-04,2.64E-02,018,2011-09-16
738,3564044,2458768,424,352,3.44E-04,2.20E-02,018,2011-09-16
540,4934296,1210769,553,177,4.13E-04,1.16E-02,018,2011-09-16
323,2493776,1707883,301,250,5.08E-04,1.30E-02,018,2011-09-16
249,6278485,2792847,728,406,4.19E-04,1.91E-02,018,2011-09-16
372,5321613,2621403,581,343,3.28E-04,1.75E-02,018,2011-09-16
299,6282761,4026166,757,596,3.46E-04,2.80E-02,018,2011-09-16
59,5897052,3961323,673,549,3.39E-04,2.61E-02,018,2011-09-16
192,6285488,3202031,616,420,2.53E-04,1.82E-02,018,2011-09-16
348,6290336,3678031,697,531,2.65E-04,2.83E-02,018,2011-09-16
81,6281243,3869886,734,561,4.30E-04,2.67E-02,018,2011-09-16
