,,,,,,,,,SIMULATOR_DOMAINS:128
,,,,,,,,,SIMULATOR_REGION_SIZE:4
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:2
,,,,,,,,,SIMULATOR_RUN_NAME:ex3-run181
,,,,,,,,,SIMULATOR_MAIN_D:-
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:6
,,,,,,,,,SIMULATOR_ROUTING:MAX_FINGERPRINT
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_Q_LEARNING:True
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_014018019
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.128.5.197,10.129.4.105,10.129.4.106,10.131.2.72,10.129.2.247,10.131.2.71,10.128.5.196,10.129.2.246
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:-
,,,,,,,,,SIMULATOR_EPSILON:1.0
,,,,,,,,,START_TIME:1638790460.1408064
,,,,,,,,,STOP_TIME:1638791423.3561447
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
17,6277532,2842073,725,408,8.31E-04,2.46E-02,014,2011-09-16
1006,5142370,2488432,562,327,2.88E-04,2.08E-02,014,2011-09-16
427,4760132,2998717,537,412,2.87E-04,1.86E-02,014,2011-09-16
304,4809418,2852351,630,482,2.95E-04,1.90E-02,014,2011-09-16
945,2425446,1300517,260,188,4.21E-04,1.12E-02,014,2011-09-16
745,6286673,2859497,724,411,4.33E-04,4.23E-02,014,2011-09-16
188,5077082,3511705,582,480,3.56E-04,1.66E-02,014,2011-09-16
304,3805288,2196019,458,314,4.18E-04,1.24E-02,014,2011-09-16
888,6235875,4015093,788,587,4.65E-04,2.94E-02,014,2011-09-16
340,6291149,4113293,728,586,3.20E-04,2.02E-02,014,2011-09-16
670,6171204,3853695,732,556,4.71E-04,2.25E-02,014,2011-09-16
429,3431287,2498507,427,368,4.06E-04,1.45E-02,014,2011-09-16
563,6288450,3496355,649,470,3.62E-04,2.52E-02,014,2011-09-16
788,6288806,4197061,706,568,2.30E-04,2.66E-02,014,2011-09-16
636,6286203,4013060,702,551,4.17E-04,2.69E-02,014,2011-09-16
181,5145139,3295471,559,437,4.04E-04,1.51E-02,014,2011-09-16
64,6289689,3428899,639,452,3.74E-04,2.57E-02,014,2011-09-16
895,6288088,4040196,724,554,4.21E-04,2.73E-02,014,2011-09-16
395,6286807,4258821,787,644,2.97E-04,2.29E-02,014,2011-09-16
500,6286849,4118940,705,564,2.56E-04,2.17E-02,014,2011-09-16
225,6276176,4104593,705,562,5.11E-04,1.76E-02,014,2011-09-16
879,4116475,2842401,465,382,4.26E-04,1.84E-02,014,2011-09-16
481,6284860,4188434,711,575,3.88E-04,2.11E-02,014,2011-09-16
1013,4606872,2912421,498,390,3.42E-04,1.97E-02,014,2011-09-16
609,2229136,1543536,295,246,3.51E-04,1.22E-02,014,2011-09-16
234,6287319,4241430,739,597,3.98E-04,1.88E-02,014,2011-09-16
866,3564044,2458768,424,352,3.62E-04,1.74E-02,014,2011-09-16
668,4934296,1210769,553,177,3.28E-04,1.11E-02,014,2011-09-16
323,2493776,1707883,301,250,3.48E-04,9.37E-03,014,2011-09-16
1017,6278466,2792828,728,406,5.02E-04,2.22E-02,014,2011-09-16
372,5321613,2621403,581,343,2.49E-04,1.38E-02,014,2011-09-16
427,6282704,3167678,757,473,6.33E-04,2.27E-02,014,2011-09-16
955,5897052,3961323,673,549,5.05E-04,2.43E-02,014,2011-09-16
832,6285488,3202031,616,420,2.80E-04,2.19E-02,014,2011-09-16
732,6290336,3678031,697,531,2.22E-04,2.09E-02,014,2011-09-16
465,6281053,3869867,734,561,2.78E-04,2.37E-02,014,2011-09-16
699,5402335,3480081,617,488,6.24E-04,2.09E-02,014,2011-09-16
28,6285320,2060829,719,301,2.78E-04,1.85E-02,014,2011-09-16
508,3459410,1698901,390,248,2.28E-04,1.27E-02,014,2011-09-16
388,6288278,3879872,1360,948,4.96E-04,3.69E-02,014,2011-09-16
614,6287544,3350957,897,586,2.57E-04,2.99E-02,014,2011-09-16
512,6282397,2978439,783,444,3.52E-04,2.33E-02,014,2011-09-16
241,3162201,1671499,373,239,2.64E-04,9.62E-03,014,2011-09-16
326,6276426,3575950,736,543,5.20E-04,1.81E-02,014,2011-09-16
756,6281062,4049060,793,602,4.01E-04,2.29E-02,014,2011-09-16
231,6280737,2747736,748,400,2.48E-04,1.43E-02,014,2011-09-16
465,3014342,2095900,422,343,5.48E-04,1.39E-02,014,2011-09-16
103,6279058,2840135,1701,817,5.05E-04,4.36E-02,014,2011-09-16
73,6288288,4265929,805,662,5.62E-04,3.00E-02,014,2011-09-16
928,4561959,3261551,586,497,6.18E-04,2.22E-02,014,2011-09-16
453,5650605,3785015,650,530,2.99E-04,1.89E-02,014,2011-09-16
606,6286761,4520364,750,635,2.78E-04,2.68E-02,014,2011-09-16
791,6290906,4180531,715,574,5.03E-04,2.67E-02,014,2011-09-16
159,6276392,4260909,754,623,6.26E-04,1.93E-02,014,2011-09-16
731,2959771,2295818,389,346,5.88E-04,1.42E-02,014,2011-09-16
851,6285888,4264185,787,651,6.24E-04,2.92E-02,014,2011-09-16
638,6288649,2907072,760,422,3.21E-04,2.26E-02,014,2011-09-16
953,3136386,2146773,367,301,4.85E-04,1.53E-02,014,2011-09-16
561,5801196,3583052,806,589,5.63E-04,3.26E-02,014,2011-09-16
199,2501744,1082894,3473,909,1.09E-03,5.06E-02,014,2011-09-16
888,2903123,904762,4535,836,1.50E-03,2.30E-01,014,2011-09-16
493,4369554,1338468,5545,1036,1.60E-03,1.72E-01,014,2011-09-16
166,2171392,963139,1797,651,1.02E-03,3.04E-02,014,2011-09-16
470,2872186,1729218,3316,1203,1.06E-03,1.20E-01,014,2011-09-16
677,5091149,2372989,4034,1241,9.17E-04,7.93E-02,014,2011-09-16
490,4112850,1641802,3937,1164,1.05E-03,1.13E-01,014,2011-09-16
713,2109887,1507186,1906,1035,8.04E-04,6.42E-02,014,2011-09-16
421,2485058,1262879,834,541,6.43E-04,2.15E-02,014,2011-09-16
886,6289152,3502987,1633,889,3.81E-04,4.37E-02,014,2011-09-16
412,2907056,2353152,806,611,3.66E-04,2.16E-02,014,2011-09-16
32,2526463,2461356,541,524,3.54E-04,2.11E-02,014,2011-09-16
160,2374201,2299899,516,499,3.29E-04,1.29E-02,014,2011-09-16
