,,,,,,,,,SIMULATOR_DOMAINS:128
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex3-run182
,,,,,,,,,SIMULATOR_MAIN_D:-
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:MAX_FINGERPRINT
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_Q_LEARNING:True
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_014018019
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.129.4.108,10.129.4.107,10.128.5.198,10.129.2.249,10.131.2.73,10.131.2.74,10.129.2.248,10.128.5.199
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:-
,,,,,,,,,SIMULATOR_EPSILON:1.0
,,,,,,,,,START_TIME:1638791489.5369604
,,,,,,,,,STOP_TIME:1638792411.3085642
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
529,11419902,5016768,1287,693,2.16E-03,3.43E-02,014,2011-09-16
171,4760132,2998717,537,412,3.91E-04,1.56E-02,014,2011-09-16
688,4809418,2852351,630,482,3.24E-04,2.03E-02,014,2011-09-16
945,12582856,6585033,1428,917,2.93E-04,5.33E-02,014,2011-09-16
349,5011633,3414965,596,483,2.61E-04,2.40E-02,014,2011-09-16
248,6235875,4015093,788,587,3.47E-04,1.75E-02,014,2011-09-16
84,12462353,7761365,1460,1109,4.57E-04,3.26E-02,014,2011-09-16
301,9979807,6057508,1104,843,2.88E-04,3.98E-02,014,2011-09-16
788,12580393,7949111,1409,1083,2.99E-04,5.45E-02,014,2011-09-16
181,4879685,3149527,530,417,3.50E-04,1.30E-02,014,2011-09-16
448,8021998,4555001,835,602,2.97E-04,3.25E-02,014,2011-09-16
146,12580554,8171353,1523,1180,2.55E-04,3.86E-02,014,2011-09-16
208,4927754,3134999,537,423,3.11E-04,1.31E-02,014,2011-09-16
737,10013778,6639225,1130,899,2.71E-04,3.49E-02,014,2011-09-16
97,10891732,7010050,1209,950,4.31E-04,3.18E-02,014,2011-09-16
609,8645527,5770616,1050,840,3.23E-04,3.33E-02,014,2011-09-16
