,,,,,,,,,SIMULATOR_DOMAINS:32
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_Q_PENALTY:True
,,,,,,,,,SIMULATOR_RUN_NAME:ex3-run186
,,,,,,,,,SIMULATOR_MAIN_D:-
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:MAX_FINGERPRINT
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_Q_LEARNING:True
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.131.2.185,10.129.3.51,10.129.4.149,10.129.3.52,10.131.2.184,10.129.4.150,10.128.5.237,10.131.2.186
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:-
,,,,,,,,,SIMULATOR_EPSILON:0.01
,,,,,,,,,START_TIME:1638835919.4405501
,,,,,,,,,STOP_TIME:1638836113.5503545
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
153,4414495,2528000,585,436,5.58E-04,2.37E-02,018,2011-09-16
49,7822423,4826718,900,697,3.69E-04,3.58E-02,018,2011-09-16
119,12567769,7425646,1326,983,3.43E-04,5.10E-02,018,2011-09-16
103,10538283,6160171,1123,827,3.43E-04,7.42E-02,018,2011-09-16
49,8942845,5186309,964,704,3.20E-04,3.50E-02,018,2011-09-16
28,12574749,8227973,1531,1193,2.89E-04,4.96E-02,018,2011-09-16
26,12580519,7375330,1394,981,7.13E-04,4.89E-02,018,2011-09-16
225,11803356,7355528,1312,992,7.02E-04,4.25E-02,018,2011-09-16
225,8645698,5680118,1050,828,4.67E-04,3.10E-02,018,2011-09-16
226,8369268,3560436,961,510,4.38E-04,4.85E-02,018,2011-09-16
67,12572696,6157391,1449,873,3.12E-04,2.90E-02,018,2011-09-16
36,9855088,6020975,1145,851,2.95E-04,4.34E-02,018,2011-09-16
8,12582085,7043641,1341,968,3.46E-04,3.85E-02,018,2011-09-16
239,12575648,7313390,1422,1047,5.91E-04,4.42E-02,018,2011-09-16
130,4973598,2506868,576,370,4.81E-04,1.69E-02,018,2011-09-16
132,12578953,7060538,2149,1423,3.78E-04,5.57E-02,018,2011-09-16
154,11906730,7260348,1327,1003,3.07E-04,3.77E-02,018,2011-09-16
219,12566793,3921050,1076,538,2.98E-04,4.04E-02,018,2011-09-16
219,7868798,1064814,610,163,2.72E-04,1.55E-02,018,2011-09-16
16,8616661,4043047,899,580,3.15E-04,2.50E-02,018,2011-09-16
170,12581848,5552482,1330,830,4.21E-04,3.00E-02,018,2011-09-16
20,7850189,4399650,836,613,3.48E-04,2.60E-02,018,2011-09-16
88,12580014,7497275,1349,1004,3.08E-04,2.61E-02,018,2011-09-16
63,12578853,6244120,1458,858,2.69E-04,4.48E-02,018,2011-09-16
206,12578920,5923668,1313,861,2.77E-04,4.47E-02,018,2011-09-16
61,7885140,4384916,824,596,2.92E-04,2.96E-02,018,2011-09-16
88,12580432,5644974,1380,768,3.15E-04,2.30E-02,018,2011-09-16
246,12576256,7810762,1393,1064,3.18E-04,3.84E-02,018,2011-09-16
98,7821631,4530797,816,608,2.92E-04,2.95E-02,018,2011-09-16
82,12573417,8016331,2772,1663,4.69E-04,5.20E-02,018,2011-09-16
197,8037800,3930957,932,651,2.87E-04,3.32E-02,018,2011-09-16
209,9721386,5669939,1708,1191,4.12E-04,8.49E-02,018,2011-09-16
247,7970996,5115849,1304,864,5.76E-04,3.85E-02,018,2011-09-16
250,4492995,2915889,741,534,3.71E-04,2.26E-02,018,2011-09-16
151,4948742,549168,385,91,2.50E-04,1.26E-02,018,2011-09-16
230,11470619,1841249,889,236,2.89E-04,3.98E-02,018,2011-09-16
86,8548487,801801,644,112,3.13E-04,1.44E-02,018,2011-09-16
86,4956628,279086,367,44,2.95E-04,5.81E-03,018,2011-09-16
173,5698153,640308,544,138,3.78E-04,1.21E-02,018,2011-09-16
230,12581826,710092,877,88,2.87E-04,2.72E-02,018,2011-09-16
206,5772604,1383381,475,178,3.38E-04,1.82E-02,018,2011-09-16
113,6629899,815801,537,123,3.16E-04,2.05E-02,018,2011-09-16
230,10223838,858844,848,160,3.30E-04,2.70E-02,018,2011-09-16
250,7939989,995466,594,133,2.46E-04,1.95E-02,018,2011-09-16
112,12568033,684849,859,87,3.22E-04,3.14E-02,018,2011-09-16
15,4734554,349347,343,39,2.81E-04,1.24E-02,018,2011-09-16
237,7413382,1197076,627,229,2.54E-04,1.94E-02,018,2011-09-16
153,4352789,672338,589,100,5.20E-04,1.13E-02,018,2011-09-17
