,,,,,,,,,SIMULATOR_DOMAINS:32
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_Q_PENALTY:True
,,,,,,,,,SIMULATOR_RUN_NAME:ex3-run192
,,,,,,,,,SIMULATOR_MAIN_D:-
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:MAX_FINGERPRINT
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_Q_LEARNING:True
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_014018019
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.128.5.248,10.131.2.204,10.131.2.203,10.129.4.160,10.129.3.64,10.128.5.250,10.129.3.65,10.128.5.249
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,SIMULATOR_SECOND_D:-
,,,,,,,,,SIMULATOR_EPSILON:0.01
,,,,,,,,,START_TIME:1638839065.8365448
,,,,,,,,,STOP_TIME:1638839798.7953732
domain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
145,11419902,5016768,1287,693,4.42E-04,4.11E-02,014,2011-09-16
171,4760132,2998717,537,412,3.90E-04,2.23E-02,014,2011-09-16
48,4809418,2852351,630,482,3.01E-04,2.18E-02,014,2011-09-16
49,12582856,6585033,1428,917,3.08E-04,4.25E-02,014,2011-09-16
93,5011633,3414965,596,483,3.07E-04,2.03E-02,014,2011-09-16
248,6235875,4015093,788,587,3.34E-04,2.87E-02,014,2011-09-16
84,12462353,7761365,1460,1109,2.98E-04,5.22E-02,014,2011-09-16
45,9979807,6057508,1104,843,3.88E-04,3.39E-02,014,2011-09-16
20,12580393,7949111,1409,1083,2.68E-04,5.11E-02,014,2011-09-16
53,4879685,3149527,530,417,4.18E-04,1.86E-02,014,2011-09-16
192,8021998,4555001,835,602,4.53E-04,3.32E-02,014,2011-09-16
146,12580554,8171353,1523,1180,5.76E-04,5.45E-02,014,2011-09-16
80,4927754,3134999,537,423,4.06E-04,1.67E-02,014,2011-09-16
225,10013778,6639225,1130,899,4.53E-04,4.11E-02,014,2011-09-16
225,10891732,3413267,1209,410,5.16E-04,6.54E-02,014,2011-09-16
225,8645527,5603185,1050,818,5.86E-04,3.74E-02,014,2011-09-16
226,8369268,3560436,961,510,5.18E-04,5.19E-02,014,2011-09-16
67,12572677,6157372,1449,873,4.28E-04,3.65E-02,014,2011-09-16
36,9855031,6020939,1145,850,3.70E-04,3.20E-02,014,2011-09-16
8,12582085,7043641,1341,968,5.02E-04,4.58E-02,014,2011-09-16
239,12578424,7320823,1415,1043,4.43E-04,4.88E-02,014,2011-09-16
120,12579782,5477644,1451,797,3.22E-04,2.89E-02,014,2011-09-16
132,12582153,6956571,2259,1464,5.48E-04,6.81E-02,014,2011-09-16
128,9547821,4605486,1166,674,5.32E-04,6.78E-02,014,2011-09-16
198,12557488,6273618,1529,952,4.57E-04,4.95E-02,014,2011-09-16
103,9295079,4715296,1170,715,5.54E-04,2.55E-02,014,2011-09-16
103,12578429,6228250,2507,1303,6.14E-04,4.36E-02,014,2011-09-16
32,4550876,3250468,585,496,4.57E-04,1.80E-02,014,2011-09-16
69,5650605,3785015,650,530,6.85E-04,2.15E-02,014,2011-09-16
94,12577667,8538741,1465,1180,5.93E-04,4.41E-02,014,2011-09-16
31,9236163,6465605,1143,953,5.28E-04,4.24E-02,014,2011-09-16
211,12574537,6589955,1547,985,4.32E-04,4.95E-02,014,2011-09-16
185,4923496,2381861,599,345,3.30E-04,1.87E-02,014,2011-09-16
49,4282214,2760862,983,728,3.70E-04,2.64E-02,014,2011-09-16
71,4295097,1576033,6668,1190,1.17E-03,2.05E-01,014,2011-09-16
6,5211196,1509230,6476,1059,1.43E-03,2.67E-01,014,2011-09-16
166,5043578,2463238,5113,1440,1.10E-03,2.32E-01,014,2011-09-16
37,5091149,2372989,4034,1241,9.32E-04,8.99E-02,014,2011-09-16
106,5214400,2291361,4846,1445,1.08E-03,7.56E-02,014,2011-09-16
35,9809647,5284949,3472,1843,1.61E-03,1.27E-01,014,2011-09-16
28,5406419,3939502,1339,938,4.45E-04,4.40E-02,014,2011-09-16
32,4366231,3424605,959,745,3.76E-04,2.65E-02,014,2011-09-16
107,12579572,6135913,2826,1353,5.40E-04,4.54E-02,014,2011-09-16
164,4784843,1648901,8016,1185,1.46E-03,2.83E-01,014,2011-09-16
